Rangel-Mendez, J. Rene (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Zirconium-Carbon Hybrid Sorbent for Removal of Fluoride from Water: Oxalic Acid Mediated Zr(IV) Assembly and Adsorption Mechanism","Halla Velazquez-Jimenez, Litza; Hurt, Robert H.; Matos, Juan; Rene Rangel-Mendez, Jose","","","","ENVIRONMENTAL SCIENCE & TECHNOLOGY","JAN 21 2014","2014","48","2","","","","1166","1174","","10.1021/es403929b","","","192","17.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","20","17","25","19","18","26","27","18","11","5"
"Chemical characterization of raw and treated agave bagasse and its potential as adsorbent of metal cations from water","Velazquez-Jimenez, Litza H.; Pavlick, Andrea; Rene Rangel-Mendez, J.","","","","INDUSTRIAL CROPS AND PRODUCTS","MAY 2013","2013","43","","","","","200","206","","10.1016/j.indcrop.2012.06.049","","","167","13.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","17","19","16","11","16","19","25","15","7","12","4"
"Chitosan selectivity for removing cadmium (II), copper (II), and lead (II) from aqueous phase: pH and organic matter effect","Rangel-Mendez, J. R.; Monroy-Zepeda, R.; Leyva-Ramos, E.; Diaz-Flores, P. E.; Shirai, K.","","","","JOURNAL OF HAZARDOUS MATERIALS","FEB 15 2009","2009","162","1","","","","503","511","","10.1016/j.jhazmat.2008.05.073","","","164","10.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","16","5","11","12","19","18","14","8","14","7","12","9","5","4"
"Adsorption of cadmium by activated carbon cloth: influence of surface oxidation and solution pH","Rangel-Mendez, JR; Streat, M","","","","WATER RESEARCH","MAR 2002","2002","36","5","","","","1244","1252","PII S0043-1354(01)00343-8","10.1016/S0043-1354(01)00343-8","","","156","6.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","6","10","10","7","3","5","5","7","9","10","17","8","8","9","12","5","4","5","4","4"
"Adsorption of cadmium(II) from aqueous solution onto activated carbon","LeyvaRamos, R; RangelMendez, JR; MendozaBarron, J; FuentesRubio, L; GuerreroCoronado, RM","","","","WATER SCIENCE AND TECHNOLOGY","1997","1997","35","7","","","","205","211","","10.1016/S0273-1223(97)00132-7","1st IAWQ Conference on Adsorption in the Water Environment and Treatment Processes","NOV 05-08, 1996","146","5.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","5","1","3","7","8","1","12","5","8","6","7","5","5","8","10","11","5","8","7","7","7","2","4"
"Arsenic removal by modified activated carbons with iron hydro(oxide) nanoparticles","Veronica Vitela-Rodriguez, Alma; Rene Rangel-Mendez, Jose","","","","JOURNAL OF ENVIRONMENTAL MANAGEMENT","JAN 15 2013","2013","114","","","","","225","231","","10.1016/j.jenvman.2012.10.004","","","129","10.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","13","15","15","13","15","11","12","15","7","4"
"Chromium (III) uptake by agro-waste biosorbents: Chemical characterization, sorption-desorption studies, and mechanism","Bernardo Garcia-Reyes, Refugio; Rene Rangel-Mendez, Jose; Catalina Alfaro-De la Torre, Ma.","","","","JOURNAL OF HAZARDOUS MATERIALS","OCT 30 2009","2009","170","2-3","","","","845","854","","10.1016/j.jhazmat.2009.05.046","","","120","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","9","8","6","9","8","12","12","9","10","6","12","3","3"
"Fluoride removal in water by a hybrid adsorbent lanthanum-carbon","Vences-Alvarez, Esmeralda; Halla Velazquez-Jimenez, Litza; Felipe Chazaro-Ruiz, Luis; Diaz-Flores, Paola E.; Rene Rangel-Mendez, Jose","","","","JOURNAL OF COLLOID AND INTERFACE SCIENCE","OCT 1 2015","2015","455","","","","","194","202","","10.1016/j.jcis.2015.05.048","","","111","11.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","12","10","5","15","17","16","16","12"
"Spent coffee-based activated carbon: Specific surface features and their importance for H<sub>2</sub>S separation process","Kante, Karifala; Nieto-Delgado, Cesar; Rene Rangel-Mendez, J.; Bandosz, Teresa J.","","","","JOURNAL OF HAZARDOUS MATERIALS","JAN 30 2012","2012","201","","","","","141","147","","10.1016/j.jhazmat.2011.11.053","","","108","8.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","9","7","10","10","14","16","14","10","6","4"
"Influence of iron content, surface area and charge distribution in the arsenic removal by activated carbons","Arcibar-Orozco, Javier A.; Josue, Delgado-Balbuena; Rios-Hurtado, Jorge C.; Rene Rangel-Mendez, J.","","","","CHEMICAL ENGINEERING JOURNAL","AUG 1 2014","2014","249","","","","","201","209","","10.1016/j.cej.2014.03.096","","","91","8.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","7","6","15","8","11","11","7","6"
