Reyes-Esparza, Jorge (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Risks and benefits of commonly used herbal medicines in Mexico","Rodriguez-Fragoso, Lourdes; Reyes-Esparza, Jorge; Burchiel, Scott W.; Herrera-Ruiz, Dea; Torres, Eliseo","","","","TOXICOLOGY AND APPLIED PHARMACOLOGY","FEB 15 2008","2008","227","1","","","","125","135","","10.1016/j.taap.2007.10.005","","","120","7.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","6","5","11","11","7","12","9","8","7","6","11","4","7","2","5"
"Potential Risks Resulting from Fruit/Vegetable-Drug Interactions: Effects on Drug-Metabolizing Enzymes and Drug Transporters","Rodriguez-Fragoso, Lourdes; Luis Martinez-Arismendi, Jose; Orozco-Bustos, Danae; Reyes-Esparza, Jorge; Torres, Eliseo; Burchiel, Scott W.","","","","JOURNAL OF FOOD SCIENCE","MAY 2011","2011","76","4","","","","R112","R124","","10.1111/j.1750-3841.2011.02155.x","","","88","6.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","7","9","9","8","8","8","8","5","9","5","2"
"Anti proliferative, cytotoxic and antitumour activity of coumarins isolated from <i>Calophyllum brasiliense</i>","Ruiz-Marcial, Cesar; Reyes Chilpa, Ricardo; Estrada, Elizabeth; Reyes-Esparza, Jorge; Garrido Farina, German; Rodriguez-Fragoso, Lourdes","","","","JOURNAL OF PHARMACY AND PHARMACOLOGY","MAY 2007","2007","59","5","","","","719","725","","10.1211/jpp.59.5.0013","","","35","1.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","0","1","2","3","7","1","1","1","5","2","2","3","0","2"
"Synthesis, characterization and biocompatibility of cadmium sulfide nanoparticles capped with dextrin for in vivo and in vitro imaging application","Reyes-Esparza, Jorge; Martinez-Mena, Alberto; Gutierrez-Sancha, Ivonne; Rodriguez-Fragoso, Patricia; Gonzalez de la Cruz, Gerardo; Mondragon, R.; Rodriguez-Fragoso, Lourdes","","","","JOURNAL OF NANOBIOTECHNOLOGY","NOV 17 2015","2015","13","","","","","","","83","10.1186/s12951-015-0145-x","","","31","3.10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","4","4","5","5","4","2","1"
"An Amphotericin B Derivative Equally Potent to Amphotericin B and with Increased Safety","Antillon, Armando; de Vries, Alexander H.; Espinosa-Caballero, Marcel; Marcos Falcon-Gonzalez, Jose; Flores Romero, David; Gonzalez-Damian, Javier; Eloisa Jimenez-Montejo, Fabiola; Leon-Buitimea, Angel; Lopez-Ortiz, Manuel; Magana, Ricardo; Marrink, Siewert J.; Morales-Nava, Rosmarbel; Periole, Xavier; Reyes-Esparza, Jorge; Rodriguez Lozada, Josue; Minerva Santiago-Angelino, Tania; Vargas Gonzalez, Maria Cristina; Regla, Ignacio; Carrillo-Tripp, Mauricio; Fernandez-Zertuche, Mario; Rodriguez-Fragoso, Lourdes; Ortega-Blake, Ivan","","","","PLOS ONE","SEP 28 2016","2016","11","9","","","","","","e0162171","10.1371/journal.pone.0162171","","","30","3.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","4","4","8","4","3"
"Synthesis, characterization and toxicological evaluation of maltodextrin capped cadmium sulfide nanoparticles in human cell lines and chicken embryos","Rodriguez-Fragoso, Patricia; Reyes-Esparza, Jorge; Leon-Buitimea, Angel; Rodriguez-Fragoso, Lourdes","","","","JOURNAL OF NANOBIOTECHNOLOGY","DEC 27 2012","2012","10","","","","","","","47","10.1186/1477-3155-10-47","","","29","2.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","3","0","6","4","3","0","2","2","0"
"Effects of HRAS oncogene on cell cycle progression in a cervical cancer-derived cell line","Córdova-Alarcón, E; Centeno, F; Reyes-Esparza, J; García-Carrancá, A; Garrido, E","","","","ARCHIVES OF MEDICAL RESEARCH","JUL-AUG 2005","2005","36","4","","","","311","316","","10.1016/j.arcmed.2005.04.001","","","26","1.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","2","0","3","2","2","2","0","0","0","2","2","3","1","2","0"
"Follicle stimulating hormone increases somatic and germ cell number in the ovary during chick embryo development","Méndez-Herrera, MC; Tamez, L; Cándido, A; Reyes-Esparza, JA; Pedernera, E","","","","GENERAL AND COMPARATIVE ENDOCRINOLOGY","AUG 1998","1998","111","2","","","","207","215","","10.1006/gcen.1998.7108","","","21","0.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","1","1","1","2","2","0","1","2","0","0","1","1","2","0","0","0","0","1","1","0","1","0"
"Genistein modifies liver fibrosis and improves liver function by inducing uPA expression and proteolytic activity in CCl<sub>4</sub>-treated rats","Salas, Alfonso Leija; Montezuma, Tania Diaz; Farina, German Garrido; Reyes-Esperza, Jorge; Rodriguez-Fragoso, Lourdes","","","","PHARMACOLOGY","2008","2008","81","1","","","","41","49","","10.1159/000107968","","","20","1.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","3","1","3","2","1","1","3","0","2","1"
"Genistein decreases liver fibrosis and cholestasis induced by prolonged biliary obstruction in the rat","Salas, Alfonso Leija; Ocampo, Griselda; Farina, German Garrido; Reyes-Esparza, Jorge; Rodriguez-Fragoso, Lourdes","","","","ANNALS OF HEPATOLOGY","JAN-MAR 2007","2007","6","1","","","","41","47","","","","","17","0.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","1","2","1","0","2","2","3","1","1","0"
