Yolanda Reyes-Vidal (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Electrodeposition, characterization, and antibacterial activity of zinc/silver particle composite coatings","Reyes-Vidal, Y.; Suarez-Rojas, R.; Ruiz, C.; Torres, J.; Talu, Stefan; Mendez, Alia; Trejo, G.","","","","APPLIED SURFACE SCIENCE","JUL 1 2015","2015","342","","","","","34","41","","10.1016/j.apsusc.2015.03.037","","","57","5.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","10","10","10","5","5","5","3","1"
"Modeling and optimization of a pharmaceutical crystallization process by using neural networks and genetic algorithms","Velasco-Mejia, A.; Vallejo-Becerra, V.; Chavez-Ramirez, A. U.; Torres-Gonzalez, J.; Reyes-Vidal, Y.; Castaneda-Zaldivar, F.","","","","POWDER TECHNOLOGY","MAY 2016","2016","292","","","","","122","128","","10.1016/j.powtec.2016.01.028","","","45","5.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","5","8","9","8","4","4"
"Micromorphological Characterization of Zinc/Silver Particle Composite Coatings","Mendez, Alia; Reyes, Yolanda; Trejo, Gabriel; Stepien, Krzysztof; Talu, Stefan","","","","MICROSCOPY RESEARCH AND TECHNIQUE","DEC 2015","2015","78","12","","","","1082","1089","","10.1002/jemt.22588","","","44","4.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","2","6","9","7","10","2","1"
"Emerging Pollutants in Wastewater, Advanced Oxidation Processes as an Alternative Treatment and Perspectives","Bracamontes-Ruelas, Alexis Ruben; Ordaz-Diaz, Luis Alberto; Bailon-Salas, Ana Maria; Rios-Saucedo, Julio Cesar; Reyes-Vidal, Yolanda; Reynoso-Cuevas, Liliana","","","","PROCESSES","MAY 2022","2022","10","5","","","","","","1041","10.3390/pr10051041","","","20","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","6"
"Comparison of experimental and CFD mass transfer coefficient of three commercial turbulence promoters","Lira-Teco, J. E.; Rivera, F.; Farias-Moguel, O.; Torres-Gonzalez, J.; Reyes, Y.; Antano-Lopez, R.; Orozco, G.; Castaneda-Zaldivar, F.","","","","FUEL","MAR 1 2016","2016","167","","","","","337","346","","10.1016/j.fuel.2015.11.053","","","20","2.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","3","0","8","2","3","0"
"Evaluation of Inlet Design and Flow Rate Effect on Current Density Distribution in a Microbial Electrolysis Cell Using Computational Simulation Techniques, Coupling Hydrodynamics and Bioanode Kinetics","Reyes-Vidal, Y.; Lopez-Maldonado, J.; Castaneda, F.; Orozco, G.; Rivera, F. F.","","","","INTERNATIONAL JOURNAL OF CHEMICAL REACTOR ENGINEERING","NOV 2018","2018","16","11","","","SI","","","20170259","10.1515/ijcre-2017-0259","","","6","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","0","1"
"Electrical stimulation of <i>Cucumis sativus</i> in an Antrosol using modified electrodes with transition metal oxides at the <i>in situ</i> pilot level","Morales, C.; Solis, S.; Bacame-Valenzuela, F. J.; Reyes-Vidal, Y.; Cardenas, J.; Manriquez, J.; Bustos, E.","","","","JOURNAL OF ELECTROANALYTICAL CHEMISTRY","AUG 15 2021","2021","895","","","","","","","115528","10.1016/j.jelechem.2021.115528","","","5","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0"
"A Statistical Industrial Approach for the Synthesis Conditions of Zeolites Using Fly Ash and Kaolinite","Ramirez-Zamora, R. M.; Solis-Lopez, M.; Robles-Gutierrez, I.; Reyes-Vidal, Y.; Espejel-Ayala, F.","","","","ENVIRONMENTAL PROGRESS & SUSTAINABLE ENERGY","JAN 2018","2018","37","1","","","","318","332","","10.1002/ep.12681","","","5","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"Electrical stimulation of <i>Cucumis sativus</i> germination and growth using IrO<sub>2</sub>-Ta<sub>2</sub>O<sub>5</sub>|Ti anodes in <i>Vertisol pelic</i>","Morales, C.; Solis, S.; Bacame, F. J.; Reyes-Vidal, M. Y.; Manriquez, J.; Bustos, E.","","","","APPLIED SOIL ECOLOGY","MAY 2021","2021","161","","","","","","","103864","10.1016/j.apsoil.2020.103864","","","4","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0"
"Comparison of the effects of biological and electrical stimulation on the growth of<i> Zea</i><i> mays</i>","Solis, S.; Contreras-Ramos, S. M.; Bacame-Valenzuela, F. J.; Reyes-Vidal, Y.; Gonzalez-Jasso, E.; Bustos, E.","","","","ELECTROCHIMICA ACTA","APR 20 2023","2023","448","","","","","","","142193","10.1016/j.electacta.2023.142193","","","3","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
