Marco Rito-Palomares (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Practical application of aqueous two-phase partition to process development for the recovery of biological products","Rito-Palomares, M","","","","JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES","JUL 25 2004","2004","807","1","","","","3","11","","10.1016/j.jchromb.2004.01.008","12th International Conference on Biopartitioning and Purification","JUN, 2003","294","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","16","20","12","24","22","20","18","18","27","13","18","20","18","8","11","8","6","5"
"Dielectrophoresis for the manipulation of nanobioparticles","Lapizco-Encinas, Blanca H.; Rito-Palomares, Marco","","","","ELECTROPHORESIS","DEC 2007","2007","28","24","","","","4521","4538","","10.1002/elps.200700303","","","166","9.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","12","13","25","18","17","11","14","4","7","6","5","4","7","7","3","4"
"Practical application of aqueous two-phase systems for the development of a prototype process for c-phycocyanin recovery from <i>Spirulina maxima</i>","Rito-Palomares, M; Nuñez, L; Amador, D","","","","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","DEC 2001","2001","76","12","","","","1273","1280","","10.1002/jctb.507","","","143","5.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","2","3","3","2","2","3","3","6","4","10","4","6","11","13","19","11","17","12","6"
"Practical experiences from the development of aqueous two-phase processes for the recovery of high value biological products","Benavides, Jorge; Rito-Palomares, Marco","","","","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","FEB 2008","2008","83","2","","","","133","142","","10.1002/jctb.1844","","","129","7.59","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","9","11","14","15","18","11","15","6","7","2","8","3","2","0"
"Aqueous two-phase affinity partitioning systems: Current applications and trends","Ruiz-Ruiz, Federico; Benavides, Jorge; Aguilar, Oscar; Rito-Palomares, Marco","","","","JOURNAL OF CHROMATOGRAPHY A","JUN 29 2012","2012","1244","","","","","1","13","","10.1016/j.chroma.2012.04.077","16th International Conference on BioPartitioning and Purification","SEP 18-22, 2011","121","9.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","9","8","10","15","12","8","9","9","15","8"
"Protein manipulation with insulator-based dielectrophoresis and direct current electric fields","Lapizco-Encinas, Blanca H.; Ozuna-Chacon, Sandra; Rito-Palomares, Marco","","","","JOURNAL OF CHROMATOGRAPHY A","OCT 3 2008","2008","1206","1","","","","45","51","","10.1016/j.chroma.2008.05.077","22nd International Symposium on Microscale Bioseparations and Methods for Systems Biology","MAR 09-13, 2008","121","7.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","7","14","11","10","12","9","7","6","4","6","11","6","4","5","2"
"Extraction and purification of bioproducts and nanoparticles using Aqueous Two-Phase Systems strategies","Benavides, Jorge; Aguilar, Oscar; Lapizco-Encinas, Blanca H.; Rito-Palomares, Marco","","","","CHEMICAL ENGINEERING & TECHNOLOGY","JUN 2008","2008","31","6","","","","838","845","","10.1002/ceat.200800068","","","104","6.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","5","9","5","12","10","9","10","5","9","8","3","5","7","0"
"Laccases in Food Industry: Bioprocessing, Potential Industrial and Biotechnological Applications","Mayolo-Deloisa, Karla; Gonzalez-Gonzalez, Mirna; Rito-Palomares, Marco","","","","FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY","MAR 24 2020","2020","8","","","","","","","222","10.3389/fbioe.2020.00222","","","89","17.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","32","27","17"
"Rotavirus-like particles primary recovery from insect cells in aqueous two-phase systems","Benavides, Jorge; Mena, Jimmy A.; Cisneros-Ruiz, Mayra; Ramirez, Octavio T.; Palomares, Laura A.; Rito-Palomares, Marco","","","","JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES","SEP 14 2006","2006","842","1","","","","48","57","","10.1016/j.jchromb.2006.05.006","International Conference on Biopartitioning and Purification","JUN 20-24, 2005","80","4.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","5","3","8","2","7","9","10","4","3","2","4","3","4","1","4","0"
"Growth kinetics and fucoxanthin production of <i>Phaeodactylum tricornutum</i> and <i>Isochrysis galbana</i> cultures at different light and agitation conditions","Gomez-Loredo, Alma; Benavides, Jorge; Rito-Palomares, Marco","","","","JOURNAL OF APPLIED PHYCOLOGY","APR 2016","2016","28","2","","","","849","860","","10.1007/s10811-015-0635-0","","","74","8.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","10","11","11","19","11","3"
