Rodriguez-Dominguez, Jose M. (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Morphological and molecular diversity of <i>Agave tequilana</i> Weber var. Azul and <i>Agave angustifolia</i> Haw. var. Lineno","Rodriguez-Garay, B.; Lomeli-Sencion, J. A.; Tapia-Campos, E.; Gutierrez-Mora, A.; Garcia-Galindo, J.; Rodriguez-Dominguez, J. M.; Urbina-Lopez, D.; Vicente-Ramirez, I.","","","","INDUSTRIAL CROPS AND PRODUCTS","JAN 2009","2009","29","1","","","","220","228","","10.1016/j.indcrop.2008.05.007","","","34","2.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","3","0","5","2","0","1","2","2","1","1","3","7","3"
"Effect of light quality and culture medium on somatic embryogenesis of Agave tequilana Weber var. Azul","Rodriguez-Sahagun, Araceli; Acevedo-Hernandez, Gustavo; Rodriguez-Dominguez, Jose M.; Rodriguez-Garay, Benjamin; Cervantes-Martinez, Jesus; Castellanos-Hernandez, Osvaldo A.","","","","PLANT CELL TISSUE AND ORGAN CULTURE","FEB 2011","2011","104","2","","","","271","275","","10.1007/s11240-010-9815-4","","","24","1.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","2","0","4","1","1","4","1","0","1","4","1"
"An improved technique for obtaining well-spread metaphases from plants with numerous large chromosomes","Rodriguez-Dominguez, J. M.; Rios-Lara, L. L.; Tapia-Campos, E.; Barba-Gonzalez, R.","","","","BIOTECHNIC & HISTOCHEMISTRY","2017","2017","92","3","","","","159","166","","10.1080/10520295.2017.1288927","","","9","1.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","0","2","0"
"Morphological comparison among populations of <i>Agave salmiana</i> Otto ex Salm-Dyck (Asparagaceae), a species used for mezcal production in Mexico","Juvencio Castaneda-Nava, Jose; Manuel Rodriguez-Dominguez, Jose; Maria Camacho-Ruiz, Rosa; Gallardo-Valdez, Juan; Villegas-Garcia, Edgardo; Gutierrez-Mora, Antonia","","","","FLORA","JUN 2019","2019","255","","","","","18","23","","10.1016/j.flora.2019.03.019","","","6","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","1"
"Micropropagation of <i>Agave</i> Species","Rodriguez-Garay, Benjamin; Manuel Rodriguez-Dominguez, Jose","","","LoyolaVargas, VM; OchoaAlejo, N","PLANT CELL CULTURE PROTOCOLS, 4TH EDITION","2018","2018","1815","","","","","151","159","","10.1007/978-1-4939-8594-4_8","","","6","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1"
"<i>Polianthes</i> Breeding","Barba-Gonzalez, R.; Rodriguez-Dominguez, J. M.; de la Cruz-Cruz, A.; Lara-Banuelos, T. Y.; Tapia-Campos, E.; Castaneda-Saucedo, M. C.","","","Facciuto, G; Sanchez, MI","VII INTERNATIONAL SYMPOSIUM ON NEW FLORICULTURAL CROPS","2013","2013","1000","","","","","505","510","","","7th International Symposium on New Floricultural Crops","NOV 22-25, 2011","4","0.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0"
"MOlEcUlAR wEIGHT DISTRIBUTION OF FRUcTANS ExTRAcTED FROM <i>AGAVE sAlMiANA </i>lEAvES","Plascencia, Arizbeth; Gutierrez-Mora, Antonia; Manuel Rodriguez-Dominguez, Jose; Juvencio Castaneda-Nava, Jose; Gallardo-Valdez, Juan; Shimada, Harumi; Maria Camacho-Ruiz, Rosa","","","","BOTANICAL SCIENCES","JUL-SEP 2022","2022","100","3","","","","657","666","","10.17129/botsci.2960","","","2","0.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"Cytotypes of <i>Sprekelia formosissima</i> (Amaryllidaceae) collected in three localities of the state of Jalisco, Mexico","Manuel Rodriguez-Dominguez, Jose; Priscila Benavides-Gomez, Lilia; Barba-Gonzalez, Rodrigo","","","","JOURNAL OF THE TORREY BOTANICAL SOCIETY","JAN-MAR 2018","2018","145","1","","","","91","99","","10.3159/TORREY-D-16-00065.1","","","2","0.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"Application of <i>in Casa</i> Pollination and Embryo Rescue Techniques for Breeding of <i>Agave</i> Species","Rodriguez-Garay, Benjamin; Lopez-Diaz, Sigifredo; Manuel Rodriguez-Dominguez, Jose; Gutierrez-Mora, Antonia; Tapia-Campos, Ernesto","","","LoyolaVargas, VM; OchoaAlejo, N","PLANT CELL CULTURE PROTOCOLS, 4TH EDITION","2018","2018","1815","","","","","289","300","","10.1007/978-1-4939-8594-4_20","","","1","0.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Analysis of laser-induced fluorescence spectra of <i>in vitro</i> plant tissue cultures","Munoz-Munoz, Ana Celia; Gutierrez-Pulido, Humberto; Rodriguez-Dominguez, Jose Manuel; Gutierrez-Mora, Antonia; Rodriguez-Garay, Benjamin; Cervantes-Martinez, Jesus","","","","APPLIED OPTICS","APR 10 2007","2007","46","11","","","","2138","2142","","10.1364/AO.46.002138","","","1","0.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
