Rodriguez-Fernandez, Oliverio Santiago (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Synthesis of Copper Nanoparticles by Thermal Decomposition and Their Antimicrobial Properties","Betancourt-Galindo, R.; Reyes-Rodriguez, P. Y.; Puente-Urbina, B. A.; Avila-Orta, C. A.; Rodriguez-Fernandez, O. S.; Cadenas-Pliego, G.; Lira-Saldivar, R. H.; Garcia-Cerda, L. A.","","","","JOURNAL OF NANOMATERIALS","2014","2014","2014","","","","","","","980545","10.1155/2014/980545","","","141","12.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","7","6","8","4","9","28","23","27","17"
"Study of SrFe<sub>12</sub>O<sub>19</sub> synthesized by the sol-gel method","García-Cerda, LA; Rodríguez-Fernández, OS; Reséndiz-Hernández, PJ","","","","JOURNAL OF ALLOYS AND COMPOUNDS","APR 28 2004","2004","369","1-2","","","","182","184","","10.1016/j.jallcom.2003.09.099","6th Latin American Workshop on Magnetism Magnetic Materials and their Applications (VI LAW3M)","APR 07-11, 2003","88","4.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","7","3","7","8","5","4","5","6","5","4","6","4","1","6","6","2","2","4"
"Effect of Amino alcohol functionalized polyethylene as compatibilizer for LDPE/EVA/clay/flame-retardant nanocomposites","Lujan-Acosta, R.; Sanchez-Valdes, S.; Ramirez-Vargas, E.; Ramos-DeValle, L. F.; Espinoza-Martinez, A. B.; Rodriguez-Fernandez, O. S.; Lozano-Ramirez, T.; Lafleur, P. G.","","","","MATERIALS CHEMISTRY AND PHYSICS","AUG 14 2014","2014","146","3","","","","437","445","","10.1016/j.matchemphys.2014.03.050","","","45","4.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","6","5","4","3","4","5","4","4","1"
"Influence of the blend viscosity and interface energies on the preferential location of CB and conductivity of BR/EPDM blends","Ibarra-Gómez, R; Márquez, A; Valle, LFRD; Rodríguez-Fernández, OS","","","","RUBBER CHEMISTRY AND TECHNOLOGY","SEP-OCT 2003","2003","76","4","","","","969","978","","10.5254/1.3547785","","","36","1.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","1","3","3","2","0","1","5","1","2","2","0","1","2","4","4","0","0"
"Synthesis of poly(vinyl alcohol)-magnetite ferrogel obtained by freezing-thawing technique","Resendiz-Hernandez, P. J.; Rodriguez-Fernandez, O. S.; Garcia-Cerda, L. A.","","","","JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS","JUL 2008","2008","320","14","","","","E373","E376","","10.1016/j.jmmm.2008.02.073","8th Latin American Workshop on Magnetism, Magnetic Materials and Their Applications","AUG 12-16, 2007","31","1.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","1","2","3","2","3","2","3","2","1","2","2","0"
"Comparative study of the synthesis of CoFe<sub>2</sub>O<sub>4</sub> and NiFe<sub>2</sub>O<sub>4</sub> in silica through the polymerized complex route of the sol-gel method","Montemayor, Sagrario M.; Garcia-Cerda, L. A.; Torres-Lubian, J. R.; Rodriguez-Fernandez, O. S.","","","","JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY","MAY 2007","2007","42","2","","","","181","186","","10.1007/s10971-007-1557-3","","","30","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","5","1","2","2","2","1","1","2","2","2","0","3","2","0","0"
"Aminosilane grafting of plasticized poly(vinyl chloride) .2. Grafting and crosslinking reactions","RodriguezFernandez, OS; Gilbert, M","","","","JOURNAL OF APPLIED POLYMER SCIENCE","DEC 12 1997","1997","66","11","","","","2121","2128","","10.1002/(SICI)1097-4628(19971219)66:11<2121::AID-APP8>3.0.CO;2-J","","","27","0.96","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","1","0","0","3","2","4","3","2","0","0","0","0","2","0","0","0","0","2","1","0","0","0","0"
"Preparation and characterization of Polyethylene/Clay/Silver nanocomposites using functionalized polyethylenes as an adhesion promoter","Ibarra-Alonso, M. C.; Sanchez-Valdes, S.; Ramirez-Vargas, E.; Fernandez-Tavizon, S.; Romero-Garcia, J.; Ledezma-Perez, A. S.; Ramos de Valle, L. F.; Rodriguez-Fernandez, O. S.; Espinoza-Martinez, A. B.; Martinez-Colunga, J. G.; Cabrera-Alvarez, E. N.","","","","JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY","SEP 17 2015","2015","29","18","","","","1911","1923","","10.1080/01694243.2015.1045247","","","24","2.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","6","4","4","2","1","3","1"
"Aminosilane grafting of plasticized poly(vinyl chloride) .1. Extent and rate of crosslinking","RodriguezFernandez, OS; Gilbert, M","","","","JOURNAL OF APPLIED POLYMER SCIENCE","DEC 12 1997","1997","66","11","","","","2111","2119","","10.1002/(SICI)1097-4628(19971219)66:11<2111::AID-APP7>3.0.CO;2-K","","","24","0.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","2","2","2","1","3","0","1","1","0","0","3","0","0","0","2","2","0","1","0","0"
"A "green methodology" approach to the synthesis of HfO<sub>2</sub> nanoparticles","Quintero-Garcia, J. S.; Puente-Urbina, B. A.; Garcia-Cerda, L. A.; Rodriguez-Fernandez, O. S.; Mendoza-Mendoza, E.","","","","MATERIALS LETTERS","NOV 15 2015","2015","159","","","","","520","524","","10.1016/j.matlet.2015.07.014","","","20","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","4","3","1","1","4","1"
"Peroxide crosslinking of PVC foam formulations","Yáñez-Flores, IG; Ibarra-Gómez, R; Rodríguez-Fernández, OS; Gilbert, M","","","","EUROPEAN POLYMER JOURNAL","OCT 2000","2000","36","10","","","","2235","2241","","10.1016/S0014-3057(99)00295-5","","","20","0.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","2","2","0","1","2","0","0","0","1","3","2","1","0","0","0","1","0"
"Thermoplastic Elastomers Based on High-Density Polyethylene, Ethylene-Propylene-Diene Terpolymer, and Ground Tire Rubber Dynamically Vulcanized with Dicumyl Peroxide","Narro Cespedes, Rosa Idalia; Hernandez Gamez, Jose Francisco; Neira Velazquez, Maria Guadalupe; Avalos Belmontes, Felipe; Enrique Diaz de Leon, Ramon; Rodriguez Fernandez, Oliverio Santiago; Avila Orta, Carlos Alberto; Hernandez Hernandez, Ernesto","","","","JOURNAL OF APPLIED POLYMER SCIENCE","FEB 15 2014","2014","131","4","","","","","","39901","10.1002/app.39901","","","19","1.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","2","2","3","3","3","1","0"
"Fusion bonding of maleated polyethylene blends to polyamide 6","Sanchez-Valdes, S; Yanez-Flores, I; De Valle, LFR; Rodriguez-Fernandez, OS; Orona-Villarreal, F; Lopez-Quintanilla, M","","","","POLYMER ENGINEERING AND SCIENCE","JAN 1998","1998","38","1","","","","127","133","","10.1002/pen.10172","","","17","0.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","0","1","1","0","0","0","1","1","0","1","1","1","0","1","3","0","0","0","0","0"
"Nanocomposite PLA/C20A Nanoclay by Ultrasound-Assisted Melt Extrusion for Adsorption of Uremic Toxins and Methylene Blue Dye","Andrade-Guel, M.; Cabello-Alvarado, C.; Romero-Huitzil, R. L.; Rodriguez-Fernandez, O. S.; Avila-Orta, C. A.; Cadenas-Pliego, G.; Medellin-Banda, D., I; Gallardo-Vega, C.; Cepeda-Garza, J.","","","","NANOMATERIALS","OCT 2021","2021","11","10","","","","","","2477","10.3390/nano11102477","","","12","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","4"
"Influence of carbon nanofiber functionalization and compatibilizer on the physical properties of carbon nanofiber reinforced polypropylene nanocomposites","Munoz-Avila, J. M.; Sanchez-Valdes, S.; Yanez-Flores, I.; Rodriguez-Fernandez, O. S.; Neira-Velazquez, M. G.; Hernandez-Hernandez, E.; Flores-Gallardo, S.; Avalos-Belmontes, F.; Lozano-Ramirez, T.; Morales-Cepeda, A.; Lafleur, P. G.","","","","POLYMER COMPOSITES","OCT 2018","2018","39","10","","","","3575","3585","","10.1002/pc.24380","","","12","1.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","3","1","1"
