Jose Maria RodrÃ­guez-LELIS (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"A comparative study of treatment of two-dimensional two-phase flows of steam by a Runge-Kutta and by Denton's methods","Bakhtar, F.; Zamri, M. Y.; Rodriguez-Lelis, J. M.","","","","PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART C-JOURNAL OF MECHANICAL ENGINEERING SCIENCE","JUN 2007","2007","221","6","","","","689","706","","10.1243/0954406JMES477","","","38","2.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","1","4","2","0","4","4","1","2","4","3","2","5","2"
"Detection of damage in steam turbine blades caused by low cycle and strain cycling fatigue","Cano, S.; Rodriguez, J. A.; Rodriguez, J. M.; Garcia, J. C.; Sierra, F. Z.; Casolco, S. R.; Herrera, M.","","","","ENGINEERING FAILURE ANALYSIS","MAR 2019","2019","97","","","","","579","588","","10.1016/j.engfailanal.2019.01.015","","","28","4.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","6","5","7","3"
"Diagnostic and failure analysis in blades of a 300 MW steam turbine","Segura, J. A.; Castro, L.; Rosales, I.; Rodriguez, J. A.; Urquiza, G.; Rodriguez, J. M.","","","","ENGINEERING FAILURE ANALYSIS","DEC 2017","2017","82","","","","","631","641","","10.1016/j.engfailanal.2017.04.039","","","17","2.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","3","3","2","3","0"
"Failure probability estimation of steam turbine blades by enhanced Monte Carlo Method","Rodriguez, J. A.; Garcia, J. C.; Alonso, E.; El Hamzaoui, Y.; Rodriguez, J. M.; Urquiza, G.","","","","ENGINEERING FAILURE ANALYSIS","OCT 2015","2015","56","","","","","80","88","","10.1016/j.engfailanal.2015.04.009","6th International Conference on Engineering Failure Analysis (ICEFA)","JUL 06-09, 2014","14","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","2","0","0","4","1"
"Adhesion strength in laminated glazings containing multilayer solar control coatings","Aguilar, J. O.; Rodriguez-Lelis, J. M.; Carrasco de la Fuente, M.; Lopez-Mata, C.; Arellano-Cabrera, J. A.; Chan, F.","","","","JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY","JUN 2012","2012","26","6","","","","1725","1730","","10.1007/s12206-012-0437-0","","","11","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","1","2","1","3","0","0"
"Entropy generation as an environmental impact indicator and a sample application to freshwater ecosystems eutrophication","Diaz-Mendez, S. E.; Sierra-Grajeda, J. M. T.; Hernandez-Guerrero, A.; Rodriguez-Lelis, J. M.","","","","ENERGY","NOV 1 2013","2013","61","","","","","234","239","","10.1016/j.energy.2013.09.042","","","9","0.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","1","3","1","0"
"A general exergy-based environmental impact index","Diaz-Mendez, Sosimo E.; Maria Rodriguez-Lelis, Jose; Hernandez-Guerrero, Abel","","","","JOURNAL OF MECHANICAL SCIENCE AND TECHNOLOGY","AUG 2011","2011","25","8","","","","1979","1985","","10.1007/s12206-011-0219-0","","","8","0.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","1","1","1","0","0","1","0"
"Diamond like carbon coating of ball bearings for raceway surface by triboadhesion","Rodriguez, J. A.; Rodriguez, J. M.; Garcia, J. C.; Arellano, J. A.; Maldonado, J. L.","","","","INDIAN JOURNAL OF ENGINEERING AND MATERIALS SCIENCES","FEB 2014","2014","21","1","","","","104","110","","","","","4","0.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0"
"Deposition of diamond in copper by triboadhesion","Lelis, JMR; Ocempo, JC; Calderón, JP; Robles, JM","","","","JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME","AUG 2003","2003","125","3","","","","628","630","","10.1115/1.1557297","","","4","0.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"A PASSIVE STATE SIMULATION OF AN ANAL SPHINCTER USING SIMMECHANICS","Rios Ataxca, Blanca N.; Garcia Beltran, Carlos D.; Rodriguez Lelis, Jose M.; Olivares Peregrino, Victor H.; De la Concha Bermejillo, Florencio; Castro Gomez, Laura L.","","","","JOURNAL OF MECHANICS IN MEDICINE AND BIOLOGY","SEP 2018","2018","18","6","","","","","","1850059","10.1142/S0219519418500598","","","3","0.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1"
