Rodriguez-Sanchez, Dariana Graciela (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Isolation and chemical identification of lipid derivatives from avocado (<i>Persea americana</i>) pulp with antiplatelet and antithrombotic activities","Graciela Rodriguez-Sanchez, Dariana; Flores-Garcia, Mirthala; Silva-Platas, Christian; Rizzo, Sheryl; Torre-Amione, Guillermo; De la Pena-Diaz, Aurora; Hernandez-Brenes, Carmen; Garcia-Rivas, Gerardo","","","","FOOD & FUNCTION","2015","2015","6","1","","","","193","203","","10.1039/c4fo00610k","","","32","3.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","4","4","3","6","4","3","0"
"Isolation and Structure Elucidation of Avocado Seed (<i>Persea americana</i>) Lipid Derivatives That Inhibit <i>Clostridium sporogenes</i> Endospore Germination","Graciela Rodriguez-Sanchez, Dariana; Pacheco, Adriana; Isabel Garcia-Cruz, Maria; Alejandra Gutierrez-Uribe, Janet; Alejandro Benavides-Lozano, Jorge; Hernandez-Brenes, Carmen","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","JUL 31 2013","2013","61","30","","","","7403","7411","","10.1021/jf401407s","","","29","2.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","2","4","1","3","3","3","3","5","1"
"Inhibitory Activity of Avocado Seed Fatty Acid Derivatives (Acetogenins) Against <i>Listeria Monocytogenes</i>","Salinas-Salazar, Carmen; Hernandez-Brenes, Carmen; Graciela Rodriguez-Sanchez, Dariana; Cristina Castillo, Elena; Manuel Navarro-Silva, Jesus; Pacheco, Adriana","","","","JOURNAL OF FOOD SCIENCE","JAN 2017","2017","82","1","","","","134","144","","10.1111/1750-3841.13553","","","28","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","3","5","3","6","2"
"Activity-guided identification of acetogenins as novel lipophilic antioxidants present in avocado pulp (<i>Persea americana</i>)","Rodriguez-Sanchez, Dariana; Silva-Platas, Christian; Rojo, Rocio P.; Garcia, Noemi; Cisneros-Zevallos, Luis; Garcia-Rivas, Gerardo; Hernandez-Brenes, Carmen","","","","JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES","DEC 30 2013","2013","942","","","","","37","45","","10.1016/j.jchromb.2013.10.013","","","24","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","3","2","2","3","2","3","2","2"
"Cardiotoxicity of acetogenins from <i>Persea americana</i> occurs through the mitochondrial permeability transition pore and caspase-dependent apoptosis pathways","Silva-Platas, Christian; Garcia, Noemi; Fernandez-Sada, Evaristo; Davila, Daniel; Hernandez-Brenes, Carmen; Rodriguez, Dariana; Garcia-Rivas, Gerardo","","","","JOURNAL OF BIOENERGETICS AND BIOMEMBRANES","AUG 2012","2012","44","4","","","","461","471","","10.1007/s10863-012-9452-1","","","18","1.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","2","3","0","3","0","2","1","2","0","0"
"Stability of the antimicrobial activity of acetogenins from avocado seed, under common food processing conditions, against <i>Clostridium sporogenes</i> vegetative cell growth and endospore germination","Pacheco, Adriana; Graciela Rodriguez-Sanchez, Dariana; Villarreal-Lara, Raul; Manuel Navarro-Silva, Jesus; Senes-Guerrero, Carolina; Hernandez-Brenes, Carmen","","","","INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY","NOV 2017","2017","52","11","","","","2311","2323","","10.1111/ijfs.13513","","","15","1.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","1","2","1","1"
"Purified avocado seed acetogenins: Antimicrobial spectrum and complete inhibition of <i>Listeria monocytogenes</i> in a refrigerated food matrix","Villarreal-Lara, Raul; Graciela Rodriguez-Sanchez, Dariana; Diaz De la Garza, Rocio, I; Isabel Garcia-Cruz, Maria; Castillo, Alejandro; Pacheco, Adriana; Hernandez-Brenes, Carmen","","","","CYTA-JOURNAL OF FOOD","2019","2019","17","1","","","","228","239","","10.1080/19476337.2019.1575908","","","14","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","2","5","1"
"Chemical Profile and Safety Assessment of a Food-Grade Acetogenin-Enriched Antimicrobial Extract from Avocado Seed","Rodriguez-Sanchez, Dariana G.; Pacheco, Adriana; Villarreal-Lara, Raul; Ramos-Gonzalez, Martin R.; Ramos-Parra, Perla A.; Granados-Principal, Sergio; Diaz de la Garza, Rocio I.; Garcia-Rivas, Gerardo; Hernandez-Brenes, Carmen","","","","MOLECULES","JUL 1 2019","2019","24","13","","","","","","2354","10.3390/molecules24132354","","","12","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","2","2"
"Insights into Drivers of Liking for Avocado Pulp (<i>Persea americana</i>): Integration of Descriptive Variables and Predictive Modeling","Marin-Obispo, Luis Martin; Villarreal-Lara, Raul; Rodriguez-Sanchez, Dariana Graciela; Del Follo-Martinez, Armando; Espindola Barquera, Maria de la Cruz; Jaramillo-De la Garza, Jesus Salvador; Diaz de la Garza, Rocio I.; Hernandez-Brenes, Carmen","","","","FOODS","JAN 2021","2021","10","1","","","","","","99","10.3390/foods10010099","","","10","2.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","2"
"Integrative Analysis of Lipid Profiles in Plasma Allows Cardiometabolic Risk Factor Clustering in Children with Metabolically Unhealthy Obesity","Cristina Castillo, Elena; Elizondo-Montemayor, Leticia; Hernandez-Brenes, Carmen; Rodriguez-Sanchez, Dariana G.; Silva-Platas, Christian; Martin Marin-Obispo, Luis; Rodriguez-Gutierrez, Nora A.; Trevino, Victor; Garcia-Rivas, Gerardo","","","","OXIDATIVE MEDICINE AND CELLULAR LONGEVITY","AUG 12 2020","2020","2020","","","","","","","2935278","10.1155/2020/2935278","","","7","1.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","1"
