Ruiz-Ruiz, Federico (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aqueous two-phase affinity partitioning systems: Current applications and trends","Ruiz-Ruiz, Federico; Benavides, Jorge; Aguilar, Oscar; Rito-Palomares, Marco","","","","JOURNAL OF CHROMATOGRAPHY A","JUN 29 2012","2012","1244","","","","","1","13","","10.1016/j.chroma.2012.04.077","16th International Conference on BioPartitioning and Purification","SEP 18-22, 2011","121","9.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","11","9","8","10","15","12","8","9","9","15","8"
"Scaling-up of a B-phycoerythrin production and purification bioprocess involving aqueous two-phase systems: Practical experiences","Ruiz-Ruiz, Federico; Benavides, Jorge; Rito-Palomares, Marco","","","","PROCESS BIOCHEMISTRY","APR 2013","2013","48","4","","","","738","745","","10.1016/j.procbio.2013.02.010","","","55","4.58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","8","3","4","4","7","6","4","7","4","3"
"Marine-Derived Bioactive Peptides for Biomedical Sectors: A Review","Ruiz-Ruiz, Federico; Mancera-Andrade, Elena I.; Iqbal, Hafiz M. N.","","","","PROTEIN AND PEPTIDE LETTERS","2017","2017","24","2","","","","109","117","","10.2174/0929866523666160802155347","","","32","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","5","2","4","7","2","3"
"Continuous aqueous two-phase extraction of microalgal C-phycocyanin using a coiled flow inverter","Ruiz-Ruiz, Federico; Lopez-Guajardo, Enrique; Vazquez-Villegas, Patricia; del Angel-Chong, Martha E.; Nigam, K. D. P.; Willson, Richard C.; Rito-Palomares, Marco","","","","CHEMICAL ENGINEERING AND PROCESSING-PROCESS INTENSIFICATION","AUG 2019","2019","142","","","","","","","107554","10.1016/j.cep.2019.107554","","","22","3.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","7","5","2"
"Recovery and primary purification of bacteriophage M13 using aqueous two-phase systems","Gonzalez-Mora, Alejandro; Ruiz-Ruiz, Federico; Benavides, Jorge; Willson, Richard C.; Rito-Palomares, Marco","","","","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","NOV 2017","2017","92","11","","","","2808","2816","","10.1002/jctb.5359","","","19","2.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","6","1","3","3"
"Economic Analysis of Pilot-Scale Production of B-Phycoerythrin","Torres-Acosta, Mario A.; Ruiz-Ruiz, Federico; Aguilar-Yanez, Jose M.; Benavides, Jorge; Rito-Palomares, Marco","","","","BIOTECHNOLOGY PROGRESS","NOV-DEC 2016","2016","32","6","","","","1472","1479","","10.1002/btpr.2344","","","18","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","4","3","2","1","2","2"
"A microdevice assisted approach for the preparation, characterization and selection of continuous aqueous two-phase systems: from micro to bench-scale","Vazquez-Villegas, Patricia; Ouellet, Eric; Gonzalez, Claudia; Ruiz-Ruiz, Federico; Rito-Palomares, Marco; Haynes, Charles A.; Aguilar, Oscar","","","","LAB ON A CHIP","2016","2016","16","14","","","","2662","2672","","10.1039/c6lc00333h","","","13","1.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","2","1","0","0","1"
"Drug Delivery and Cosmeceutical Applications of Poly- Lactic Acid Based Novel Constructs - A Review","Ruiz-Ruiz, Federico; Ivonne Mancera-Andrade, Elena; Parra-Saldivar, Roberto; Keshavarz, Tajalli; Iqbal, Hafiz M. N.","","","","CURRENT DRUG METABOLISM","2017","2017","18","10","","","","914","925","","10.2174/1389200218666170919170335","","","12","1.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","1","1","0","2"
"Economic evaluation ofM13bacteriophage production atlarge-Scalefor therapeutic applications using aqueousTwo-Phasesystems","Torres-Acosta, Mario; Gonzalez-Mora, Alejandro; Ruiz-Ruiz, Federico; Rito-Palomares, Marco; Benavides, Jorge","","","","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","NOV 2020","2020","95","11","","","","2822","2833","","10.1002/jctb.6526","","","9","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","3","0","0"
"Flotation Immunoassay: Masking the Signal from Free Reporters in Sandwich Immunoassays","Chen, Hui; Hagstrom, Anna E. V.; Kim, Jinsu; Garvey, Gavin; Paterson, Andrew; Ruiz-Ruiz, Federico; Raja, Balakrishnan; Strych, Ulrich; Rito-Palomares, Marco; Kourentzi, Katerina; Conrad, Jacinta C.; Atmar, Robert L.; Willson, Richard C.","","","","SCIENTIFIC REPORTS","APR 14 2016","2016","6","","","","","","","24297","10.1038/srep24297","","","9","1.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1","3","0","1","0"
