Hermelinda Salgado-Ceballos (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Effect of natural exogenous antioxidants on aging and on neurodegenerative diseases","Guerra-Araiza, C.; Alvarez-Mejia, A. L.; Sanchez-Torres, S.; Farfan-Garcia, E.; Mondragon-Lozano, R.; Pinto-Almazan, R.; Salgado-Ceballos, H.","","","","FREE RADICAL RESEARCH","JUL 2013","2013","47","6-7","","","","451","462","","10.3109/10715762.2013.795649","","","83","6.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","8","10","12","7","8","9","8","8","2","1"
"Spontaneous long-term remyelination after traumatic spinal cord injury in rats","Salgado-Ceballos, H; Guizar-Sahagun, G; Feria-Velasco, A; Grijalva, I; Espitia, L; Ibarra, A; Madrazo, I","","","","BRAIN RESEARCH","JAN 26 1998","1998","782","1-2","","","","126","135","","","","","56","2.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","4","5","4","3","2","3","4","3","1","2","1","2","2","4","1","1","2","1","3","1","0","1","1","0"
"Inflammation: A Target for Treatment in Spinal Cord Injury","Freyermuth-Trujillo, Ximena; Segura-Uribe, Julia J.; Salgado-Ceballos, Hermelinda; Orozco-Barrios, Carlos E.; Coyoy-Salgado, Angelica","","","","CELLS","SEP 2022","2022","11","17","","","","","","2692","10.3390/cells11172692","","","50","16.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","30"
"Tissue spinal cord response in rats after implants of polypyrrole and polyethylene glycol obtained by plasma","Olayo, Roberto; Rios, Camilo; Salgado-Ceballos, Hermelinda; Jesus Cruz, Guillermo; Morales, Juan; Guadalupe Olayo, Maria; Alcaraz-Zubeldia, Mireya; Laura Alvarez, Ana; Mondragon, Rodrigo; Morales, Axayacatl; Diaz-Ruiz, Araceli","","","","JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","FEB 2008","2008","19","2","","","","817","826","","10.1007/s10856-007-3080-z","","","49","2.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","3","1","3","7","2","2","5","1","3","4","2","3","1","4"
"Antioxidant, Antiinflammatory and Antiapoptotic Effects of Dapsone in a Model of Brain Ischemia/Reperfusion in Rats","Diaz-Ruiz, Araceli; Zavala, Carlos; Montes, Sergio; Ortiz-Plata, Alma; Salgado-Ceballos, Hermelinda; Orozco-Suarez, Sandra; Nava-Ruiz, Concepcion; Perez-Neri, Ivan; Perez-Severiano, Francisca; Rios, Camillo","","","","JOURNAL OF NEUROSCIENCE RESEARCH","NOV 15 2008","2008","86","15","","","","3410","3419","","10.1002/jnr.21775","","","48","2.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","2","3","4","3","5","4","2","2","4","2","5","4","4"
"The Importance of Natural Antioxidants in the Treatment of Spinal Cord Injury in Animal Models: An Overview","Coyoy-Salgado, Angelica; Segura-Uribe, Julia J.; Guerra-Araiza, Christian; Orozco-Suarez, Sandra; Salgado-Ceballos, Hermelinda; Feria-Romero, Iris A.; Gallardo, Juan Manuel; Orozco-Barrios, Carlos E.","","","","OXIDATIVE MEDICINE AND CELLULAR LONGEVITY","NOV 12 2019","2019","2019","","","","","","","3642491","10.1155/2019/3642491","","","40","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","15","11","5"
"Efficacy and safety of 4-aminopyridine in patients with long-term spinal cord injury:: A randomized, double-blind, placebo-controlled trial","Grijalva, I; Guízar-Sahagún, G; Castañeda-Hernández, G; Mino, D; Maldonado-Julián, H; Vidal-Cantú, G; Ibarra, A; Serra, O; Salgado-Ceballos, H; Arenas-Hernández, R","","","","PHARMACOTHERAPY","JUL 2003","2003","23","7","","","","823","834","","10.1592/phco.23.7.823.32731","","","39","1.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","2","4","2","2","4","3","2","1","2","0","1","0","0","0","1","2","2","0","2"
"Functional recovery in spinal cord injured rats using polypyrrole/iodine implants and treadmill training","Alvarez-Mejia, Laura; Morales, Juan; Cruz, Guillermo J.; Olayo, Maria-Guadalupe; Olayo, Roberto; Diaz-Ruiz, Araceli; Rios, Camilo; Mondragon-Lozano, Rodrigo; Sanchez-Torres, Stephanie; Morales-Guadarrama, Axayacatl; Fabela-Sanchez, Omar; Salgado-Ceballos, Hermelinda","","","","JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE","JUL 2015","2015","26","7","","","","","","209","10.1007/s10856-015-5541-0","","","29","2.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","4","2","5","4","4","4"
"Delayed Administration of Dapsone Protects From Tissue Damage and Improves Recovery After Spinal Cord Injury","Diaz-Ruiz, Araceli; Salgado-Ceballos, Hermelinda; Montes, Sergio; Guizar-Sahagun, Gabriel; Gelista-Herrera, Noemi; Mendez-Armenta, Marisela; Diaz-Cintra, Sofia; Rios, Camilo","","","","JOURNAL OF NEUROSCIENCE RESEARCH","MAR 2011","2011","89","3","","","","373","380","","10.1002/jnr.22555","","","29","2.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","4","3","2","3","0","1","2","3","3","3","0"
"Acute alterations of glutamate, glutamine, GABA, and other amino acids after spinal cord contusion in rats","Diaz-Ruiz, Araceli; Salgado-Ceballos, Hermelinda; Montes, Sergio; Maldonado, Valente; Tristan, Luis; Alcaraz-Zubeldia, Mireya; Rios, Camilo","","","","NEUROCHEMICAL RESEARCH","JAN 2007","2007","32","1","","","","57","63","","10.1007/s11064-006-9225-5","","","28","1.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","2","2","2","4","0","1","0","1","0","3","3","2","2","1"
