C.F. SÃ¡nchez-ValdÃ©s (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Giant magnetocaloric effect in melt-spun Ni-Mn-Ga ribbons with magneto-multistructural transformation","Li, Zongbin; Zhang, Yudong; Sanchez-Valdes, C. F.; Sanchez Llamazares, J. L.; Esling, Claude; Zhao, Xiang; Zuo, Liang","","","","APPLIED PHYSICS LETTERS","JAN 27 2014","2014","104","4","","","","","","044101","10.1063/1.4863273","","","117","10.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","10","12","17","12","10","14","14","6","10","4"
"Phase transistion and magnetocaloric properties of Mn<sub>50</sub>Ni<sub>42-<i>x</i></sub>Co<sub><i>x</i></sub>Sn<sub>8</sub> (0 ≤ <i>x</i> ≤ 10) melt-spun ribbons","Li, Zongbin; Jiang, Yiwen; Li, Zhenzhuang; Sanchez Valdes, Cesar Fidel; Sanchez Llamazares, Jose Luis; Yang, Bo; Zhang, Yudong; Esling, Claude; Zhao, Xiang; Zuo, Liang","","","","IUCRJ","JAN 2018","2018","5","","1","","","54","66","","10.1107/S2052252517016220","","","78","11.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","17","17","17","11","7","4"
"Tuning the Reversible Magnetocaloric Effect in Ni-Mn-In-Based Alloys through Co and Cu Co-Doping","Li, Zongbin; Yang, Jiajing; Li, Dong; Li, Zhenzhuang; Yang, Bo; Yan, Haile; Fidel Sanchez-Valdes, Cesar; Sanchez Llamazares, Jose Luis; Zhang, Yudong; Esling, Claude; Zhao, Xiang; Zuo, Liang","","","","ADVANCED ELECTRONIC MATERIALS","MAR 2019","2019","5","3","","","","","","1800845","10.1002/aelm.201800845","","","73","12.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","17","22","15","12","4"
"Giant low-field magnetocaloric effect in Si alloyed Ni-Co-Mn-In alloys","Li, Zongbin; Dong, Shuya; Li, Zhenzhuang; Yang, Bo; Liu, Fang; Sanchez-Valdes, C. F.; Sanchez Llamazares, J. L.; Zhang, Yudong; Esling, Claude; Zhao, Xiang; Zuo, Liang","","","","SCRIPTA MATERIALIA","JAN 15 2019","2019","159","","","","","113","118","","10.1016/j.scriptamat.2018.09.029","","","71","11.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","20","19","14","6","5"
"Synthesis of silver nanoparticles by laser ablation in ethanol: A pulsed photoacoustic study","Valverde-Alva, M. A.; Garcia-Fernandez, T.; Villagran-Muniz, M.; Sanchez-Ake, C.; Castaneda-Guzman, R.; Esparza-Alegria, E.; Sanchez-Valdes, C. F.; Sanchez Llamazares, J. L.; Marquez Herrera, C. E.","","","","APPLIED SURFACE SCIENCE","NOV 15 2015","2015","355","","","","","341","349","","10.1016/j.apsusc.2015.07.133","","","65","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","11","9","7","15","7","5","3"
"Giant and Reversible Inverse Barocaloric Effects near Room Temperature in Ferromagnetic MnCoGeB<sub>0.03</sub>","Aznar, Araceli; Lloveras, Pol; Kim, Ji-Yeob; Stern-Taulats, Enric; Barrio, Maria; Lluis Tamarit, Josep; Sanchez-Valdes, Cesar F.; Sanchez Llamazares, Jose Luis; Mathur, Neil D.; Moya, Xavier","","","","ADVANCED MATERIALS","SEP 2019","2019","31","37","","","","","","1903577","10.1002/adma.201903577","","","64","10.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","13","13","18","13","6"
"Microstructure and magnetocaloric effect of melt-spun Ni<sub>52</sub>Mn<sub>26</sub>Ga<sub>22</sub> ribbon","Li, Z. B.; Sanchez Llamazares, J. L.; Sanchez-Valdes, C. F.; Zhang, Y. D.; Esling, C.; Zhao, X.; Zuo, L.","","","","APPLIED PHYSICS LETTERS","APR 23 2012","2012","100","17","","","","","","174102","10.1063/1.4704780","","","59","4.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","4","5","7","8","3","4","7","2","6","2"
"Enhanced refrigerant capacity in Gd-Al-Co microwires with a biphase nanocrystalline/amorphous structure","Shen, H. X.; Xing, D. W.; Sanchez Llamazares, J. L.; Sanchez-Valdes, C. F.; Belliveau, H.; Wang, H.; Qin, F. X.; Liu, Y. F.; Sun, J. F.; Srikanth, H.; Phan, M. H.","","","","APPLIED PHYSICS LETTERS","FEB 29 2016","2016","108","9","","","","","","092403","10.1063/1.4943137","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","11","11","5","8","5","2","2"
"Texture-induced enhancement of the magnetocaloric response in melt-spun DyNi<sub>2</sub> ribbons","Ibarra-Gaytan, P. J.; Sanchez-Valdes, C. F.; Sanchez Llamazares, J. L.; Alvarez-Alonso, Pablo; Gorria, Pedro; Blanco, J. A.","","","","APPLIED PHYSICS LETTERS","OCT 7 2013","2013","103","15","","","","","","152401","10.1063/1.4824073","","","47","3.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","5","7","4","7","3","4","3","2","5","3"
"Magnetocaloric effect in melt-spun MnCoGe ribbons","Sanchez-Valdes, C. F.; Sanchez Llamazares, J. L.; Flores-Zuniga, H.; Rios-Jara, D.; Alvarez-Alonso, P.; Gorria, Pedro","","","","SCRIPTA MATERIALIA","AUG 2013","2013","69","3","","","","211","214","","10.1016/j.scriptamat.2013.03.022","","","41","3.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","4","3","5","6","3","1","2","3","3","2"
"Enhanced refrigerant capacity in two-phase nanocrystalline/amorphous NdPrFe<sub>17</sub> melt-spun ribbons","Sanchez-Valdes, C. F.; Ibarra-Gaytan, P. J.; Sanchez Llamazares, J. L.; Avalos-Borja, M.; Alvarez-Alonso, Pablo; Gorria, Pedro; Blanco, J. A.","","","","APPLIED PHYSICS LETTERS","MAY 26 2014","2014","104","21","","","","","","212401","10.1063/1.4879544","","","40","3.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","7","8","4","1","5","1","1","3"
"On the correct estimation of the magnetic entropy change across the magneto-structural transition from the Maxwell relation: Study of MnCoGeB<sub>X</sub> alloy ribbons","Quintana-Nedelcos, A.; Sanchez Llamazares, J. L.; Sanchez-Valdes, C. F.; Alvarez Alonso, P.; Gorria, P.; Shamba, P.; Morley, N. A.","","","","JOURNAL OF ALLOYS AND COMPOUNDS","FEB 15 2017","2017","694","","","","","1189","1195","","10.1016/j.jallcom.2016.10.116","","","38","4.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","5","5","7","1","3","1"
"Thermal and magnetic field-induced martensitic transformation in Ni<sub>50</sub>Mn<sub>25-<i>x</i></sub>Ga<sub>25</sub>Cu<i><sub>x</sub></i> (0 ≤ <i>x</i> ≤ 7) melt-spun ribbons","Li, Zongbin; Zou, Naifu; Sanchez-Valdes, C. F.; Sanchez Llamazares, J. L.; Yang, Bo; Hu, Yong; Zhang, Yudong; Esling, Claude; Zhao, Xiang; Zuo, Liang","","","","JOURNAL OF PHYSICS D-APPLIED PHYSICS","JAN 21 2016","2016","49","2","","","","","","025002","10.1088/0022-3727/49/2/025002","","","36","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","4","6","4","6","3","4","1"
"The effect of cooling rate on magnetothermal properties of Fe<sub>49</sub>Rh<sub>51</sub>","Sanchez-Valdes, C. F.; Gimaev, R. R.; Lopez-Cruz, M.; Sanchez Llamazares, J. L.; Zverev, V. I.; Tishin, A. M.; Carvalho, A. M. G.; Aguiar, D. J. M.; Mudryk, Y.; Pecharsky, V. K.","","","","JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS","MAR 15 2020","2020","498","","","","","","","166130","10.1016/j.jmmm.2019.166130","","","32","6.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","7","3","2"
"Room temperature ferromagnetism and ferroelectricity in strained multiferroic BiFeO<sub>3</sub> thin films on La<sub>0.7</sub>Sr<sub>0.3</sub>MnO<sub>3</sub>/SiO<sub>2</sub>/Si substrates","Ramirez-Camacho, M. C.; Sanchez-Valdes, C. F.; Gervacio-Arciniega, J. J.; Font, R.; Ostos, C.; Bueno-Baques, D.; Curie, M.; Sanchez-Llamazares, J. L.; Siqueiros, J. M.; Raymond-Herrera, J.","","","","ACTA MATERIALIA","APR 15 2017","2017","128","","","","","451","464","","10.1016/j.actamat.2017.02.030","","","29","3.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","4","9","4","2","0"
"On the broadening of the magnetic entropy change due to Curie temperature distribution","Alvarez-Alonso, Pablo; Sanchez Llamazares, Jose L.; Sanchez-Valdes, Cesar F.; Cuello, Gabriel J.; Franco, Victorino; Gorria, Pedro; Blanco, Jesus A.","","","","JOURNAL OF APPLIED PHYSICS","MAY 7 2014","2014","115","17","","","","","","17A929","10.1063/1.4867346","58th Annual Conference on Magnetism and Magnetic Materials","NOV 04-08, 2013","29","2.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","2","1","2","3","3","2","2","3","2"
"Large magnetic entropy change and refrigeration capacity around room temperature in quinary Ni<sub>41</sub>Co<sub>9-x</sub>Fe<sub>x</sub>Mn<sub>40</sub>Sn<sub>10</sub> alloys (x=2.0 and 2.5)","Chen, F.; Sanchez Llamazares, J. L.; Sanchez-Valdes, C. F.; Chen, Fenghua; Li, Zongbin; Tong, Y. X.; Li, L.","","","","JOURNAL OF ALLOYS AND COMPOUNDS","JUN 5 2020","2020","825","","","","","","","154053","10.1016/j.jallcom.2020.154053","","","27","5.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","5","5","5"
"Refrigerant capacity of austenite in as-quenched and annealed Ni<sub>51.1</sub>Mn<sub>31.2</sub>In<sub>17.7</sub> melt spun ribbons","Sanchez Llamazares, J. L.; Flores-Zuniga, H.; Sanchez-Valdes, C.; Ross, C. A.; Garcia, C.","","","","JOURNAL OF APPLIED PHYSICS","APR 1 2012","2012","111","7","","","","","","07A932","10.1063/1.3676606","56th Annual Conference on Magnetism and Magnetic Materials","OCT 30-30, 2011","27","2.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","2","2","1","8","3","2","1","1","0","0"
"Enhanced refrigerant capacity and Curie temperature of amorphous Gd<sub>60</sub>Fe<sub>20</sub>Al<sub>20</sub> microwires","Duc, N. T. M.; Shen, H. X.; Clements, E. M.; Thiabgoh, O.; Sanchez Llamazares, J. L.; Sanchez-Valdes, C. F.; Huong, N. T.; Sun, J. F.; Srikanth, H.; Phan, M. H.","","","","JOURNAL OF ALLOYS AND COMPOUNDS","OCT 30 2019","2019","807","","","","","","","151694","10.1016/j.jallcom.2019.151694","","","25","4.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","9","4","2","1"
"Magnetic entropy change and refrigerant capacity of rapidly solidified TbNi<sub>2</sub> alloy ribbons","Sanchez Llamazares, J. L.; Sanchez-Valdes, C. F.; Ibarra-Gaytan, P. J.; Alvarez-Alonso, Pablo; Gorria, P.; Blanco, J. A.","","","","JOURNAL OF APPLIED PHYSICS","MAY 7 2013","2013","113","17","","","","","","17A912","10.1063/1.4794988","12th Joint MMM-Intermag Conference","JAN 14-18, 2013","25","2.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","4","2","2","1","2","3","1","3","2"
"Structural and magnetic characterization of the intermartensitic phase transition in NiMnSn Heusler alloy ribbons","Sanchez Llamazares, J. L.; Flores-Zuniga, H.; Rios-Jara, D.; Sanchez-Valdes, C. F.; Garcia-Fernandez, T.; Ross, C. A.; Garcia, C.","","","","JOURNAL OF APPLIED PHYSICS","MAY 7 2013","2013","113","17","","","","","","17A948","10.1063/1.4800836","12th Joint MMM-Intermag Conference","JAN 14-18, 2013","24","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","5","4","0","5","4","2","1","0"
"High-magnetic field characterization of magnetocaloric effect in FeZrB(Cu) amorphous ribbons","Alvarez-Alonso, P.; Sanchez Llamazares, J. L.; Sanchez-Valdes, C. F.; Fdez-Gubieda, M. L.; Gorria, Pedro; Blanco, J. A.","","","","JOURNAL OF APPLIED PHYSICS","MAY 7 2015","2015","117","17","","","","","","17A710","10.1063/1.4907188","","","23","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","3","3","1","2","1","3","3","1"
"<i>In situ</i> study through electrical resistance of growth rate of trifluoroacetate-based solution-derived YBa<sub>2</sub>Cu<sub>3</sub>O<sub>7</sub> films","Sanchez-Valdes, C. F.; Puig, T.; Obradors, X.","","","","SUPERCONDUCTOR SCIENCE & TECHNOLOGY","FEB 2015","2015","28","2","","","","","","024006","10.1088/0953-2048/28/2/024006","","","23","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","2","5","3","1","3","2","2"
"The effect of step-like martensitic transformation on the magnetic entropy change of Ni<sub>40.6</sub>Co<sub>8.5</sub>Mn<sub>40.9</sub>Sn<sub>10</sub> unidirectional crystal grown with the Bridgman-Stockbarger technique","Chen, F.; Tong, Y. X.; Li, L.; Llamazares, J. L. Sanchez; Sanchez-Valdes, C. F.; Mullner, P.","","","","JOURNAL OF ALLOYS AND COMPOUNDS","JAN 15 2017","2017","691","","","","","269","274","","10.1016/j.jallcom.2016.08.240","","","22","2.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","3","3","2","0","0"
"Magnetic entropy table-like shape in RNi<sub>2</sub> composites for cryogenic refrigeration","Ibarra-Gaytan, P. J.; Sanchez Llamazares, J. L.; Alvarez-Alonso, Pablo; Sanchez-Valdes, C. F.; Gorria, Pedro; Blanco, J. A.","","","","JOURNAL OF APPLIED PHYSICS","MAY 7 2015","2015","117","17","","","","","","17C116","10.1063/1.4915480","","","22","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","0","3","3","3","2","1"
