JosÃ© Luis Santiago GarcÃ­a (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Characterization of extracellular polymers synthesized by tropical intertidal biofilm bacteria","Ortega-Morales, B. O.; Santiago-Garcia, J. L.; Chan-Bacab, M. J.; Moppert, X.; Miranda-Tello, E.; Fardeau, M. L.; Carrero, J. C.; Bartolo-Perez, P.; Valadez-Gonzalez, A.; Guezennec, J.","","","","JOURNAL OF APPLIED MICROBIOLOGY","JAN 2007","2007","102","1","","","","254","264","","10.1111/j.1365-2672.2006.03085.x","","","76","4.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","7","4","4","6","4","4","6","2","3","5","5","7","5","6","1"
"Characterization of Biodegradable Films Based on <i>Salvia hispanica</i> L. Protein and Mucilage","Capitani, M. I.; Matus-Basto, A.; Ruiz-Ruiz, J. C.; Santiago-Garcia, J. L.; Betancur-Ancona, D. A.; Nolasco, S. M.; Tomas, M. C.; Segura-Campos, M. R.","","","","FOOD AND BIOPROCESS TECHNOLOGY","AUG 2016","2016","9","8","","","","1276","1286","","10.1007/s11947-016-1717-y","","","48","5.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","7","11","10","5","7","4"
"CMS membranes from PBI/PI blends: Temperature effect on gas transport and separation performance","Manuel Perez-Francisco, Jose; Luis Santiago-Garcia, Jose; Isabel Loria-Bastarrachea, Maria; Paul, Donald R.; Freeman, Benny D.; Aguilar-Vega, Manuel","","","","JOURNAL OF MEMBRANE SCIENCE","MAR 1 2020","2020","597","","","","","","","117703","10.1016/j.memsci.2019.117703","","","39","7.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","7","13","9"
"Gas transport properties of new aromatic polyimides based on 3,8-diphenylpyrene-1,2,6,7-tetracarboxylic dianhydride","Luis Santiago-Garcia, Jose; Alvarez, Cristina; Sanchez, Felix; de la Campa, Jose G.","","","","JOURNAL OF MEMBRANE SCIENCE","FEB 15 2015","2015","476","","","","","442","448","","10.1016/j.memsci.2014.12.007","","","38","3.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","7","6","6","3","3","2","4","1"
"Synthesis and properties of new aromatic polyimides containing spirocyclic structures","Terraza, C. A.; Tagle, L. H.; Santiago-Garcia, J. L.; Canto-Acosta, R. J.; Aguilar-Vega, M.; Hauyon, R. A.; Coll, D.; Ortiz, P.; Perez, G.; Herran, L.; Comesana-Gandara, B.; McKeown, N. B.; Tundidor-Camba, A.","","","","POLYMER","FEB 14 2018","2018","137","","","","","283","292","","10.1016/j.polymer.2018.01.013","","","29","4.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","3","4","2","5"
"Highly permeable polyimide membranes with a structural pyrene containing <i>tert</i>-butyl groups: Synthesis, characterization and gas transport","Sulub-Sulub, R.; Loria-Bastarrachea, M. I.; Vazquez-Torres, H.; Santiago-Garcia, J. L.; Aguilar-Vega, M.","","","","JOURNAL OF MEMBRANE SCIENCE","OCT 1 2018","2018","563","","","","","134","141","","10.1016/j.memsci.2018.05.054","","","24","3.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2","2","6","5","1"
"Preparation and characterization of water-soluble polymers and their utilization in chromium sorption","Sanchez, Julio; Mendoza, Nicole; Rivas, Bernabe L.; Basaez, Luis; Santiago-Garcia, J. L.","","","","JOURNAL OF APPLIED POLYMER SCIENCE","OCT 15 2017","2017","134","39","","","","","","45355","10.1002/app.45355","","","21","2.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","4","5","1","3","2"
"Gas transport properties of novel aromatic poly- and copolyamides bearing bulky functional groups","Luis Santiago-Garcia, Jose; Manuel Perez-Francisco, Jose; Zolotukhin, Mikhail G.; Vazquez-Torres, Humberto; Aguilar-Vega, Manuel; Ortencia Gonzalez-Diaz, Maria","","","","JOURNAL OF MEMBRANE SCIENCE","JAN 15 2017","2017","522","","","","","333","342","","10.1016/j.memsci.2016.09.035","","","17","2.13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","4","5","2","1","0","1"
"Synthesis, characterization, and structure-property relationships of aromatic polyimides containing 4,4′-diaminotriphenylmethane","Aguilar-Lugo, C.; Santiago-Garcia, J. L.; Loria-Bastarrachea, M. I.; Guzman-Lucero, D.; Alexandrova, L.; Aguilar-Vega, M.","","","","JOURNAL OF POLYMER RESEARCH","FEB 17 2016","2016","23","3","","","","","","49","10.1007/s10965-016-0939-z","","","15","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","1","2","2","0","0"
"Preparation and Characterization of Flexible, Transparent and Thermally Stable Aromatic Co-polyamides","Antonio Tec-Sanchez, Jose; Oliva Arias, Andres Ivan; Aguilar-Vega, Manuel; Valerio Cauich-Rodriguez, Juan; Luis Santiago-Garcia, Jose","","","","CHINESE JOURNAL OF POLYMER SCIENCE","FEB 2019","2019","37","2","","","","136","141","","10.1007/s10118-019-2190-7","","","13","2.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","2","0","1"
