Sergio O Serna-Saldivar (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Bound phenolics in foods, a review","Acosta-Estrada, Beatriz A.; Gutierrez-Uribe, Janet A.; Serna-Saldivar, Sergio O.","","","","FOOD CHEMISTRY","JUN 1 2014","2014","152","","","","","46","55","","10.1016/j.foodchem.2013.11.093","","","786","71.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","27","50","61","78","91","101","112","106","101","52"
"Effect of processing on the phytochemical profiles and antioxidant activity of corn for production of masa, tortillas, and tortilla chips","de la Parra, Columba; Serna Saldivar, Sergio O.; Liu, Rui Hai","","","","JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","MAY 16 2007","2007","55","10","","","","4177","4183","","10.1021/jf063487p","","","197","10.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","8","9","11","14","10","17","11","17","12","14","24","15","13","9","6"
"Phenolic Composition, Antioxidant Capacity and In Vitro Cancer Cell Cytotoxicity of Nine Prickly Pear (Opuntia spp.) Juices","Chavez-Santoscoy, R. A.; Gutierrez-Uribe, J. A.; Serna-Saldivar, S. O.","","","","PLANT FOODS FOR HUMAN NUTRITION","JUN 2009","2009","64","2","","","","146","152","","10.1007/s11130-009-0117-0","","","149","9.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","9","8","9","11","11","7","10","10","13","8","7","18","15","5"
"Phenolic content and antioxidant activity of tortillas produced from pigmented maize processed by conventional nixtamalization or extrusion cooking","Mora-Rochin, Saraid; Gutierrez-Uribe, Janet A.; Serna-Saldivar, Sergio O.; Sanchez-Pena, Pedro; Reyes-Moreno, Cuauhtemoc; Milan-Carrillo, Jorge","","","","JOURNAL OF CEREAL SCIENCE","NOV 2010","2010","52","3","","","","502","508","","10.1016/j.jcs.2010.08.010","","","145","9.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","13","16","10","17","11","14","15","13","11","7","6","4"
"Polyphenolic and antioxidant content of white and blue corn (<i>Zea mays</i> L.) products","Del Pozo-Insfran, David; Brenes, Carmen H.; Saldivar, Sergio O. Serna; Talcott, Stephen T.","","","","FOOD RESEARCH INTERNATIONAL","2006","2006","39","6","","","","696","703","","10.1016/j.foodres.2006.01.014","","","142","7.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","6","8","9","7","6","9","10","11","16","6","6","13","8","9","7","5","3"
"Inactivation Methods of Trypsin Inhibitor in Legumes: A Review","Aviles-Gaxiola, Sara; Chuck-Hernandez, Cristina; Serna Saldivar, Sergio O.","","","","JOURNAL OF FOOD SCIENCE","JAN 2018","2018","83","1","","","","17","29","","10.1111/1750-3841.13985","","","130","18.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","8","19","22","26","34","17"
"Microwave and Ultrasound to Enhance Protein Extraction from Peanut Flour under Alkaline Conditions: Effects in Yield and Functional Properties of Protein Isolates","Ochoa-Rivas, Ariana; Nava-Valdez, Yazel; Serna-Saldivar, Sergio O.; Chuck-Hernandez, Cristina","","","","FOOD AND BIOPROCESS TECHNOLOGY","MAR 2017","2017","10","3","","","","543","555","","10.1007/s11947-016-1838-3","","","120","15.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","8","11","18","33","22","20"
"Bioactive Peptides and Hydrolysates from Pulses and Their Potential Use as Functional Ingredients","Lopez-Barrios, Lidia; Gutierrez-Uribe, Janet A.; Serna-Saldivar, Sergio O.","","","","JOURNAL OF FOOD SCIENCE","MAR 2014","2014","79","3","","","","R273","R283","","10.1111/1750-3841.12365","","","113","10.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","6","18","4","12","12","15","25","11","2"
"Dietary Fiber Concentrates from Fruit and Vegetable By-products: Processing, Modification, and Application as Functional Ingredients","Eduardo Garcia-Amezquita, Luis; Tejada-Ortigoza, Viridiana; Serna-Saldivar, Sergio O.; Welti-Chanes, Jorge","","","","FOOD AND BIOPROCESS TECHNOLOGY","AUG 2018","2018","11","8","","","","1439","1463","","10.1007/s11947-018-2117-2","","","98","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","18","18","29","25","4"
"Nutritional composition and nutraceutical properties of the <i>Pleurotus</i> fruiting bodies: Potencial use as food ingredient","Carrasco-Gonzalez, Jorge Alberto; Serna-Saldivar, Sergio O.; Gutierrez-Uribe, Janet A.","","","","JOURNAL OF FOOD COMPOSITION AND ANALYSIS","MAY 2017","2017","58","","","","","69","81","","10.1016/j.jfca.2017.01.016","","","94","11.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","11","17","14","21","10","11"
