Raymundo E. Torres Olguin (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Offshore Wind Farm Grid Integration by VSC Technology With LCC-Based HVDC Transmission","Torres-Olguin, Raymundo E.; Molinas, Marta; Undeland, Tore","","","","IEEE TRANSACTIONS ON SUSTAINABLE ENERGY","OCT 2012","2012","3","4","","","SI","899","907","","10.1109/TSTE.2012.2200511","","","102","7.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","8","12","8","13","15","14","9","6","4","4"
"A repetitive-based controller for the compensation of 6l±1 harmonic components","Escobar, Gerardo; Hernandez-Briones, Perla G.; Martinez, Panfilo R.; Hernandez-Gomez, Michael; Torres-Olguin, Raymundo E.","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","AUG 2008","2008","55","8","","","","3150","3158","","10.1109/TIE.2008.921200","","","102","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","4","6","15","11","10","9","3","13","4","4","8","6","1","1"
"Integration of Offshore Wind Farm Using a Hybrid HVDC Transmission Composed by the PWM Current-Source Converter and Line-Commutated Converter","Torres-Olguin, Raymundo E.; Garces, Alejandro; Molinas, Marta; Undeland, Tore","","","","IEEE TRANSACTIONS ON ENERGY CONVERSION","MAR 2013","2013","28","1","","","","125","134","","10.1109/TEC.2012.2230535","","","71","5.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","10","11","7","6","9","8","5","7","3"
"A model-based controller for a three-phase four-wire shunt active filter with compensation of the neutral line current","Escobar, Gerardo; Valdez, Andres A.; Torres-Guin, Raymundo E.; Martinez-Montejano, Misael F.","","","","IEEE TRANSACTIONS ON POWER ELECTRONICS","NOV 2007","2007","22","6","","","","2261","2270","","10.1109/TPEL.2007.909297","","","34","1.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","2","2","1","3","0","1","3","6","3","2","2","1","1","0"
"Optimal Power Flow in Multiterminal HVDC Systems Considering DC/DC Converters","Garces, Alejandro; Montoya, Danilo; Torres, Raymundo","","","","PROCEEDINGS 2016 IEEE 25TH INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS (ISIE)","2016","2016","","","","","","1212","1217","","","25th IEEE International Symposium on Industrial Electronics (ISIE)","JUN 08-10, 2016","28","3.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","10","4","3","2","1"
"Effect of Reactive Power Characteristic of Offshore Wind Power Plant on Low-Frequency Stability","Zhou, Weihua; Wang, Yanbo; Torres-Olguin, Raymundo E.; Chen, Zhe","","","","IEEE TRANSACTIONS ON ENERGY CONVERSION","JUN 2020","2020","35","2","","","","837","853","","10.1109/TEC.2020.2965017","","","27","5.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","5","9","4"
"A Gray-Box Hierarchical Oscillatory Instability Source Identification Method of Multiple-Inverter-Fed Power Systems","Zhou, Weihua; Torres-Olguin, Raymundo E.; Wang, Yanbo; Chen, Zhe","","","","IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS","JUN 2021","2021","9","3","","","","3095","3113","","10.1109/JESTPE.2020.2992225","","","25","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7","8","8"
"Inverse time overcurrent protection scheme for fault location in multi-terminal HVDC","Torres-Olguin, Raymundo E.; Hoidalen, Hans Kristian","","","","2015 IEEE EINDHOVEN POWERTECH","2015","2015","","","","","","","","","","PowerTech, 2015 IEEE Eindhoven","JUN 29-JUL 02, 2015","18","1.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","4","4","1","3","0"
"Harmonic Virtual Impedance Design for Optimal Management of Power Quality in Microgrids","Gothner, Fredrik; Roldan-Perez, Javier; Torres-Olguin, Raymundo E.; Midtgard, Ole-Morten","","","","IEEE TRANSACTIONS ON POWER ELECTRONICS","SEP 2021","2021","36","9","","","","10114","10126","","10.1109/TPEL.2021.3065755","","","17","4.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","9","3"
"A Robust Circuit and Controller Parameters' Identification Method of Grid-Connected Voltage-Source Converters Using Vector Fitting Algorithm","Zhou, Weihua; Torres-Olguin, Raymundo E.; Gothner, Fredrik; Beerten, Jef; Zadeh, Mehdi Karbalaye; Wang, Yanbo; Chen, Zhe","","","","IEEE JOURNAL OF EMERGING AND SELECTED TOPICS IN POWER ELECTRONICS","JUN 2022","2022","10","3","","","","2748","2763","","10.1109/JESTPE.2021.3059568","10th International Conference on Power Electronics and ECCE Asia (ICPE - ECCE Asia)","MAY 27-31, 2019","14","4.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","7","4"
"Electromagnetic Oscillation Origin Location in Multiple-Inverter-Based Power Systems Using Components Impedance Frequency Responses","Zhou, Weihua; Torres-Olguin, Raymundo E.; Zadeh, Mehdi Karbalaye; Bahrani, Behrooz; Wang, Yanbo; Chen, Zhe","","","","IEEE OPEN JOURNAL OF THE INDUSTRIAL ELECTRONICS SOCIETY","2021","2021","2","","","","","1","20","","10.1109/OJIES.2020.3045620","","","12","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","2"
"Experimental verification of a voltage droop control for grid integration of offshore wind farms using multi-terminal HVDC","Torres-Olguin, Raymundo E.; Ardal, Atle R.; Stoylen, Hanne; Endegnanew, Atsede G.; Ljokelsoy, Kjell; Tande, John Olav","","","Kvamsdal, T; Muskulus, M; Tande, JO","EERA DEEPWIND' 2014, 11TH DEEP SEA OFFSHORE WIND R&D CONFERENCE","2014","2014","53","","","","","104","113","","10.1016/j.egypro.2014.07.219","EERA 11th Deep Sea Offshore Wind R and D Conference (DeepWind)","JAN 22-24, 2014","12","1.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","1","0","1","1","1","2","0"
"Novel differential protection using model recognition and unsymmetrical vector reconstruction for the transmission line with wind farms connection","Ma, Kaiqi; Chen, Zhe; Bak, Claus Leth; Liu, Zhou; Castillo, Manuel; Torres-Olguin, Raymundo E.; Qin, Nan","","","","INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS","DEC 2020","2020","123","","","","","","","106311","10.1016/j.ijepes.2020.106311","","","11","2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","4"
"Hybrid HVDC connection of large offshore wind farms to the AC grid","Torres-Olguin, Raymundo E.; Molinas, Marta; Undeland, Tore","","","","2012 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS (ISIE)","2012","2012","","","","","","1591","1597","","","21st IEEE International Symposium on Industrial Electronics (ISIE)","MAY 28-31, 2012","11","0.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","1","0","0","3","0","1","1","0"
"A repetitive-based controller for the compensation of 6l ± 1 harmonic components","Escobar, G.; Hernandez-Briones, P. G.; Torres-Olguin, R. E.; Valdez, A. A.; Herandez-Gomez, M.","","","","2007 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS, PROCEEDINGS, VOLS 1-8","2007","2007","","","","","","3397","+","","10.1109/ISIE.2007.4375162","IEEE International Symposium on Industrial Electronics","JUN 04-07, 2007","11","0.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","1","0","0","0","0","0","1","0","0","0","0","0","1"
