Francisco Tovar (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"A shear gradient-dependent platelet aggregation mechanism drives thrombus formation","Nesbitt, Warwick S.; Westein, Erik; Tovar-Lopez, Francisco Javier; Tolouei, Elham; Mitchell, Arnan; Fu, Jia; Carberry, Josie; Fouras, Andreas; Jackson, Shaun P.","","","","NATURE MEDICINE","JUN 2009","2009","15","6","","","","665","U146","","10.1038/nm.1955","","","647","40.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","32","37","46","58","44","47","41","49","48","48","57","56","33","29","18"
"A microfluidics device to monitor platelet aggregation dynamics in response to strain rate micro-gradients in flowing blood","Tovar-Lopez, Francisco Javier; Rosengarten, Gary; Westein, Erik; Khoshmanesh, Khashayar; Jackson, Shaun P.; Mitchell, Arnan; Nesbitt, Warwick S.","","","","LAB ON A CHIP","2010","2010","10","3","","","","291","302","","10.1039/b916757a","","","108","7.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","7","11","6","9","10","6","5","10","10","11","4","6","3"
"Differential microwave sensor for characterization of glycerol-water solutions","Ebrahimi, Amir; Tovar-Lopez, Francisco J.; Scott, James; Ghorbani, Kamran","","","","SENSORS AND ACTUATORS B-CHEMICAL","OCT 15 2020","2020","321","","","","","","","128561","10.1016/j.snb.2020.128561","","","81","16.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","26","19","22","13"
"A Microfluidic System for Studying the Effects of Disturbed Flow on Endothelial Cells","Tovar-Lopez, Francisco; Thurgood, Peter; Gilliam, Christopher; Ngan Nguyen; Pirogova, Elena; Khoshmanesh, Khashayar; Baratchi, Sara","","","","FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY","APR 17 2019","2019","7","","","","","","","81","10.3389/fbioe.2019.00081","","","71","11.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","16","8","16","17"
"Dielectrophoretic manipulation and separation of microparticles using curved microelectrodes","Khoshmanesh, Khashayar; Zhang, Chen; Tovar-Lopez, Francisco J.; Nahavandi, Saeid; Baratchi, Sara; Kalantar-zadeh, Kourosh; Mitchell, Arnan","","","","ELECTROPHORESIS","NOV 2009","2009","30","21","","","","3707","3717","","10.1002/elps.200900079","","","63","3.94","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","14","7","5","7","3","1","1","2","7","2","2","1","1","1"
"Shear stress mediates exocytosis of functional TRPV4 channels in endothelial cells","Baratchi, Sara; Almazi, Juhura G.; Darby, William; Tovar-Lopez, Francisco J.; Mitchell, Arnan; McIntyre, Peter","","","","CELLULAR AND MOLECULAR LIFE SCIENCES","FEB 2016","2016","73","3","","","","649","666","","10.1007/s00018-015-2018-8","","","61","6.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","7","12","7","7","3","5","7"
"Dielectrophoretic-activated cell sorter based on curved microelectrodes","Khoshmanesh, Khashayar; Zhang, Chen; Tovar-Lopez, Francisco J.; Nahavandi, Saeid; Baratchi, Sara; Mitchell, Arnan; Kalantar-Zadeh, Kourosh","","","","MICROFLUIDICS AND NANOFLUIDICS","AUG 2010","2010","9","2-3","","","","411","426","","10.1007/s10404-009-0558-7","","","53","3.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","5","6","11","3","3","2","1","3","3","0","0","0","0"
"Dielectrophoretic separation of carbon nanotubes and polystyrene microparticles","Zhang, C.; Khoshmanesh, K.; Tovar-Lopez, F. J.; Mitchell, A.; Wlodarski, W.; Klantar-zadeh, K.","","","","MICROFLUIDICS AND NANOFLUIDICS","NOV 2009","2009","7","5","","","","633","645","","10.1007/s10404-009-0419-4","","","53","3.31","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","6","8","5","7","1","2","1","4","2","2","0","1","2"
"On-chip separation of Lactobacillus bacteria from yeasts using dielectrophoresis","Khoshmanesh, Khashayar; Baratchi, Sara; Tovar-Lopez, Francisco J.; Nahavandi, Saeid; Wlodkowic, Donald; Mitchell, Arnan; Kalantar-zadeh, Kourosh","","","","MICROFLUIDICS AND NANOFLUIDICS","JAN 2012","2012","12","1-4","","","","597","606","","10.1007/s10404-011-0900-8","","","46","3.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","3","6","4","6","2","6","5","1","1","2","1"
"Shear-sensitive nanocapsule drug release for site-specific inhibition of occlusive thrombus formation","Molloy, C. P.; Yao, Y.; Kammoun, H.; Bonnard, T.; Hoefer, T.; Alt, K.; Tovar-Lopez, F.; Rosengarten, G.; Ramsland, P. A.; van der Meer, A. D.; van den Berg, A.; Murphy, A. J.; Hagemeyer, C. E.; Peter, K.; Westein, E.","","","","JOURNAL OF THROMBOSIS AND HAEMOSTASIS","MAY 2017","2017","15","5","","","","972","982","","10.1111/jth.13666","","","44","5.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","4","5","11","12","2"
