Jose Utrilla (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Use of Adaptive Laboratory Evolution To Discover Key Mutations Enabling Rapid Growth of <i>Escherichia coli</i> K-12 MG1655 on Glucose Minimal Medium","LaCroix, Ryan A.; Sandberg, Troy E.; O'Brien, Edward J.; Utrilla, Jose; Ebrahim, Ali; Guzman, Gabriela I.; Szubin, Richard; Palsson, Bernhard O.; Feist, Adam M.","","","","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","JAN 2015","2015","81","1","","","","17","30","","10.1128/AEM.02246-14","","","173","17.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","18","19","28","32","16","21","17","10"
"Quantification and Classification of <i>E-coli</i> Proteome Utilization and Unused Protein Costs across Environments","O'Brien, Edward J.; Utrilla, Jose; Palsson, Bernhard O.","","","","PLOS COMPUTATIONAL BIOLOGY","JUN 2016","2016","12","6","","","","","","e1004998","10.1371/journal.pcbi.1004998","","","83","9.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","10","9","18","11","7","12","4"
"Global Rebalancing of Cellular Resources by Pleiotropic Point Mutations Illustrates a Multi-scale Mechanism of Adaptive Evolution","Utrilla, Jose; O'Brien, Edward J.; Chen, Ke; McCloskey, Douglas; Cheung, Jacky; Wang, Harris; Armenta-Medina, Dagoberto; Feist, Adam M.; Palsson, Bernhard O.","","","","CELL SYSTEMS","APR 27 2016","2016","2","4","","","","260","271","","10.1016/j.cels.2016.04.003","","","80","8.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","11","11","10","5","10","16","6"
"Model-driven discovery of underground metabolic functions in <i>Escherichia coli</i>","Guzman, Gabriela I.; Utrilla, Jose; Nurk, Sergey; Brunk, Elizabeth; Monk, Jonathan M.; Ebrahim, Ali; Palsson, Bernhard O.; Feist, Adam M.","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","JAN 20 2015","2015","112","3","","","","929","934","","10.1073/pnas.1414218112","","","68","6.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","11","15","5","8","3","10","4","0"
"Engineering and adaptive evolution of <i>Escherichia coli</i> for D-lactate fermentation reveals GatC as a xylose transporter","Utrilla, Jose; Licona-Cassani, Cuauhtemoc; Marcellin, Esteban; Gosset, Guillermo; Nielsen, Lars K.; Martinez, Alfredo","","","","METABOLIC ENGINEERING","SEP 2012","2012","14","5","","","","469","476","","10.1016/j.ymben.2012.07.007","","","54","4.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","4","5","6","4","4","5","3","7","8","0","3"
"Trade-offs between gene expression, growth and phenotypic diversity in microbial populations","Kim, Juhyun; Darlington, Alexander; Salvador, Manuel; Utrilla, Jose; Jimenez, Jose, I","","","","CURRENT OPINION IN BIOTECHNOLOGY","APR 2020","2020","62","","","","","29","37","","10.1016/j.copbio.2019.08.004","","","49","9.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","10","16","6","6"
"ATP limitation in a pyruvate formate lyase mutant of Escherichia coli MG1655 increases glycolytic flux to d-lactate","Utrilla, Jose; Gosset, Guillermo; Martinez, Alfredo","","","","JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY","AUG 2009","2009","36","8","","","","1057","1062","","10.1007/s10295-009-0589-9","","","32","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","4","2","1","5","3","1","0","3","2","5","0","0"
"Laboratory evolution reveals a two-dimensional rate-yield tradeoff in microbial metabolism","Cheng, Chuankai; O'Brien, Edward J.; McCloskey, Douglas; Utrilla, Jose; Olson, Connor; LaCroix, Ryan A.; Sandberg, Troy E.; Feist, Adam M.; Palsson, Bernhard O.; King, Zachary A.","","","","PLOS COMPUTATIONAL BIOLOGY","JUN 2019","2019","15","6","","","","","","e1007066","10.1371/journal.pcbi.1007066","","","26","4.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","6","5","1"
"Bacterial Diversity and Population Dynamics During the Fermentation of Palm Wine From Guerrero Mexico","Astudillo-Melgar, Fernando; Ochoa-Leyva, Adrian; Utrilla, Jose; Huerta-Beristain, Gerardo","","","","FRONTIERS IN MICROBIOLOGY","MAR 22 2019","2019","10","","","","","","","531","10.3389/fmicb.2019.00531","","","25","4.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","8","7","4","1"
"A quantitative method for proteome reallocation using minimal regulatory interventions","Lastiri-Pancardo, Gustavo; Mercado-Hernandez, Jonathan S.; Kim, Juhyun; Jimenez, Jose I.; Utrilla, Jose","","","","NATURE CHEMICAL BIOLOGY","SEP 2020","2020","16","9","","","","","","","10.1038/s41589-020-0593-y","","","24","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","6","5","3"
