Norma A. Valdez-Cruz (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Laccases: structure, function, and potential application in water bioremediation","Arregui, Leticia; Ayala, Marcela; Gomez-Gil, Ximena; Gutierrez-Soto, Guadalupe; Eduardo Hernandez-Luna, Carlos; Herrera de los Santos, Mayra; Levin, Laura; Rojo-Dominguez, Arturo; Romero-Martinez, Daniel; Saparrat, Mario C. N.; Trujillo-Roldan, Mauricio A.; Valdez-Cruz, Norma A.","","","","MICROBIAL CELL FACTORIES","NOV 14 2019","2019","18","1","","","","","","200","10.1186/s12934-019-1248-0","","","250","41.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","51","64","85","35"
"Production of recombinant proteins in <i>E</i>. <i>coli</i> by the heat inducible expression system based on the phage lambda pL and/or pR promoters","Valdez-Cruz, Norma A.; Caspeta, Luis; Perez, Nestor O.; Ramirez, Octavio T.; Trujillo-Roldan, Mauricio A.","","","","MICROBIAL CELL FACTORIES","MAR 19 2010","2010","9","","","","","","","18","10.1186/1475-2859-9-18","","","127","8.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","9","10","8","9","7","8","5","10","10","22","10","6"
"Bacterial inclusion bodies are industrially exploitable amyloids","de Marco, Ario; Ferrer-Miralles, Neus; Garcia-Fruitos, Elena; Mitraki, Anna; Peternel, Spela; Rinas, Ursula; Trujillo-Roldan, Mauricio A.; Valdez-Cruz, Norma A.; Vazquez, Esther; Villaverde, Antonio","","","","FEMS MICROBIOLOGY REVIEWS","JAN 2019","2019","43","1","","","","53","72","","10.1093/femsre/fuy038","","","73","12.17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","18","14","16","13","5"
"Anuroctoxin, a new scorpion toxin of the α-KTx 6 subfamily, is highly selective for Kv1.3 over IKCa1 ion channels of human T lymphocytes","Bagdány, M; Batista, CVF; Valdez-Cruz, NA; Somodi, A; de la Vega, RCR; Licea, AF; Varga, Z; Gáspár, R; Possani, LD; Panyi, G","","","","MOLECULAR PHARMACOLOGY","APR 2005","2005","67","4","","","","1034","1044","","10.1124/mol.104.007187","","","53","2.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","4","3","2","0","1","4","1","2","4","3","4","1","2","3","6","3","1","0"
"Phaiodactylipin, a glycosylated heterodimeric phospholipase A<sub>2</sub> from the venom of the scorpion <i>Anuroctonus phaiodactylus</i>","Valdez-Cruz, NA; Batista, CVF; Possani, LD","","","","EUROPEAN JOURNAL OF BIOCHEMISTRY","APR 2004","2004","271","8","","","","1453","1464","","10.1111/j.1432-1033.2004.04047.x","","","53","2.52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","2","3","3","1","0","4","1","3","3","5","3","3","2","3","5","0","4"
"A large number of novel Ergtoxin-like genes and ERG K<SUP>+</SUP>-channels blocking peptides from scorpions of the genus <i>Centruroides</i>","Corona, M; Gurrola, GB; Merino, E; Cassulini, RR; Valdez-Cruza, NA; García, B; Ramírez-Domínguez, ME; Coronas, FIV; Zamudio, FZ; Wanke, E; Possani, LD","","","","FEBS LETTERS","DEC 4 2002","2002","532","1-2","","","","121","126","PII S0014-5793(02)03652-9","10.1016/S0014-5793(02)03652-9","","","53","2.30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","11","3","1","3","3","2","2","2","5","3","0","3","2","2","2","0","1","2","1","0","0"
"Effect of Temperature Downshift on the Transcriptomic Responses of Chinese Hamster Ovary Cells Using Recombinant Human Tissue Plasminogen Activator Production Culture","Bedoya-Lopez, Andrea; Estrada, Karel; Sanchez-Flores, Alejandro; Ramirez, Octavio T.; Altamirano, Claudia; Segovia, Lorenzo; Miranda-Rios, Juan; Trujillo-Roldan, Mauricio A.; Valdez-Cruz, Norma A.","","","","PLOS ONE","MAR 18 2016","2016","11","3","","","","","","e0151529","10.1371/journal.pone.0151529","","","47","5.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","7","8","5","7","4","2"
"Influence of pH control in the formation of inclusion bodies during production of recombinant sphingomyelinase-D in <i>Escherichia coli</i>","Castellanos-Mendoza, Andrea; Castro-Acosta, Ricardo M.; Olvera, Alejandro; Zavala, Guadalupe; Mendoza-Vera, Miguel; Garcia-Hernandez, Enrique; Alagon, Alejandro; Trujillo-Roldan, Mauricio A.; Valdez-Cruz, Norma A.","","","","MICROBIAL CELL FACTORIES","SEP 12 2014","2014","13","","","","","","","137","10.1186/s12934-014-0137-9","","","43","3.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","5","4","6","5","4","8","2","3"
"Scale-up from shake flasks to pilot-scale production of the plant growth-promoting bacterium <i>Azospirillum brasilense</i> for preparing a liquid inoculant formulation","Trujillo-Roldan, Mauricio A.; Valdez-Cruz, Norma A.; Gonzalez-Monterrubio, Cesar F.; Acevedo-Sanchez, Eduardo V.; Martinez-Salinas, Carlos; Garcia-Cabrera, Ramses I.; Gamboa-Suasnavart, Ramses A.; Marin-Palacio, Luz D.; Villegas, Jesus; Blancas-Cabrera, Abel","","","","APPLIED MICROBIOLOGY AND BIOTECHNOLOGY","NOV 2013","2013","97","22","","","","9665","9674","","10.1007/s00253-013-5199-9","","","39","3.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","3","2","5","2","3","7","5","5","1"
"Integrative overview of antibodies against SARS-CoV-2 and their possible applications in COVID-19 prophylaxis and treatment","Valdez-Cruz, Norma A.; Garcia-Hernandez, Enrique; Espitia, Clara; Cobos-Marin, Laura; Altamirano, Claudia; Bando-Campos, Carlos G.; Cofas-Vargas, Luis F.; Coronado-Aceves, Enrique W.; Gonzalez-Hernandez, Ricardo A.; Hernandez-Peralta, Pablo; Juarez-Lopez, Daniel; Ortega-Portilla, Paola A.; Restrepo-Pineda, Sara; Zelada-Cordero, Patricio; Trujillo-Roldan, Mauricio A.","","","","MICROBIAL CELL FACTORIES","APR 22 2021","2021","20","1","","","","","","88","10.1186/s12934-021-01576-5","","","34","8.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","12","10","1"
