Andres A. Valdez-Fernandez (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Repetitive. based controller for a UPS inverter to compensate unbalance and harmonic distortion","Escobar, G.; Valdez, A. A.; Leyva-Ramos, J.; Mattavelli, P.","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","FEB 2007","2007","54","1","","","","504","510","","10.1109/TIE.2006.888803","","","221","12.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","21","15","8","18","10","34","15","14","17","13","14","13","11","6","6","3","2"
"An adaptive control for UPS to compensate unbalance and harmonic distortion using a combined capacitor/load current sensing","Escobar, G.; Mattavelli, P.; Stankovic, A. M.; Valdez, Andres A.; Leyva-Ramos, Jesus","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","APR 2007","2007","54","2","","","","839","847","","10.1109/TIE.2007.891998","","","118","6.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","12","7","7","2","8","5","8","8","7","11","6","6","3","4","3","1"
"Fixed-Reference-Frame Phase-Locked Loop for Grid Synchronization Under Unbalanced Operation","Escobar, Gerardo; Martinez-Montejano, Misael F.; Valdez, Andres A.; Martinez, Panfilo R.; Hernandez-Gomez, Michael","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","MAY 2011","2011","58","5","","","","1943","1951","","10.1109/TIE.2010.2052534","","","86","6.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","9","15","8","11","8","7","7","3","5","5","1","1"
"A Model-Based Controller for the Cascade H-Bridge Multilevel Converter Used as a Shunt Active Filter","Valdez-Fernandez, Andres A.; Martinez-Rodriguez, Panfilo R.; Escobar, Gerardo; Limones-Pozos, Cesar A.; Sosa, Jose M.","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","NOV 2013","2013","60","11","","","","5019","5028","","10.1109/TIE.2012.2218558","","","73","6.08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","8","9","7","6","9","10","7","3","0","2"
"A repetitive-based controller for the boost converter to compensate the harmonic distortion of the output voltage","Escobar, G; Leyva-Ramos, J; Martínez, PR; Valdez, AA","","","","IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY","MAY 2005","2005","13","3","","","","500","508","","10.1109/TCST.2004.841666","","","38","1.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","4","5","3","2","3","1","6","3","1","1","1","2","0","0","0","0"
"A model-based controller for a three-phase four-wire shunt active filter with compensation of the neutral line current","Escobar, Gerardo; Valdez, Andres A.; Torres-Guin, Raymundo E.; Martinez-Montejano, Misael F.","","","","IEEE TRANSACTIONS ON POWER ELECTRONICS","NOV 2007","2007","22","6","","","","2261","2270","","10.1109/TPEL.2007.909297","","","34","1.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","2","2","2","1","3","0","1","3","6","3","2","2","1","1","0"
"Implementation of a 6<i>n</i> ± 1 Repetitive Controller Subject to Fractional Delays","Escobar, Gerardo; Hernandez-Gomez, Michael; Valdez-Fernandez, Andres A.; Lopez-Sanchez, Manuel J.; Catzin-Contreras, Glendy A.","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","JAN 2015","2015","62","1","","","","444","452","","10.1109/TIE.2014.2331038","","","32","3.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","4","8","2","0","4","3","1","1"
"An Adaptive Controller for the Shunt Active Filter Considering a Dynamic Load and the Line Impedance","Valdez, A. A.; Escobar, G.; Ortega, R.","","","","IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY","MAR 2009","2009","17","2","","","","458","464","","10.1109/TCST.2008.2000987","","","32","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","9","4","3","2","2","1","2","2","0","0","1","0"
"Direct Power Control of a Three-Phase Rectifier Based on Positive Sequence Detection","Martinez-Rodriguez, Panfilo R.; Escobar, Gerardo; Valdez-Fernandez, Andres A.; Hernandez-Gomez, Michael; Sosa, Jose M.","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","AUG 2014","2014","61","8","","","","4084","4092","","10.1109/TIE.2013.2286560","","","31","2.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","5","3","8","3","2","1","1","0","0"
"A controller for a boost converter with harmonic reduction","Escobar, G; Valdéz, AA; Leyva-Ramos, J; Martínez, PR","","","","IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY","SEP 2004","2004","12","5","","","","717","726","","10.1109/tcst.2004.826971","","","24","1.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","2","2","1","3","5","1","3","3","1","0","0","0","0","0"
