Irasema Vargas-Arispuro (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Biological activities of crude plant extracts from <i>Vitex</i> <i>trifolia</i> L. (Verbenaceae)","Hernández, MM; Heraso, C; Villarreal, ML; Vargas-Arispuro, I; Aranda, E","","","","JOURNAL OF ETHNOPHARMACOLOGY","OCT 1999","1999","67","1","","","","37","44","","10.1016/S0378-8741(99)00041-0","","","64","2.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","2","3","2","5","2","5","10","3","2","5","3","3","0","3","3","1","2","3","2"
"Effect of infiltrated polyamines on polygalacturonase activity and chilling injury responses in zucchini squash (<i>Cucurbita pepo</i> L.)","Martínez-Téllez, MA; Ramos-Clamont, MG; Gardea, AA; Vargas-Arispuro, I","","","","BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","JUL 5 2002","2002","295","1","","","","98","101","PII S0006-291X(02)00631-9","10.1016/S0006-291X(02)00631-9","","","56","2.43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","5","1","1","1","1","1","2","4","7","4","3","4","4","2","3","6","1","2"
"Angiotensin-converting enzyme inhibitory activity of milk fermented by wild and industrial <i>Lactococcus lactis</i> strains","Rodriguez-Figueroa, J. C.; Reyes-Diaz, R.; Gonzalez-Cordova, A. F.; Troncoso-Rojas, R.; Vargas-Arispuro, I.; Vallejo-Cordoba, B.","","","","JOURNAL OF DAIRY SCIENCE","NOV 2010","2010","93","11","","","","5032","5038","","10.3168/jds.2010-3103","","","35","2.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","1","5","3","2","7","4","3","2","0","2","2"
"Combination of <i>Cymbopogon citratus</i> and <i>Allium cepa</i> essential oils increased antibacterial activity in leafy vegetables","Ortega-Ramirez, Luis A.; Silva-Espinoza, Brenda A.; Vargas-Arispuro, Irasema; Gonzalez-Aguilar, Gustavo A.; Cruz-Valenzuela, M. Reynaldo; Nazzaro, Filomena; Ayala-Zavala, J. Fernando","","","","JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","MAY 2017","2017","97","7","","","","2166","2173","","10.1002/jsfa.8025","","","30","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","6","6","5","1","2"
"Effect of temperature on enzymatic and physiological factors related to chilling injury in carambola fruit (<i>Averrhoa carambola</i> L.)","Pérez-Tello, GO; Silva-Espinoza, BA; Vargas-Arispuro, I; Briceño-Torres, BO; Martinez-Tellez, MA","","","","BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS","OCT 5 2001","2001","287","4","","","","846","851","","10.1006/bbrc.2001.5670","","","30","1.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","4","0","2","1","1","1","2","2","1","1","4","2","5","0","0"
"Antifungal lignans from the creosotebush (<i>Larrea tridentata</i>)","Vargas-Arispuro, I; Reyes-Báez, R; Rivera-Castañeda, G; Martínez-Téllez, MA; Rivero-Espejel, I","","","","INDUSTRIAL CROPS AND PRODUCTS","SEP 2005","2005","22","2","","","","101","107","","10.1016/j.indcrop.2004.06.003","","","29","1.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","3","2","2","2","1","1","1","1","5","2","2","1","2","0"
"Fungicidal potential of methoxylated flavones from citrus for in vitro control of <i>Colletotrichum gloeosporioides</i>, causal agent of anthracnose disease in tropical fruits","Almada-Ruiz, E; Martínez-Téllez, MA; Hernández-Alamos, MM; Vallejo, S; Primo-Yúfera, E; Vargas-Arispuro, I","","","","PEST MANAGEMENT SCIENCE","NOV 2003","2003","59","11","","","","1245","1249","","10.1002/ps.747","","","29","1.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","3","2","1","2","1","0","4","1","0","0","1","1","2","4","4"
"Quality and PR gene expression of table grapes treated with ozone and sulfur dioxide to control fungal decay","Duarte-Sierra, Arturo; Aispuro-Hernandez, Emmanuel; Vargas-Arispuro, Irasema; Islas-Osuna, Maria A.; Gonzalez-Aguilar, Gustavo A.; Angel Martinez-Tellez, Miguel","","","","JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","APR 2016","2016","96","6","","","","2018","2024","","10.1002/jsfa.7312","","","26","2.89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","4","2","4","2","3","5"
"PCR identification of <i>Salmonella</i>:: Potential contamination sources from production and postharvest handling of cantaloupes","Espinoza-Medina, I. E.; Rodriguez-Leyva, F. J.; Vargas-Arispuro, I.; Islas-Osuna, M. A.; Acedo-Felix, E.; Martinez-Tellez, M. A.","","","","JOURNAL OF FOOD PROTECTION","JUN 2006","2006","69","6","","","","1422","1425","","10.4315/0362-028X-69.6.1422","","","26","1.37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","1","1","1","3","5","0","3","1","0","0","0","1","0","0","1"
"Inhibition of Glucosyltransferase Activity and Glucan Production as an Antibiofilm Mechanism of Lemongrass Essential Oil against <i>Escherichia coli</i> O157:H7","Ortega-Ramirez, Luis A.; Melissa Gutierrez-Pacheco, M.; Vargas-Arispuro, Irasema; Gonzalez-Aguilar, Gustavo A.; Martinez-Tellez, Miguel A.; Fernando Ayala-Zavala, J.","","","","ANTIBIOTICS-BASEL","MAR 2020","2020","9","3","","","","","","102","10.3390/antibiotics9030102","","","24","4.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","6","4","5"
