Vera-Montenegro, Yolanda (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Synthesis and fasciolicidal activity of 5-chloro-2-methylthio-6-(1-naphthyloxy)-1<i>H</i>-benzimidazole","Hernández-Campos, A; Ibarra-Velarde, F; Vera-Montenegro, Y; Rivera-Fernández, N; Castillo, R","","","","CHEMICAL & PHARMACEUTICAL BULLETIN","MAY 2002","2002","50","5","","","","649","652","","10.1248/cpb.50.649","","","42","1.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","2","1","3","10","3","2","1","2","3","1","1","2","1","0","1","1","0","2","0"
"Novel triclabendazole prodrug: A highly water soluble alternative for the treatment of fasciolosis","Flores-Ramos, Miguel; Ibarra-Velarde, Froylan; Jung-Cook, Helgi; Hernandez-Campos, Alicia; Vera-Montenegro, Yolanda; Castillo, Rafael","","","","BIOORGANIC & MEDICINAL CHEMISTRY LETTERS","FEB 1 2017","2017","27","3","","","","616","619","","10.1016/j.bmcl.2016.12.004","","","27","3.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","4","6","1","2","2"
"Field trial on the efficacy of an experimental fasciolicide compared with some commercial compounds in naturally infected cattle","Montenegro, YV; Velarde, FI; Romero, HQ; Campos, AH; Castillo, R","","","","PARASITOLOGY RESEARCH","SEP 2003","2003","91","1","","","","1","4","","10.1007/s00436-003-0901-y","","","21","0.95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","3","3","4","2","0","1","0","1","0","0","0","1","0","1","0","0","1","0"
"In vitro antihelmintic effect of fifteen tropical plant extracts on excysted flukes of Fasciola hepatica","Manuel Alvarez-Mercado, Jose; Ibarra-Velarde, Froylan; Angel Alonso-Diaz, Miguel; Vera-Montenegro, Yolanda; Guillermo Avila-Acevedo, Jose; Maria Garcia-Bores, Ana","","","","BMC VETERINARY RESEARCH","FEB 27 2015","2015","11","","","","","","","45","10.1186/s12917-015-0362-4","","","19","1.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","5","2","0","4","3"
"Efficacy of an experimental fasciolicide against immature and mature <i>Fasciola hepatica</i> in artificially infected calves","Montenegro, YV; Velarde, FI; Hernández, EL; Romero, HQ; Bocanegra, RC; Campos, AH; Galván, PO","","","","PARASITOLOGY RESEARCH","FEB 2004","2004","92","3","","","","211","214","","10.1007/s00436-003-1007-2","","","19","0.90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","3","3","2","2","0","1","0","0","0","0","0","1","0","0","0","0","1","0"
"First database of the spatial distribution of <i>Eimeria</i> species of cattle, sheep and goats in Mexico","Alcala-Canto, Yazmin; Figueroa-Castillo, Juan Antonio; Ibarra-Velarde, Froylan; Vera-Montenegro, Yolanda; Cervantes-Valencia, Maria Eugenia; Alberti-Navarro, Aldo","","","","PARASITOLOGY RESEARCH","MAR 2020","2020","119","3","","","","1057","1074","","10.1007/s00436-019-06548-8","","","17","3.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","6","4","2"
"A highly water soluble benzimidazole derivative useful for the treatment of fasciolosis","Flores-Ramos, Miguel; Ibarra-Velarde, Froylan; Hernandez-Campos, Alicia; Vera-Montenegro, Yolanda; Jung-Cook, Helgi; Canto-Alarcon, Germinal J.; Misael del Rivero, Lauro; Castillo, Rafael","","","","BIOORGANIC & MEDICINAL CHEMISTRY LETTERS","DEC 15 2014","2014","24","24","","","","5814","5817","","10.1016/j.bmcl.2014.10.017","","","17","1.55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","3","1","3","2","1","2","0"
"Discovery of Novel Trichomonacidals Using LDA-Driven QSAR Models and Bond-Based Bilinear Indices as Molecular Descriptors","Rivera-Borroto, Oscar M.; Marrero-Ponce, Yovani; Meneses-Marcel, Alfredo; Antonio Escario, Jose; Gomez Barrio, Alicia; Aran, Vicente J.; Martins Alho, Miriam A.; Montero Pereira, David; Jose Nogal, Juan; Torrens, Francisco; Ibarra-Velarde, Froylan; Vera Montenegro, Yolanda; Huesca-Guillen, Alma; Rivera, Norma; Vogel, Christian","","","","QSAR & COMBINATORIAL SCIENCE","JAN 2009","2009","28","1","","","","9","26","","10.1002/qsar.200610165","","","17","1.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","4","3","1","2","1","0","1","0","0","0","0","1","0"
"Efficacy of combined chemotherapy against gastrointestinal nematodes and <i>Fasciola hepatica</i> in cattle","Ibarra-Velarde, F; Vera-Montenegro, Y; Nájera-Fuentes, R; Sánchez-Albarran, A","","","","VETERINARY PARASITOLOGY","AUG 20 2001","2001","99","3","","","","199","204","","10.1016/S0304-4017(01)00460-5","","","12","0.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","4","0"
"Development of the first georeferenced map of <i>Rhipicephalus</i> (<i>Boophilus</i>) spp. in Mexico from 1970 to date and prediction of its spatial distribution","Alcala-Canto, Yazmin; Antonio Figueroa-Castillo, Juan; Ibarra-Velarde, Froylan; Vera-Montenegro, Yolanda; Eugenia Cervantes-Valencia, Maria; Salem, Abdelfattah Z. M.; Alfredo Cuellar-Ordaz, Jorge","","","","GEOSPATIAL HEALTH","2018","2018","13","1","","","","110","117","624","10.4081/gh.2018.624","","","9","1.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","1"
