Viader-Salvado, Jose Maria (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Expression of a <i>Bacillus</i> Phytase C Gene in <i>Pichia pastoris</i> and Properties of the Recombinant Enzyme","Guerrero-Olazaran, Martha; Rodriguez-Blanco, Lili; Gerardo Carreon-Trevino, J.; Gallegos-Lopez, Juan A.; Viader-Salvado, Jose M.","","","","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","AUG 2010","2010","76","16","","","","5601","5608","","10.1128/AEM.00762-10","","","44","2.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","4","2","5","7","4","6","2","1","2","6","1","0"
"Design of Thermostable Beta-Propeller Phytases with Activity over a Broad Range of pHs and Their Overproduction by <i>Pichia pastoris</i>","Viader-Salvado, Jose M.; Gallegos-Lopez, Juan A.; Gerardo Carreon-Trevino, J.; Castillo-Galvan, Miguel; Rojo-Dominguez, Arturo; Guerrero-Olazaran, Martha","","","","APPLIED AND ENVIRONMENTAL MICROBIOLOGY","OCT 2010","2010","76","19","","","","6423","6430","","10.1128/AEM.00253-10","","","43","2.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","5","2","7","5","4","2","1","5","2","1","1","0"
"PHOTOCYCLOADDITIONS OF 2-(TRIMETHYLSILYLOXY)-1,3-BUTADIENE TO 2-CYCLOALKENONES - ACCESS TO THE BASIC PENTALENOLACTONE SKELETON","DEMUTH, M; PANDEY, B; WIETFELD, B; SAID, H; VIADER, J","","","","HELVETICA CHIMICA ACTA","1988","1988","71","6","","","","1392","1398","","10.1002/hlca.19880710603","","","43","1.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","2","2","4","1","0","3","2","2","2","3","4","2","2","2","0","2","0","1","0","2","0","0","1","0","1","0","0","1","1","0","0","0","0"
"Biosynthesis and secretion of recombinant human growth hormone in <i>Pichia pastoris</i>","Ecamilla-Treviño, LL; Viader-Salvadó, JM; Barrera-Saldaña, HA; Guerrero-Olazarán, M","","","","BIOTECHNOLOGY LETTERS","JAN 2000","2000","22","2","","","","109","114","","10.1023/A:1005675920451","","","32","1.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","2","1","2","1","0","2","4","3","0","2","1","3","2","1","0","1","2","1","0","0","0","1"
"Frequency of mutations in <i>rpoB</i> and codons 315 and 463 of <i>katG</i> in rifampin- and/or isoniazid-resistant <i>Mycobacterium tuberculosis</i> isolates from northeast Mexico","Viader-Salvadó, JM; Luna-Aguirre, CM; Reyes-Ruiz, JM; Valdez-Leal, R; Del Bosque-Moncayo, MD; Tijerina-Menchaca, R; Guerrero-Olazarán, M","","","","MICROBIAL DRUG RESISTANCE","SPR 2003","2003","9","1","","","","33","38","","10.1089/107662903764736328","","","23","1.05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","2","4","1","2","1","3","2","1","0","0","0","0","1","0","0","0"
"Optimization of Five Environmental Factors to Increase Beta-Propeller Phytase Production in <i>Pichia pastoris</i> and Impact on the Physiological Response of the Host","Viader-Salvado, Jose M.; Castillo-Galvan, Miguel; Fuentes-Garibay, Jose A.; Iracheta-Cardenas, Maria M.; Guerrero-Olazaran, Martha","","","","BIOTECHNOLOGY PROGRESS","NOV 2013","2013","29","6","","","","1377","1385","","10.1002/btpr.1822","","","21","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","1","3","0","1","1","1","2","2","0"
"Cell growth and <i>Trametes versicolor</i> laccase production in transformed <i>Pichia pastoris</i> cultured by solid-state or submerged fermentations","Lopez, Marcos; Loera, Octavio; Guerrero-Olazaran, Martha; Viader-Salvado, Jose M.; Gallegos-Lopez, Juan A.; Fernandez, Francisco J.; Favela-Torres, Ernesto; Viniegra-Gonzalez, Gustavo","","","","JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY","APR 2010","2010","85","4","","","","435","440","","10.1002/jctb.2306","","","19","1.27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","2","2","1","1","2","1","1","2","0","0"
"Pteridine concentrations differ between insectary-reared and field-collected <i>Anopheles albimanus</i> mosquitoes of the same physiological age","Penilla, RP; Rodríguez, MH; López, AD; Viader-Salvadó, JM; Sànchez, CN","","","","MEDICAL AND VETERINARY ENTOMOLOGY","JUN 2002","2002","16","3","","","","225","234","","10.1046/j.1365-2915.2002.00364.x","","","16","0.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","1","1","0","0","1","1","0","0","0","1","0","2","2","2","1","0","0"
"Determination of drug susceptibility of Mycobacterium tuberculosis through mycolic acid analysis","GarzaGonzalez, E; GuerreroOlazaran, M; TijerinaMenchaca, R; ViaderSalvado, JM","","","","JOURNAL OF CLINICAL MICROBIOLOGY","MAY 1997","1997","35","5","","","","1287","1289","","","","","16","0.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","2","0","0","0","1","0","2","1","0","2","0","1","1","0","1","0","0","0","0","0","0","1","0","0"
"Mg, Mn, and Co ions enhance the formation of <i>Entamoeba histolytica</i> cyst-like structures resistant to sodium dodecyl sulfate","Campos-Góngora, E; Viader-Salvadó, JM; Martínez-Rodríguez, HG; Zuñiga-Charles, MA; Galindo, JM; Said-Fernández, S","","","","ARCHIVES OF MEDICAL RESEARCH","MAR-APR 2000","2000","31","2","","","","162","168","","10.1016/S0188-4409(00)00054-0","","","14","0.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","0","0","1","1","1","0","2","0","0","1","0","0","0","2","0","1","0","0"
