Adriana Gonzalez (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"<i>ROS1</i> Rearrangements Define a Unique Molecular Class of Lung Cancers","Bergethon, Kristin; Shaw, Alice T.; Ou, Sai-Hong Ignatius; Katayama, Ryohei; Lovly, Christine M.; McDonald, Nerina T.; Massion, Pierre P.; Siwak-Tapp, Christina; Gonzalez, Adriana; Fang, Rong; Mark, Eugene J.; Batten, Julie M.; Chen, Haiquan; Wilner, Keith D.; Kwak, Eunice L.; Clark, Jeffrey W.; Carbone, David P.; Ji, Hongbin; Engelman, Jeffrey A.; Mino-Kenudson, Mari; Pao, William; Iafrate, A. John","","","","JOURNAL OF CLINICAL ONCOLOGY","MAR 10 2012","2012","30","8","","","","863","870","","10.1200/JCO.2011.35.6345","","","1230","94.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","114","129","126","108","111","112","101","112","87","73","61","43"
"Significance of p63 amplification and overexpression in lung cancer development and prognosis","Massion, PP; Taflan, PM; Rahman, SMJ; Yildiz, P; Shyr, Y; Edgerton, ME; Westfall, MD; Roberts, JR; Pietenpol, JA; Carbone, DP; Gonzalez, AL","","","","CANCER RESEARCH","NOV 1 2003","2003","63","21","","","","7113","7121","","","","","266","12.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","20","29","11","19","13","14","19","18","13","16","13","9","13","4","14","10","6","3","8","3"
"<i>DNMT3A</i> mutations promote anthracycline resistance in acute myeloid leukemia via impaired nucleosome remodeling","Guryanova, Olga A.; Shank, Kaitlyn; Spitzer, Barbara; Luciani, Luisa; Koche, Richard P.; Garrett-Bakelman, Francine E.; Ganzel, Chezi; Durham, Benjamin H.; Mohanty, Abhinita; Hoermann, Gregor; Rivera, Sharon A.; Chramiec, Alan G.; Pronier, Elodie; Bastian, Lennart; Keller, Matthew D.; Tovbin, Daniel; Loizou, Evangelia; Weinstein, Abby R.; Gonzalez, Adriana Rodriguez; Lieu, Yen K.; Rowe, Jacob M.; Pastore, Friederike; McKenney, Anna Sophia; Krivtsov, Andrei V.; Sperr, Wolfgang R.; Cross, Justin R.; Mason, Christopher E.; Tallman, Martin S.; Arcila, Maria E.; Abdel-Wahab, Omar; Armstrong, Scott A.; Kubicek, Stefan; Staber, Philipp B.; Goenen, Mithat; Paietta, Elisabeth M.; Melnick, Ari M.; Nimer, Stephen D.; Mukherjee, Siddhartha; Levine, Ross L.","","","","NATURE MEDICINE","DEC 2016","2016","22","12","","","","1488","+","","10.1038/nm.4210","","","180","20.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","23","28","32","26","31","15","8"
"Dark Matter benchmark models for early LHC Run-2 Searches: Report of the ATLAS/CMS Dark Matter Forum","Abercrombie, Daniel; Akchurin, Nural; Akilli, Ece; Alcaraz Maestre, Juan; Allen, Brandon; Gonzalez, Barbara Alvarez; Andrea, Jeremy; Arbey, Alexandre; Azuelos, Georges; Azzi, Patrizia; Backovic, Mihailo; Bai, Yang; Banerjee, Swagato; Beacham, James; Belyaev, Alexander; Boveia, Antonio; Brennan, Amelia Jean; Buchmueller, Oliver; Buckley, Matthew R.; Busoni, Giorgio; Buttignol, Michael; Cacciapaglia, Giacomo; Caputo, Regina; Carpenter, Linda; Castro, Nuno Filipe; Ceballos, Guillelmo Gomez; Cheng, Yangyang; Chou, John Paul; Cortes Gonzalez, Arely; Cowden, Chris; D'Eramo, Francesco; De Cosa, Annapaola; De Gruttola, Michele; De Roeck, Albert; De Simone, Andrea; Deandrea, Aldo; Demiragli, Zeynep; DiFranzo, Anthony; Doglioni, Caterina; du Pree, Tristan; Erbacher, Robin; Erdmann, Johannes; Fischer, Cora; Flaecher, Henning; Fox, Patrick J.; Fuks, Benjamin; Genest, Marie-Helene; Gomber, Bhawna; Goudelis, Andreas; Gramling, Johanna; Gunion, John; Hahn, Kristian; Haisch, Ulrich; Harnik, Roni; Harris, Philip C.; Hoepfner, Kerstin; Hoh, Siew Yan; Hsu, Dylan George; Hsu, Shih-Chieh; Iiyama, Yutaro; Ippolito, Valerio; Jacques, Thomas; Ju, Xiangyang; Kahlhoefer, Felix; Kalogeropoulos, Alexis; Kaplan, Laser Seymour; Kashif, Lashkar; Khoze, Valentin V.; Khurana, Raman; Kotov, Khristian; Kovalskyi, Dmytro; Kulkarni, Suchita; Kunori, Shuichi; Kutzner, Viktor; Lee, Hyun Min; Lee, Sung-Won; Liew, Seng Pei; Lin, Tongyan; Lowette, Steven; Madar, Romain; Malik, Sarah; Maltoni, Fabio; Martinez Perez, Mario; Mattelaer, Olivier; Mawatari, Kentarou; McCabe, Christopher; Megy, Theo; Morgante, Enrico; Mrenna, Stephen; Moon, Chang-Seong; Narayanan, Siddharth M.; Nelson, Andy; Novaes, Sergio F.; Padeken, Klaas Ole; Pani, Priscilla; Papucci, Michele; Paulini, Manfred; Paus, Christoph; Pazzini, Jacopo; Penning, Bjorn; Peskin, Michael E.; Pinna, Deborah; Pazzini, Jacopo; Penning, Bjorn; Peskin, Michael E.; Pinna, Deborah; Procura, Massimiliano; Qazi, Shamona F.; Racco, Davide; Re, Emanuele; Riotto, Antonio; Rizzo, Thomas G.; Roehrig, Rainer; Salek, David; Pineda, Arturo Sanchez; Sarkar, Subir; Schmidt, Alexander; Schramm, Steven Randolph; Shepherd, William; Singh, Gurpreet; Soffi, Livia; Srimanobhas, Norraphat; Sung, Kevin; Tait, Tim M. P.; Theveneaux-Pelzer, Timothee; Thomas, Marc; Tosi, Mia; Trocino, Daniele; Undleeb, Sonaina; Vichi, Alessandro; Wang, Fuquan; Wang, Lian-Tao; Wang, Ren-Jie; Whallon, Nikola; Worm, Steven; Wu, Mengqing; Wu, Sau Lan; Yang, Hongtao; Yang, Yong; Yu, Shin-Shan; Zaldivar, Bryan; Zanetti, Marco; Zhang, Zhiqing; Zucchetta, Alberto","","","","PHYSICS OF THE DARK UNIVERSE","JAN 2020","2020","27","","","","","","","100371","10.1016/j.dark.2019.100371","","","126","25.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","27","35","25","27","10"
"MECHANISM OF DECOMPOSITION OF NITROAROMATICS - LASER-POWERED HOMOGENEOUS PYROLYSIS OF SUBSTITUTED NITROBENZENES","GONZALEZ, AC; LARSON, CW; MCMILLEN, DF; GOLDEN, DM","","","","JOURNAL OF PHYSICAL CHEMISTRY","1985","1985","89","22","","","","4809","4814","","10.1021/j100268a030","","","114","2.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","5","4","2","2","5","3","1","6","4","4","3","2","2","3","1","1","4","3","4","5","4","3","3","1","5","2","3","3","3","3","5","3","2","2","2","0"
"Early involvement of the phosphatidylinositol 3-kinase/Akt pathway in lung cancer progression","Massion, PP; Taflan, PM; Shyr, Y; Rahman, SMJ; Yildiz, P; Shakthour, B; Edgerton, ME; Ninan, M; Andersen, JJ; Gonzalez, AL","","","","AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","NOV 15 2004","2004","170","10","","","","1088","1094","","10.1164/rccm.200404-487OC","","","113","5.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","9","9","9","4","9","9","8","8","8","6","5","1","3","3","3","1","5","0"
"THERMAL-SHOCK RESISTANCE OF CERAMICS - SIZE AND GEOMETRY-EFFECTS IN QUENCH TESTS","BECHER, PF; LEWIS, D; CARMAN, KR; GONZALEZ, AC","","","","AMERICAN CERAMIC SOCIETY BULLETIN","1980","1980","59","5","","","","542","+","","","","","103","2.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","1","3","1","0","0","2","1","2","3","2","2","5","4","9","2","1","2","4","3","1","4","3","1","0","0","1","3","0","5","1","5","3","3","3","7","3","3","2","1","0","0","0","1"
"Host and direct antitumor effects and profound reduction in tumor metastasis with selective EP4 receptor antagonism","Yang, Li; Huang, Yuhui; Porta, Rut; Yanagisawa, Kiyoshi; Gonzalez, Adriana; Segi, Eric; Johnson, David H.; Narumiya, Shuh; Carbone, David P.","","","","CANCER RESEARCH","OCT 1 2006","2006","66","19","","","","9665","9672","","10.1158/0008-5472.CAN-06-1271","","","92","4.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","12","10","13","3","7","4","5","2","6","4","2","1","1","5","2","0"
"Diagnostic accuracy of MALDI mass spectrometric analysis of unfractionated serum in lung cancer","Yildiz, Pinar B.; Shyr, Yu; Rahman, Jamshedur S. M.; Wardwell, Noel R.; Zimmerman, Lisa J.; Shakhtour, Bashar; Gray, William H.; Chen, Shuo; Li, Ming; Roder, Heinrich; Liebler, Daniel C.; Bigbee, William L.; Siegfried, Jill M.; Weissfeld, Joel L.; Gonzalez, Adriana L.; Ninan, Mathew; Johnson, David H.; Carbone, David P.; Caprioli, Richard M.; Massion, Pierre P.","","","","JOURNAL OF THORACIC ONCOLOGY","OCT 2007","2007","2","10","","","","893","901","","10.1097/JTO.0b013e31814b8be7","","","83","4.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","13","12","3","9","8","9","3","3","3","4","1","1","2","1","0","1"
"Epidermal growth factor receptor (EGFR) antibody down-regulates mutant receptors and inhibits tumors expressing EGFR mutations","Perez-Torres, Marianela; Guix, Marta; Gonzalez, Adriana; Arteaga, Carlos L.","","","","JOURNAL OF BIOLOGICAL CHEMISTRY","DEC 29 2006","2006","281","52","","","","40183","40192","","10.1074/jbc.M607958200","","","82","4.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","12","11","5","9","1","6","1","5","4","6","5","0","3","2","3","2","0"
"Compounds Derived from Endophytes: A Review of Phytochemistry and Pharmacology","Gutierrez, R. M. P.; Gonzalez, A. M. N.; Ramirez, A. M.","","","","CURRENT MEDICINAL CHEMISTRY","JUN 2012","2012","19","18","","","","2992","3030","","","","","81","6.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","8","7","8","10","8","10","3","5","5","1"
"Alkaloids from <i>Piper</i>: A Review of its Phytochemistry and Pharmacology","Perez Gutierrez, Rosa Martha; Neira Gonzalez, Adriana Maria; Hoyo-Vadillo, Carlos","","","","MINI-REVIEWS IN MEDICINAL CHEMISTRY","FEB 2013","2013","13","2","","","","163","193","","","","","75","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","6","6","8","5","11","12","8","6","3"
"Smoking Induces Epithelial-to-Mesenchymal Transition in Non-Small Cell Lung Cancer through HDAC-Mediated Downregulation of E-Cadherin","Nagathihalli, Nagaraj S.; Massion, Pierre P.; Gonzalez, Adriana L.; Lu, Pengcheng; Datta, Pran K.","","","","MOLECULAR CANCER THERAPEUTICS","NOV 2012","2012","11","11","","","","2362","2372","","10.1158/1535-7163.MCT-12-0107","","","74","5.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","14","7","10","8","6","5","2","4","3","1"
"Proteomic patterns of preinvasive bronchial lesions","Rahman, SMJ; Shyr, Y; Yildiz, PB; Gonzalez, AL; Li, HM; Zhang, XQ; Chaurand, P; Yanagisawa, K; Slovis, BS; Miller, RF; Ninan, M; Miller, YE; Franklin, WA; Caprioli, RM; Carbone, DP; Massion, PP","","","","AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","DEC 15 2005","2005","172","12","","","","1556","1562","","10.1164/rccm.200502-274OC","","","69","3.45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","10","11","5","6","6","8","2","2","1","2","1","1","3","0","0","1","0"
"Oncogenic function of a novel WD-domain protein, STRAP, in human carcinogenesis","Haider, Sunil K.; Anumanthan, Govindaraj; Maddula, Ramakoti; Mann, Jason; Chytil, Anna; Gonzalez, Adriana L.; Washington, M. Key; Moses, Harold L.; Beauchamp, R. Daniel; Datta, Pran K.","","","","CANCER RESEARCH","JUN 15 2006","2006","66","12","","","","6156","6166","","10.1158/0008-5472.CAN-05-3261","","","65","3.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","2","5","4","5","3","5","2","3","3","8","5","4","4","3","1","1"
"In-depth Proteomic Analysis of Nonsmall Cell Lung Cancer to Discover Molecular Targets and Candidate Biomarkers","Kikuchi, Takefumi; Hassanein, Mohamed; Amann, Joseph M.; Liu, Qinfeng; Slebos, Robbert J. C.; Rahman, S. M. Jamshedur; Kaufman, Jacob M.; Zhang, Xueqiong; Hoeksema, Megan D.; Harris, Bradford K.; Li, Ming; Shyr, Yu; Gonzalez, Adriana L.; Zimmerman, Lisa J.; Liebler, Daniel C.; Massion, Pierre P.; Carbone, David P.","","","","MOLECULAR & CELLULAR PROTEOMICS","OCT 2012","2012","11","10","","","","916","932","","10.1074/mcp.M111.015370","","","63","4.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","9","4","8","11","4","6","1","2","7","3","1"
