Villanueva, Cleva (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Subcellular and cellular locations of nitric oxide synthase isoforms as determinants of health and disease","Villanueva, Cleva; Giulivi, Cecilia","","","","FREE RADICAL BIOLOGY AND MEDICINE","AUG 1 2010","2010","49","3","","","","307","316","","10.1016/j.freeradbiomed.2010.04.004","","","161","10.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","14","15","16","13","12","14","7","18","10","18","11","8","3"
"Nordihydroguaiaretic acid is a potent <i>in vitro</i> scavenger of peroxynitrite, singlet oxygen, hydroxyl radical, superoxide anion and hypochlorous acid and prevents <i>in vivo</i> ozone-induced tyrosine nitration in lungs","Floriano-Sánchez, E; Villanueva, C; Medina-Campos, ON; Rocha, D; Sánchez-González, DJ; Cárdenas-Rodríguez, N; Pedraza-Chaverrí, J","","","","FREE RADICAL RESEARCH","MAY 2006","2006","40","5","","","","523","533","","10.1080/10715760500419365","","","111","5.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","10","6","7","8","5","9","7","8","4","1","10","7","7","2","10","2","2"
"Antioxidant-Induced Stress","Villanueva, Cleva; Kross, Robert D.","","","","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","FEB 2012","2012","13","2","","","","2091","2109","","10.3390/ijms13022091","","","99","7.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","7","10","6","8","9","14","9","9","8","5"
"Nordihydroguaiaretic acid attenuates potassium dichromate-induced oxidative stress and nephrotoxicity","Yam-Canul, Paola; Chirino, Yolanda I.; Sanchez-Gonzalez, Dolores Javier; Martinez-Martinez, Claudia Maria; Cruz, Cristino; Villanueva, Cleva; Pedraza-Chaverri, Jose","","","","FOOD AND CHEMICAL TOXICOLOGY","MAR 2008","2008","46","3","","","","1089","1096","","10.1016/j.fct.2007.11.003","","","36","2.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","2","4","0","5","2","3","2","1","4","0","3","1","2","2","0"
"EFFECTS OF LEUKOTRIENE SYNTHESIS INHIBITION ON ACUTE LIVER-DAMAGE INDUCED BY CARBON-TETRACHLORIDE","PEREZALVAREZ, V; BOBADILLALUGO, RA; MURIEL, P; FAVARI, L; VILLANUEVALOPEZ, C","","","","PHARMACOLOGY","NOV 1993","1993","47","5","","","","330","336","","10.1159/000139114","","","27","0.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","3","3","3","2","1","0","1","1","2","0","1","1","0","2","1","0","0","0","0","0","0","0","0","0"
"The detection of brain ischaemia in rats by inductive phase shift spectroscopy","Gonzalez, C. A.; Villanueva, C.; Vera, C.; Flores, O.; Reyes, R. D.; Rubinsky, B.","","","","PHYSIOLOGICAL MEASUREMENT","AUG 2009","2009","30","8","","","","809","819","","10.1088/0967-3334/30/8/006","","","26","1.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","0","1","5","2","4","3","1","3","2","0"
"Effects of estradiol on phenylephrine contractility associated with intracellular calcium release in rat aorta","Castillo, Carlos; Ceballos, Guillermo; Rodriguez, Daniel; Villanueva, Cleva; Medina, Roberto; Lopez, Jorge; Mendez, Enrique; Castillo, Enrique F.","","","","AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY","DEC 2006","2006","291","6","","","","C1388","C1394","","10.1152/ajpcell.00556.2005","","","22","1.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1","3","2","3","2","3","1","0","0","1","1","0","0","0","1"
"Impedance spectroscopy for monitoring ischemic injury in the intestinal mucosa","González, CA; Villanueva, C; Othman, S; Narváez, R; Sacristán, E","","","","PHYSIOLOGICAL MEASUREMENT","MAY 2003","2003","24","2","","","","277","289","PII S0967-3334(03)53463-3","10.1088/0967-3334/24/2/304","1st Mummy Range Workshop on Electrical Impedence Tomography","AUG 01-07, 2002","17","0.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","0","0","1","0","3","0","3","1","1","2","0","0","0","0","0","0"
"Hypoxia Inducible Factors as Central Players in the Pathogenesis and Pathophysiology of Cardiovascular Diseases","Garcia Rojas, Emilio Y. Lucero; Villanueva, Cleva; Bond, Richard A.","","","","FRONTIERS IN CARDIOVASCULAR MEDICINE","AUG 10 2021","2021","8","","","","","","","709509","10.3389/fcvm.2021.709509","","","15","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","7"
"Ozone exposure induces iNOS expression and tyrosine nitration in rat aorta","Sánchez-González, DJ; Moro, MA; Castillo-Henkel, C; Herrera-González, N; Hernández-Pando, R; Larios-Medina, FJ; Cobilt, R; Blanco, JA; Pedraza-Chaverrí, J; Villanueva, C","","","","ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY","MAY 2004","2004","17","1","","","","1","7","","10.1016/j.etap.2004.01.002","","","15","0.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","2","4","0","1","0","1","0","0","1","0","0","0","0","1","0","0","2","0"
