Zapata-Penasco, Icoquih (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Aerobic biodegradation of sludge with high hydrocarbon content generated by a Mexican natural gas processing facility","Roldan-Carrillo, T.; Castorena-Cortes, G.; Zapata-Penasco, I.; Reyes-Avila, J.; Olguin-Lora, P.","","","","JOURNAL OF ENVIRONMENTAL MANAGEMENT","MAR 2012","2012","95","","","S","","S93","S98","","10.1016/j.jenvman.2011.04.014","","","31","2.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","5","3","2","6","3","4","2","3","1"
"Microcosm assays and Taguchi experimental design for treatment of oil sludge containing high concentration of hydrocarbons","Castorena-Cortes, G.; Roldan-Carrillo, T.; Zapata-Penasco, I.; Reyes-Avila, J.; Quej-Ake, L.; Marin-Cruz, J.; Olguin-Lora, P.","","","","BIORESOURCE TECHNOLOGY","DEC 2009","2009","100","23","","","","5671","5677","","10.1016/j.biortech.2009.06.050","","","29","1.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","2","2","2","1","2","3","7","2","1","0"
"MEBS, a software platform to evaluate large (meta)genomic collections according to their metabolic machinery: unraveling the sulfur cycle","De Anda, Valerie; Zapata-Penasco, Icoquih; Cesar Poot-Hernandez, Augusto; Eguiarte, Luis E.; Contreras-Moreira, Bruno; Souza, Valeria","","","","GIGASCIENCE","OCT 23 2017","2017","6","11","","","","","","","10.1093/gigascience/gix096","","","28","3.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","0","7","3","6","3"
"Evaluation of the effect of nutrient ratios on biosurfactant production by <i>Serratia marcescens</i> using a Box-Behnken design","Roldan-Carrillo, T.; Martinez-Garcia, X.; Zapata-Penasco, I.; Castorena-Cortes, G.; Reyes-Avila, J.; Mayol-Castillo, M.; Olguin-Lora, P.","","","","COLLOIDS AND SURFACES B-BIOINTERFACES","SEP 1 2011","2011","86","2","","","","384","389","","10.1016/j.colsurfb.2011.04.026","","","27","1.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","4","1","1","2","2","3","3","2","2","0","0","2"
"Coreflood assay using extremophile microorganisms for recovery of heavy oil in Mexican oil fields","Castorena-Cortes, Gladys; Roldan-Carrillo, Teresa; Reyes-Avila, Jesus; Zapata-Penasco, Icoquih; Mayol-Castillo, Martha; Olguin-Lora, Patricia","","","","JOURNAL OF BIOSCIENCE AND BIOENGINEERING","OCT 2012","2012","114","4","","","","440","445","","10.1016/j.jbiosc.2012.05.011","","","26","2.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","3","2","3","3","1","4","0","1","2"
"Evaluation of indigenous anaerobic microorganisms from Mexican carbonate reservoirs with potential MEOR application","Castorena-Cortes, G.; Zapata-Penasco, I.; Roldan-Carrillo, T.; Reyes-Avila, J.; Mayol-Castillo, M.; Roman-Vargas, S.; Olguin-Lora, P.","","","","JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING","JAN 2012","2012","81","","","","","86","93","","10.1016/j.petrol.2011.12.010","","","25","1.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","5","4","3","1","3","0","2","3","0","0"
"Analysis of the Physicochemical, Mechanical, and Electrochemical Parameters and Their Impact on the Internal and External SCC of Carbon Steel Pipelines","Quej-Ake, Luis Manuel; Rivera-Olvera, Jesus Noe; Dominguez-Aguilar, Yureel del Rosario; Avelino-Jimenez, Itzel Ariadna; Garibay-Febles, Vicente; Zapata-Penasco, Icoquih","","","","MATERIALS","DEC 2020","2020","13","24","","","","","","5771","10.3390/ma13245771","","","13","2.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","3"
"Bisulfite reductase and nitrogenase genes retrieved from biocorrosive bacteria in saline produced waters of offshore oil recovery facilities","Zapata-Penasco, I.; Salazar-Coria, L.; Saucedo-Garcia, M.; Villa-Tanaka, L.; Hernandez-Rodriguez, C.","","","","INTERNATIONAL BIODETERIORATION & BIODEGRADATION","JUL 2013","2013","81","","","","SI","17","27","","10.1016/j.ibiod.2012.07.005","3rd International Symposium on Applied Microbiology and Molecular Biology in Oil Systems (ISMOS-3)","JUN 13-15, 2011","11","0.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","1","3","1","2","1","0","0"
"Evaluation of haloalkaliphilic sulfur-oxidizing microorganisms with potential application in the effluent treatment of the petroleum industry","Olguin-Lora, P.; Le Borgne, S.; Castorena-Cortes, G.; Roldan-Carrillo, T.; Zapata-Penasco, I.; Reyes-Avila, J.; Alcantara-Perez, S.","","","","BIODEGRADATION","FEB 2011","2011","22","1","","","","83","93","","10.1007/s10532-010-9378-4","","","11","0.79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","2","0","0","1","0","1","4","0"
"Biofouling and biocorrosion by microbiota from a marine oil pipeline: A metagenomic and proteomic approach","Avelino-Jimenez, I. A.; Hernandez-Maya, L.; Larios-Serrato, V.; Quej-Ake, L.; Castelan-Sanchez, H.; Herrera-Diaz, J.; Garibay-Febles, V.; Rivera-Olvera, J. N.; Zavala-Olivares, G.; Zapata-Penasco, I.","","","","JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING","APR 2023","2023","11","2","","","","","","109413","10.1016/j.jece.2023.109413","","","8","4.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2"
