Zaragoza-Contreras, Erasto Armando (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Lignin in storage and renewable energy applications: A review","Luis Espinoza-Acosta, Jose; Torres-Chavez, Patricia I.; Olmedo-Martinez, Jorge L.; Vega-Rios, Alejandro; Flores-Gallardo, Sergio; Armando Zaragoza-Contreras, E.","","","","JOURNAL OF ENERGY CHEMISTRY","SEP 2018","2018","27","5","","","","1422","1438","","10.1016/j.jechem.2018.02.015","","","172","24.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","13","25","44","31","35","20"
"Synthesis of sulfonated graphene/polyaniline composites with improved electroactivity","Coskun, Elcin; Zaragoza-Contreras, Erasto A.; Salavagione, Horacio J.","","","","CARBON","MAY 2012","2012","50","6","","","","2235","2243","","10.1016/j.carbon.2012.01.041","","","94","7.23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","15","21","12","4","12","10","4","4","5","3","0","2"
"Blue agave fiber esterification for the reinforcement of thermoplastic composites","Tronc, E.; Hernandez-Escobar, C. A.; Ibarra-Gomez, R.; Estrada-Monje, A.; Navarrete-Bolanos, J.; Zaragoza-Contreras, E. A.","","","","CARBOHYDRATE POLYMERS","JAN 22 2007","2007","67","2","","","","245","255","","10.1016/j.carbpol.2006.05.027","","","87","4.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","4","3","3","12","4","8","9","3","9","9","7","9","0","2","2"
"Elucidating the graft copolymerization of methyl methacrylate onto wood-fiber","Román-Aguirre, M; Márquez-Lucero, A; Zaragoza-Contreras, EA","","","","CARBOHYDRATE POLYMERS","JAN 22 2004","2004","55","2","","","","201","210","","10.1016/j.carbpol.2003.09.008","","","46","2.19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","4","4","6","4","3","2","5","1","2","1","0","0","1","2","2","0","0","2"
"Progress of Polyaniline Glucose Sensors for Diabetes Mellitus Management Utilizing Enzymatic and Non-Enzymatic Detection","Osuna, Velia; Vega-Rios, Alejandro; Zaragoza-Contreras, Erasto Armando; Alziri Estrada-Moreno, Ivan; Dominguez, Rocio B.","","","","BIOSENSORS-BASEL","MAR 2022","2022","12","3","","","","","","137","10.3390/bios12030137","","","36","12.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","14","7"
"Fast wood fiber esterification.: I.: Reaction with oxalic acid and cetyl alcohol","Gardea-Hernandez, G.; Ibarra-Gomez, R.; Flores-Gallardo, S. G.; Hernandez-Escobar, C. A.; Perez-Romo, P.; Zaragoza-Contreras, E. A.","","","","CARBOHYDRATE POLYMERS","JAN 5 2008","2008","71","1","","","","1","8","","10.1016/j.carbpol.2007.05.014","","","35","2.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","2","3","3","2","2","3","1","3","2","2","0","3","2","0"
"Colorimetric sensor based on a poly(<i>ortho</i>-phenylenediamine-<i>co</i>-aniline) copolymer for the monitoring of tilapia (<i>Orechromis</i> <i>niloticus</i>) freshness","Dominguez-Aragon, Angelica; Olmedo-Martinez, Jorge A.; Armando Zaragoza-Contreras, E.","","","","SENSORS AND ACTUATORS B-CHEMICAL","APR 15 2018","2018","259","","","","","170","176","","10.1016/j.snb.2017.12.020","","","32","4.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","7","7","5","3","2"
"Nanosized polypyrrole affected by surfactant agitation for emulsion polymerization","Hoshina, Yusuke; Armando Zaragoza-Contreras, Erasto; Farnood, Ramin; Kobayashi, Takaomi","","","","POLYMER BULLETIN","APR 2012","2012","68","6","","","","1689","1705","","10.1007/s00289-011-0669-7","","","28","2.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","0","2","0","2","1","3","1","6","2","3"
"Evidence of multi-walled carbon nanotube fragmentation induced by sonication during nanotube encapsulation via bulk-suspension polymerization","Zaragoza-Contreras, E. A.; Lozano-Rodriguez, E. D.; Roman-Aguirre, M.; Antunez-Flores, W.; Hernandez-Escobar, C. A.; Flores-Gallardo, G.; Aguilar-Elguezabal, A.","","","","MICRON","JUL-AUG 2009","2009","40","5-6","","","","621","627","","10.1016/j.micron.2009.02.007","","","28","1.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","3","1","0","2","0","5","6","2","1","3","1","1","0","0"
"Poly(<i>ortho</i>-phenylenediamine-<i>co</i>-aniline) based copolymer with improved capacitance","Olmedo-Martinez, Jorge L.; Farias-Mancilla, Barbara I.; Vega-Rios, Alejandro.; Armando Zaragoza-Contreras, E.","","","","JOURNAL OF POWER SOURCES","OCT 31 2017","2017","366","","","","","233","240","","10.1016/j.jpowsour.2017.09.030","","","26","3.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","4","4","2","3","1"
