Trino Armando Zepeda Partida (Author)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Synthesis and characterization of Ti-HMS and CoMo/Ti-HMS oxide materials with varying Ti content","Zepeda, TA; Fierro, JLG; Pawelec, B; Nava, R; Klimova, T; Fuentes, GA; Halachev, T","","","","CHEMISTRY OF MATERIALS","AUG 9 2005","2005","17","16","","","","4062","4073","","10.1021/cm0500051","","","88","4.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","7","12","15","7","5","5","3","3","2","4","4","7","0","3","3","1","1","1"
"Physicochemical characterization of nopal pads (<i>Opuntia ficus indica</i>) and dry vacuum nopal powders as a function of the maturation","Rodriguez-Garcia, M. E.; de Lira, C.; Hernandez-Becerra, E.; Cornejo-Villegas, M. A.; Palacios-Fonseca, A. J.; Rojas-Molina, I.; Reynoso, R.; Quintero, L. C.; Del-Real, A.; Zepeda, T. A.; Munoz-Torres, C.","","","","PLANT FOODS FOR HUMAN NUTRITION","SEP 2007","2007","62","3","","","","107","112","","10.1007/s11130-007-0049-5","","","79","4.39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","5","5","3","4","9","3","5","1","7","8","9","5","4","5"
"Insight into the Deactivation of Au/CeO<sub>2</sub> Catalysts Studied by In Situ Spectroscopy during the CO-PROX Reaction","Hernandez, Jose A.; Gomez, Sergio A.; Zepeda, T. A.; Fierro-Gonzalez, Juan C.; Fuentes, Gustavo A.","","","","ACS CATALYSIS","JUL 2015","2015","5","7","","","","4003","4012","","10.1021/acscatal.5b00739","","","77","7.70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","8","7","8","11","13","9","7","4"
"Competitive HDS and HDN reactions over NiMoS/HMS-Al catalysts: Diminishing of the inhibition of HDS reaction by support modification with P","Zepeda, T. A.; Pawelec, B.; Obeso-Estrella, R.; Diaz de Leon, J. N.; Fuentes, S.; Alonso-Nunez, G.; Fierro, J. L. G.","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","JAN 2016","2016","180","","","","","569","579","","10.1016/j.apcatb.2015.07.013","","","63","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","4","12","8","10","6","12","1"
"Effect of Ti on the catalytic properties of CoMo/Ti(<i>x</i>)-HMS catalysts in the reaction of hydrodesulfurization of 4-ethyl-6-methyl dibenzothiophene","Zepeda, T. A.; Pawelec, B.; Fierro, J. L. G.; Halachev, T.","","","","JOURNAL OF CATALYSIS","SEP 10 2006","2006","242","2","","","","254","269","","10.1016/j.jcat.2006.06.008","","","61","3.21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","9","2","6","3","2","5","4","3","4","6","0","3","3","1","0","0"
"Effect of the divalent metal and the activation temperature of NiMoW and CoMoW on the dibenzothiophene hydrodesulfurization reaction","Amaya, Sandra L.; Alonso-Nunez, G.; Zepeda, T. A.; Fuentes, S.; Echavarria, Adriana","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","APR 27 2014","2014","148","","","","","221","230","","10.1016/j.apcatb.2013.10.057","","","59","5.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8","7","6","8","9","5","6","4","3","2"
"Removal of refractory S-containing compounds from liquid fuels on novel bifunctional CoMo/HMS catalysts modified with Ti","Zepeda, T. A.; Pawelec, B.; Fierro, J. L. G.; Halachev, T.","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","FEB 15 2007","2007","71","3-4","","","","223","236","","10.1016/j.apcatb.2006.09.011","","","58","3.22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","9","1","8","2","1","4","5","1","4","7","0","2","3","1","0","0"
"Hydrodesulfurization of dibenzothiophene over CoMo/HMS and CoMo/Ti-HMS catalysts","Zepeda, TA; Halachev, T; Pawelec, B; Nava, R; Klimova, T; Fuentes, GA; Fierro, JLG","","","","CATALYSIS COMMUNICATIONS","JAN 2006","2006","7","1","","","","33","41","","10.1016/j.catcom.2005.07.021","","","57","3.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","8","7","2","2","4","3","3","4","4","3","2","1","1","3","1","2","0"
"Characterization and HDS performance of sulfided CoMoW catalysts supported on mesoporous Al-SBA-16 substrates","Huirache-Acuna, R.; Zepeda, T. A.; Rivera-Munoz, E. M.; Nava, R.; Loricera, C. V.; Pawelec, B.","","","","FUEL","JUN 1 2015","2015","149","","2","","","149","161","","10.1016/j.fuel.2014.08.045","International-Mexican Congress on Chemical Reaction Engineering (IMCCRE 2014)","JUN 07-13, 2014","54","5.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","5","7","6","7","9","7","2","4"
"Effect of gallium loading on the hydrodesulfurization activity of unsupported Ga<sub>2</sub>S<sub>3</sub>/WS<sub>2</sub> catalysts","Zepeda, T. A.; Pawelec, B.; Diaz de Leon, J. N.; de los Reyes, J. A.; Olivas, A.","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","JAN 12 2012","2012","111","","","","","10","19","","10.1016/j.apcatb.2011.09.008","","","54","4.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","1","5","7","2","4","6","7","4","4","5","2"
"Influence of the acidity of nanostructured CoMo/P/Ti-HMS catalysts on the HDS of 4,6-DMDBT reaction pathways","Pawelec, B.; Fierro, J. L. G.; Montesinos, A.; Zepeda, T. A.","","","","APPLIED CATALYSIS B-ENVIRONMENTAL","APR 15 2008","2008","80","1-2","","","","1","14","","10.1016/j.apcatb.2007.10.039","","","54","3.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","4","3","3","2","2","4","2","5","5","5","3","3","3","2","1"
