Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Technical and economical evaluation of bioethanol production from lignocellulosic residues in Mexico: Case of sugarcane and blue agave bagasses,AMEZCUA ALLIERI MYRIAM ADELA,5,,CHEMICAL ENGINEERING RESEARCH & DESIGN,MAR 2016,107.0,,,68,7.56,0,0,0,0,0,0,0,0,0,0,0,1,4,10,11,9,15,9,5,4
Process simulation and techno-economic analysis of bio-jet fuel and green diesel production - Minimum selling prices,AMEZCUA ALLIERI MYRIAM ADELA,4,,CHEMICAL ENGINEERING RESEARCH & DESIGN,JUN 2019,146.0,,,50,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16,7,12,7
Techno-economic and greenhouse gas analyses of lignin valorization to eugenol and phenolic products in integrated ethanol biorefineries,AMEZCUA ALLIERI MYRIAM ADELA,6,,BIOFUELS BIOPRODUCTS & BIOREFINING-BIOFPR,JUL 2019,13.0,,,40,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,12,8,4
Removal of polycyclic aromatic hydrocarbons from soil: A comparison between bioremoval and supercritical fluids extraction,AMEZCUA ALLIERI MYRIAM ADELA,4,,CHEMOSPHERE,MAR 2012,86.0,,,35,2.69,0,0,0,0,0,0,0,2,2,4,6,2,3,3,4,2,3,2,2,0
Techno-economic analysis and life cycle assessment for energy generation from sugarcane bagasse: Case study for a sugar mill in Mexico,AMEZCUA ALLIERI MYRIAM ADELA,10,,FOOD AND BIOPRODUCTS PROCESSING,NOV 2019,118.0,,,34,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,10,5
Study of Chemical and Enzymatic Hydrolysis of Cellulosic Material to Obtain Fermentable Sugars,AMEZCUA ALLIERI MYRIAM ADELA,3,,JOURNAL OF CHEMISTRY,2017,2017.0,,,30,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,8,7,2,1
"Impact of microbial activity on copper, lead and nickel mobilization during the bioremediation of soil PAHs",AMEZCUA ALLIERI MYRIAM ADELA,3,,CHEMOSPHERE,OCT 2005,61.0,,,24,1.2,0,2,1,1,5,0,0,2,2,2,0,0,3,4,0,0,2,0,0,0
Unravelling the chemical reactions of fatty acids and triacylglycerides under hydrodeoxygenation conditions based on a comprehensive thermodynamic analysis,AMEZCUA ALLIERI MYRIAM ADELA,6,,BIOMASS & BIOENERGY,MAY 2018,112.0,,,22,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,5,4,2
Modelling to analyse the process and sustainability performance of forestry-based bioenergy systems,AMEZCUA ALLIERI MYRIAM ADELA,6,,CLEAN TECHNOLOGIES AND ENVIRONMENTAL POLICY,AUG 2022,24.0,,,17,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,7
Changes of chromium behavior in soil during phenanthrene removal by <i>Penicillium frequentans</i>,AMEZCUA ALLIERI MYRIAM ADELA,3,,BIOMETALS,FEB 2005,18.0,,,13,0.65,0,1,1,0,1,1,0,1,0,3,1,0,0,2,0,0,1,0,0,1
Phenanthrene removal in a selected Mexican soil by the fungus <i>Penicillium frequentans</i>:: Role of C:N ratio and water content,AMEZCUA ALLIERI MYRIAM ADELA,4,,SOIL & SEDIMENT CONTAMINATION,2003,12.0,,,13,0.59,3,3,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
Life Cycle Assessment of Green Diesel Production by Hydrodeoxygenation of Palm Oil,AMEZCUA ALLIERI MYRIAM ADELA,3,,FRONTIERS IN ENERGY RESEARCH,JUL 23 2021,9.0,,,12,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3
Energy-water nexus strategies for the energetic valorization of orange peels based on techno-economic and environmental impact assessment,AMEZCUA ALLIERI MYRIAM ADELA,8,,FOOD AND BIOPRODUCTS PROCESSING,SEP 2019,117.0,,,12,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0
Joint interpretation of geoelectrical and volatile organic compounds data: a case study in a hydrocarbons contaminated urban site,AMEZCUA ALLIERI MYRIAM ADELA,6,,GEOFISICA INTERNACIONAL,APR-JUN 2014,53.0,,,11,1.0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,2,1,1
"Polyaromatic hydrocarbons (PAHs) and metal evaluation after a diesel spill in Oaxaca, Mexico",AMEZCUA ALLIERI MYRIAM ADELA,4,,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,OCT 2007,79.0,,,11,0.61,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,2,1,0,1,0
Phenanthrene removal by <i>Penicillium frequentans</i> grown on a solid-state culture:: Effect of oxygen concentration,AMEZCUA ALLIERI MYRIAM ADELA,4,,ENVIRONMENTAL TECHNOLOGY,OCT 2006,27.0,,,11,0.58,0,0,0,0,1,0,1,2,0,0,1,0,0,2,0,0,2,0,2,0
Techno-Economic Feasibility of Steam and Electric Power Generation from the Gasification of Several Biomass in a Sugarcane Mill,AMEZCUA ALLIERI MYRIAM ADELA,3,,BIOENERGY RESEARCH,DEC 2022,15.0,,,10,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,2
