Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Electrochemical behavior of [Cu<sub>3</sub>(BTC)<sub>2</sub>] metal-organic framework: The effect of the method of synthesis,BELTRAN CONDE HIRAM ISAAC,8,,JOURNAL OF ALLOYS AND COMPOUNDS,NOV 5 2012,540.0,,,151,11.62,0,0,0,0,0,0,0,0,0,0,0,2,4,9,14,13,13,21,12,14,26,11,12
Theoretical analysis of the smallest carbon cluster containing a planar tetracoordinate carbon,BELTRAN CONDE HIRAM ISAAC,6,,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,DEC 15 2004,126.0,,,124,5.9,0,0,0,8,5,11,11,8,8,6,5,2,6,5,2,6,6,3,7,9,13,3,0
"One-step preparation, structural assignment, and X-ray study of 2,2-di-<i>n</i>-butyl- and 2,2-diphenyl-6-aza-1,3-dioxa-2-stannabenzocyclononen-4-ones derived from amino acids",BELTRAN CONDE HIRAM ISAAC,5,,CHEMISTRY-A EUROPEAN JOURNAL,MAY 23 2003,9.0,,,106,4.82,0,0,3,6,5,9,7,11,10,6,3,4,3,3,3,5,5,6,4,2,5,5,1
"Corrosion inhibitors:: Design, performance, and computer simulations",BELTRAN CONDE HIRAM ISAAC,5,,JOURNAL OF PHYSICAL CHEMISTRY B,DEC 1 2005,109.0,,,70,3.5,0,0,0,0,0,4,7,2,4,3,7,2,5,2,2,7,3,3,6,3,3,4,3
Structural and conformational analysis of neutral dinuclear diorganotin(IV) complexes derived from hexadentate Schiff base ligands,BELTRAN CONDE HIRAM ISAAC,6,,JOURNAL OF ORGANOMETALLIC CHEMISTRY,JAN 15 2007,692.0,,,69,3.83,0,0,0,0,0,2,0,5,8,5,4,7,12,1,4,6,3,2,2,0,3,4,1
"Synthesis, characterization, biocide and toxicological activities of di-<i>n</i>-butyl- and diphenyl-tin<SUP>IV</SUP>-salicyliden-β-amino alcohol derivatives",BELTRAN CONDE HIRAM ISAAC,10,,INORGANIC CHEMISTRY,JUL 25 2005,44.0,,,69,3.45,0,0,0,0,0,8,4,6,5,4,2,6,6,1,3,5,4,6,5,1,2,1,0
"Boron macrocycles having a calix-like shape.: Synthesis, characterization, X-ray analysis, and inclusion properties",BELTRAN CONDE HIRAM ISAAC,9,,INORGANIC CHEMISTRY,MAR 20 2006,45.0,,,63,3.32,0,0,0,0,1,7,5,8,5,5,7,3,7,0,3,2,0,1,2,3,2,2,0
Synthesis and characterization of di-phenyl-tin<SUP>IV</SUP>-salicyliden-<i>ortho</i>-aminophenols:: Analysis of <i>in vitro</i> antitumor/antioxidant activities and molecular structures,BELTRAN CONDE HIRAM ISAAC,5,,JOURNAL OF INORGANIC BIOCHEMISTRY,JUL 2007,101.0,,,60,3.33,0,0,0,0,0,0,1,6,4,2,4,7,3,4,3,5,6,2,5,1,4,2,1
Microwave assisted stereoselective synthesis of Cis-substituted Tin<SUP>IV</SUP> phthalocyanine dicarboxylates.: Application as corrosion inhibitors,BELTRAN CONDE HIRAM ISAAC,10,,INORGANIC CHEMISTRY,JUN 14 2004,43.0,,,57,2.71,0,0,1,6,3,8,7,4,4,3,5,3,2,0,0,0,1,3,2,3,1,1,0
Structural relationship between a host included chain of spirocyclic water hexamers and bulk water -: the role of water clusters in self assembly and crystallization processes,BELTRAN CONDE HIRAM ISAAC,6,,CHEMICAL COMMUNICATIONS,NOV 28 2005,,,,56,2.8,0,0,0,0,3,9,5,10,6,6,6,1,4,1,1,0,0,1,0,2,1,0,0
