Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Identification of individual and few layers of WS<sub>2</sub> using Raman Spectroscopy,BOTELLO MENDEZ ANDRES RAFAEL,12,,SCIENTIFIC REPORTS,APR 30 2013,3,,,1200,100.0,0,0,0,0,0,8,39,77,120,132,114,137,117,115,136,112,93
"Graphene and graphite nanoribbons: Morphology, properties, synthesis, defects and applications",BOTELLO MENDEZ ANDRES RAFAEL,11,,NANO TODAY,AUG 2010,5,,,698,46.53,0,0,1,22,49,61,65,55,68,51,49,56,70,42,41,38,30
Nitrogen-doped graphene: beyond single substitution and enhanced molecular sensing,BOTELLO MENDEZ ANDRES RAFAEL,18,,SCIENTIFIC REPORTS,AUG 17 2012,2,,,565,43.46,0,0,0,0,2,31,57,82,97,55,54,46,51,41,26,16,7
Flexible Piezoelectric ZnO-Paper Nanocomposite Strain Sensor,BOTELLO MENDEZ ANDRES RAFAEL,8,,SMALL,AUG 2 2010,6,,,327,21.8,0,0,0,10,20,18,21,21,23,42,26,32,31,26,24,15,18
Longitudinal Cutting of Pure and Doped Carbon Nanotubes to Form Graphitic Nanoribbons Using Metal Clusters as Nanoscalpels,BOTELLO MENDEZ ANDRES RAFAEL,10,,NANO LETTERS,FEB 2010,10,,,283,18.87,0,0,16,28,27,33,33,27,22,25,15,15,15,11,5,9,2
Metallic and ferromagnetic edges in molybdenum disulfide nanoribbons,BOTELLO MENDEZ ANDRES RAFAEL,4,,NANOTECHNOLOGY,AUG 12 2009,20,,,192,12.0,0,0,1,9,7,17,12,28,20,18,18,14,12,8,16,9,3
Electrical Transport Measured in Atomic Carbon Chains,BOTELLO MENDEZ ANDRES RAFAEL,6,,NANO LETTERS,AUG 2013,13,,,181,15.08,0,0,0,0,0,3,16,22,23,18,16,20,17,19,13,10,4
Ultrasensitive gas detection of large-area boron-doped graphene,BOTELLO MENDEZ ANDRES RAFAEL,22,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,NOV 24 2015,112,,,170,17.0,0,0,0,0,0,0,0,0,15,21,23,26,28,26,18,7,6
Magnetic behavior in zinc oxide zigzag nanoribbons,BOTELLO MENDEZ ANDRES RAFAEL,4,,NANO LETTERS,JUN 2008,8,,,148,8.71,2,9,21,15,11,16,9,14,11,4,11,6,3,3,5,6,2
Localized state and charge transfer in nitrogen-doped graphene,BOTELLO MENDEZ ANDRES RAFAEL,14,,PHYSICAL REVIEW B,APR 18 2012,85,,,133,10.23,0,0,0,0,3,13,10,21,14,10,7,8,16,6,10,10,5
