Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Solventless synthesis and optical properties of Au and Ag nanoparticles using <i>Camellia sinensis</i> extract,CAMACHO LOPEZ MIGUEL ANGEL,6,,MATERIALS LETTERS,JUN 30 2008,62,,,381,22.41,0,0,0,0,0,0,0,0,0,0,5,7,17,21,28,24,27,32,34,34,25,34,35,29,18,11
Micro-Raman study of the <i>m</i>-MoO<sub>2</sub> to α-MoO<sub>3</sub> transformation induced by cw-laser irradiation,CAMACHO LOPEZ MIGUEL ANGEL,6,,OPTICAL MATERIALS,JAN 2011,33,,,238,17.0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,8,8,14,13,21,20,36,31,33,28,15
Growth of V<sub>2</sub>O<sub>5</sub> thin films by pulsed laser deposition and their applications in lithium microbatteries,CAMACHO LOPEZ MIGUEL ANGEL,5,,MATERIALS SCIENCE AND ENGINEERING B-SOLID STATE MATERIALS FOR ADVANCED TECHNOLOGY,NOV 30 1999,65,,,122,4.69,0,0,2,7,7,6,3,4,8,3,7,2,6,4,4,2,3,9,10,5,9,5,6,5,2,3
Growth of LiMn<sub>2</sub>O<sub>4</sub> thin films by pulsed-laser deposition and their electrochemical properties in lithium microbatteries,CAMACHO LOPEZ MIGUEL ANGEL,5,,MATERIALS SCIENCE AND ENGINEERING B-SOLID STATE MATERIALS FOR ADVANCED TECHNOLOGY,MAR 1 2000,72,,,105,4.2,0,0,3,5,5,3,4,11,6,7,6,3,6,3,6,5,1,4,4,8,4,5,1,1,3,1
Combustion synthesis and characterization of substituted lithium cobalt oxides in lithium batteries,CAMACHO LOPEZ MIGUEL ANGEL,6,,SOLID STATE IONICS,NOV 2000,135,12th International Conference on Solid State Ionics,"JUN 06-12, 1999",101,4.04,0,0,0,6,4,2,6,8,4,4,7,4,6,9,4,4,4,8,6,5,0,5,2,2,0,1
Fabrication of LiCoO<sub>2</sub> thin-film cathodes for rechargeable lithium microbatteries,CAMACHO LOPEZ MIGUEL ANGEL,4,,MATERIALS CHEMISTRY AND PHYSICS,FEB 15 2001,68,,,98,4.08,0,0,0,2,10,2,4,10,11,1,7,7,7,7,2,2,2,4,3,1,4,6,4,1,1,0
Structural characterization of TiO<sub>2</sub> thin films obtained by pulsed laser deposition,CAMACHO LOPEZ MIGUEL ANGEL,6,,APPLIED SURFACE SCIENCE,JAN 1999,137,,,77,2.96,1,6,4,6,4,7,6,6,5,1,2,1,3,4,5,1,4,1,3,1,1,0,3,0,0,2
<SUP>99m</SUP>Tc-labelled gold nanoparticles capped with HYNIC-peptide/mannose for sentinel lymph node detection,CAMACHO LOPEZ MIGUEL ANGEL,10,,NUCLEAR MEDICINE AND BIOLOGY,JAN 2011,38,,,73,5.21,0,0,0,0,0,0,0,0,0,0,0,1,2,9,7,7,8,4,2,6,9,3,7,6,1,1
Formation of β-Bi<sub>2</sub>O<sub>3</sub> and δ-Bi<sub>2</sub>O<sub>3</sub> during laser irradiation of Bi films studied in-situ by spatially resolved Raman spectroscopy,CAMACHO LOPEZ MIGUEL ANGEL,5,,JOURNAL OF ALLOYS AND COMPOUNDS,NOV 5 2017,723,,,65,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,15,15,9,11,4
SERS Properties of Different Sized and Shaped Gold Nanoparticles Biosynthesized under Different Environmental Conditions by <i>Neurospora crassa</i> Extract,CAMACHO LOPEZ MIGUEL ANGEL,5,,PLOS ONE,OCT 9 2013,8,,,64,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,8,8,7,10,4,3,7,1
"Carbon quantum dots by submerged arc discharge in water: Synthesis, characterization, and mechanism of formation",CAMACHO LOPEZ MIGUEL ANGEL,16,,JOURNAL OF APPLIED PHYSICS,APR 28 2021,129,,,63,15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,22,28
