Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ultrasensitive SERS Substrate for Label-Free Therapeutic-Drug Monitoring of Paclitaxel and Cyclophosphamide in Blood Serum,CAMACHO VILLEGAS TANYA AMANDA,9,,ANALYTICAL CHEMISTRY,FEB 5 2019,91,,,73,12.17,0,0,0,0,0,4,12,14,16,16,11
"Novel anti-HER2 peptide-conjugated theranostic nanoliposomes combining NaYF<sub>4</sub>:Yb,Er nano-particles for NIR-activated bioimaging and chemo-photodynamic therapy against breast cancer",CAMACHO VILLEGAS TANYA AMANDA,8,,NANOSCALE,NOV 21 2019,11,,,40,6.67,0,0,0,0,0,0,6,14,9,7,4
Anti-fouling SERS-based immunosensor for point-of-care detection of the B7-H6 tumor biomarker in cervical cancer patient serum,CAMACHO VILLEGAS TANYA AMANDA,9,,ANALYTICA CHIMICA ACTA,NOV 22 2020,1138,,,38,7.6,0,0,0,0,0,0,0,10,11,9,8
Human TNF cytokine neutralization with a vNAR from <i>Heterodontus francisci</i> shark A potential therapeutic use,CAMACHO VILLEGAS TANYA AMANDA,5,,MABS,JAN-FEB 2013,5,,,32,2.67,2,3,4,4,2,3,2,3,2,5,2
Stealth modified bottom up SERS substrates for label-free therapeutic drug monitoring of doxorubicin in blood serum,CAMACHO VILLEGAS TANYA AMANDA,8,,TALANTA,OCT 1 2020,218,,,31,6.2,0,0,0,0,0,0,2,7,7,8,7
An immunoconjugated up-conversion nanocomplex for selective imaging and photodynamic therapy against HER2-positive breast cancer,CAMACHO VILLEGAS TANYA AMANDA,8,,NANOSCALE,JUN 7 2018,10,,,31,4.43,0,0,0,0,0,9,7,8,3,2,2
Anti-tumor necrosis factor <sub>V</sub>NAR single domains reduce lethality and regulate underlying inflammatory response in a murine model of endotoxic shock,CAMACHO VILLEGAS TANYA AMANDA,13,,BMC IMMUNOLOGY,APR 2 2013,14,,,26,2.17,1,2,5,4,3,1,1,1,4,4,0
Intraocular Penetration of a vNAR: In Vivo and In Vitro VEGF<sub>165</sub> Neutralization,CAMACHO VILLEGAS TANYA AMANDA,7,,MARINE DRUGS,APR 2018,16,,,21,3.0,0,0,0,0,1,4,2,1,4,8,1
Effect of starch on the mechanical and <i>in vitro</i> properties of collagen-hydroxyapatite sponges for applications in dentistry,CAMACHO VILLEGAS TANYA AMANDA,6,,CARBOHYDRATE POLYMERS,SEP 5 2016,148,,,20,2.22,0,0,0,4,2,3,1,6,3,1,0
Ligand-targeted Theranostic Liposomes combining methylene blue attached upconversion nanoparticles for NIR activated bioimaging and photodynamic therapy against HER-2 positive breast cancer,CAMACHO VILLEGAS TANYA AMANDA,8,,JOURNAL OF LUMINESCENCE,SEP 2021,237,,,15,3.75,0,0,0,0,0,0,0,2,10,1,2
Spruce xylan/HEMA-SBA15 hybrid hydrogels as a potential scaffold for fibroblast growth and attachment,CAMACHO VILLEGAS TANYA AMANDA,7,,CARBOHYDRATE POLYMERS,DEC 1 2018,201,,,15,2.14,0,0,0,0,0,1,3,3,4,3,1
3D Cell Culture Models in COVID-19 Times: A Review of 3D Technologies to Understand and Accelerate Therapeutic Drug Discovery,CAMACHO VILLEGAS TANYA AMANDA,4,,BIOMEDICINES,JUN 2021,9,,,13,3.25,0,0,0,0,0,0,0,2,5,4,2
Improvement of the wound healing properties of hydrogels with <i>N</i>-acetylcysteine through their modification with methacrylate-containing polymers,CAMACHO VILLEGAS TANYA AMANDA,8,,BIOMATERIALS SCIENCE,FEB 7 2021,9,,,12,3.0,0,0,0,0,0,0,0,2,3,2,5
Transcriptional portrait of <i>M. bovis</i> BCG during biofilm production shows genes differentially expressed during intercellular aggregation and substrate attachment,CAMACHO VILLEGAS TANYA AMANDA,13,,SCIENTIFIC REPORTS,JUL 28 2020,10,,,11,2.2,0,0,0,0,0,0,1,3,4,2,1
Development of thermosensitive hybrid hydrogels based on xylan-type hemicellulose from agave bagasse: characterization and antibacterial activity,CAMACHO VILLEGAS TANYA AMANDA,8,,MRS COMMUNICATIONS,MAR 2020,10,,,9,1.8,0,0,0,0,0,0,1,2,3,1,2
First pan-specific vNAR against human TGF-β as a potential therapeutic application: in silico modeling assessment,CAMACHO VILLEGAS TANYA AMANDA,6,,SCIENTIFIC REPORTS,MAR 3 2023,13,,,7,3.5,0,0,0,0,0,0,0,0,0,5,2
3D Cell Culture as Tools to Characterize Rheumatoid Arthritis Signaling and Development of New Treatments,CAMACHO VILLEGAS TANYA AMANDA,3,,CELLS,NOV 2022,11,,,7,2.33,0,0,0,0,0,0,0,0,0,5,2
Synthesis and characterization of mesoporous silica-g-poly (hydroxyethylmethacrylate) nanohybrid particles as a drug delivery system,CAMACHO VILLEGAS TANYA AMANDA,5,,MATERIALS CHEMISTRY AND PHYSICS,MAY 1 2022,283,,,4,1.33,0,0,0,0,0,0,0,0,2,1,1
An <i>Escherichia coli</i>-Expressed Porcine Reproductive and Respiratory Syndrome Virus Chimeric Protein Induces a Specific Immunoglobulin G Response in Immunized Piglets,CAMACHO VILLEGAS TANYA AMANDA,11,,VIRAL IMMUNOLOGY,NOV 1 2019,32,,,4,0.67,0,0,0,0,0,0,0,1,1,0,2
"Radical Scavenging, Hemocompatibility, and Antibacterial Activity against MDR <i>Acinetobacter baumannii </i>in Alginate-Based Aerogels Containing Lipoic Acid-Capped Silver Nanoparticles",CAMACHO VILLEGAS TANYA AMANDA,10,,ACS OMEGA,JAN 3 2024,9,,,3,3.0,0,0,0,0,0,0,0,0,0,0,3
Possible Routes for Zika Virus Vertical Transmission in Human Placenta: A Comprehensive Review,CAMACHO VILLEGAS TANYA AMANDA,5,,VIRAL IMMUNOLOGY,JUL 2022,35,,,3,1.0,0,0,0,0,0,0,0,0,2,0,1
