Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Multiscroll attractors by switching systems,CAMPOS CANTON ERIC,4,,CHAOS,MAR 2010,20.0,,,68,4.53,0,0,0,0,0,2,7,4,4,4,7,7,3,10,7,4,6,3
Hyperchaotic encryption based on multi-scroll piecewise linear systems,CAMPOS CANTON ERIC,4,,APPLIED MATHEMATICS AND COMPUTATION,NOV 1 2015,270.0,,,54,5.4,0,0,0,0,0,0,0,0,0,2,8,5,5,6,11,6,7,4
Pseudo-random bit generator based on multi-modal maps,CAMPOS CANTON ERIC,2,,NONLINEAR DYNAMICS,DEC 2015,82.0,,,48,4.8,0,0,0,0,0,0,0,0,0,2,4,4,9,3,10,4,9,3
Attractors generated from switching unstable dissipative systems,CAMPOS CANTON ERIC,3,,CHAOS,SEP 2012,22.0,,,44,3.38,0,0,0,0,0,0,4,3,3,4,6,5,3,6,3,2,3,2
Chaos generation in fractional-order switched systems and its digital implementation,CAMPOS CANTON ERIC,3,,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,2017,79.0,,,42,5.25,0,0,0,0,0,0,0,0,0,0,1,3,7,13,6,4,6,2
A family of hyperchaotic multi-scroll attractors in R<i><SUP>n</SUP></i>,CAMPOS CANTON ERIC,4,,APPLIED MATHEMATICS AND COMPUTATION,MAY 1 2014,233.0,,,41,3.73,0,0,0,0,0,0,0,2,2,8,11,5,6,0,0,2,4,1
Strange attractors generated by a fractional order switching system and its topological horseshoe,CAMPOS CANTON ERIC,3,,NONLINEAR DYNAMICS,FEB 2016,83.0,,,38,4.22,0,0,0,0,0,0,0,0,0,1,8,9,5,6,7,1,1,0
Chaotic attractors based on unstable dissipative systems via third-order differential equation,CAMPOS CANTON ERIC,1,,INTERNATIONAL JOURNAL OF MODERN PHYSICS C,JAN 2016,27.0,,,33,3.67,0,0,0,0,0,0,0,0,0,0,6,2,3,8,5,5,3,1
Generation of multi-scroll attractors without equilibria via piecewise linear systems,CAMPOS CANTON ERIC,3,,CHAOS,MAY 2017,27.0,,,30,3.75,0,0,0,0,0,0,0,0,0,0,1,5,3,6,7,0,4,4
An approach to generate deterministic Brownian motion,CAMPOS CANTON ERIC,4,,COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,AUG 2014,19.0,,,29,2.64,0,0,0,0,0,0,0,1,1,0,2,3,0,3,9,5,1,4
