Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2007,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Difference map and its electronic circuit realization,CAMPOS CANTON ISAAC,4,,NONLINEAR DYNAMICS,NOV 2013,74.0,,,24,2.0,0,0,0,0,2,1,3,1,0,0,0,2,6,6,3
A simple electronic circuit realization of the tent map,CAMPOS CANTON ISAAC,4,,CHAOS SOLITONS & FRACTALS,OCT 15 2009,42.0,,,19,1.19,0,2,2,2,0,1,0,2,1,0,0,0,6,3,0
A SIMPLE CIRCUIT WITH DYNAMIC LOGIC ARCHITECTURE OF BASIC LOGIC GATES,CAMPOS CANTON ISAAC,4,,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,AUG 2010,20.0,,,14,0.93,0,1,2,1,1,3,0,1,1,0,0,2,2,0,0
Evaluation of Psychoacoustic Annoyance and Perception of Noise Annoyance Inside University Facilities,CAMPOS CANTON ISAAC,5,,INTERNATIONAL JOURNAL OF ACOUSTICS AND VIBRATION,MAR 2018,23.0,,,12,1.71,0,0,0,0,0,0,0,0,0,1,1,3,3,2,2
A MULTIVIBRATOR CIRCUIT BASED ON CHAOS GENERATION,CAMPOS CANTON ISAAC,4,,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,JAN 2012,22.0,,,9,0.69,0,0,1,1,0,0,0,1,0,1,1,1,3,0,0
Forced synchronization of autonomous dynamical Boolean networks,CAMPOS CANTON ISAAC,4,,CHAOS,AUG 2015,25.0,,,8,0.8,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0
Set-Reset Flip-Flop Circuit with a Simple Output Logic,CAMPOS CANTON ISAAC,4,,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,APR 2012,31.0,,,6,0.46,0,0,0,0,1,0,0,1,0,0,1,2,1,0,0
Influence of Background Noise Produced in University Facilities on the Brain Waves Associated With Attention of Students and Employees,CAMPOS CANTON ISAAC,5,,PERCEPTION,SEP 2017,46.0,,,5,0.63,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
Multivalued synchronization by Poincare coupling,CAMPOS CANTON ISAAC,5,,COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,OCT 2013,18.0,,,5,0.42,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0
Synergistic interaction between 4-allyl-1-hydroxy-2-methoxybenzene (<i>eugenol</i>) and diclofenac: An isobolograpic analysis in Wistar rats,CAMPOS CANTON ISAAC,7,,DRUG DEVELOPMENT RESEARCH,DEC 2020,81.0,,,4,0.8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1
