Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Destruction of cyanide waste solutions using chlorine dioxide, ozone and titania sol",CARRILLO PEDROZA FRANCISCO RAUL,3,,WASTE MANAGEMENT,2003,23.0,,,93,4.23,0,0,0,1,4,3,2,0,2,3,4,6,5,5,10,7,5,6,7,9,5,6,2,1
Leaching kinetics of iron from low grade kaolin by oxalic acid solutions,CARRILLO PEDROZA FRANCISCO RAUL,5,,APPLIED CLAY SCIENCE,MAR 2011,51.0,,,77,5.5,0,0,0,0,0,0,0,0,0,0,0,2,4,7,4,3,5,7,8,9,7,8,6,7
Study of celestite flotation efficiency using sodium dodecyl sulfonate collector:: factorial experiment and statistical analysis of data,CARRILLO PEDROZA FRANCISCO RAUL,5,,INTERNATIONAL JOURNAL OF MINERAL PROCESSING,JUN 2003,70.0,,,72,3.27,0,0,0,0,2,5,2,5,4,4,3,3,8,4,4,3,6,2,5,2,4,4,2,0
Kinetics and statistical analysis of nickel leaching from spent catalyst in nitric acid solution,CARRILLO PEDROZA FRANCISCO RAUL,6,,INTERNATIONAL JOURNAL OF MINERAL PROCESSING,MAR 10 2016,148.0,,,27,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,5,6,4,7,0
Cyanide oxidation by ozone in cyanidation tailings: Reaction kinetics,CARRILLO PEDROZA FRANCISCO RAUL,3,,MINERALS ENGINEERING,MAY 2000,13.0,,,26,1.04,1,1,1,1,2,1,1,1,1,1,0,2,1,1,1,2,2,1,1,2,0,0,1,1
TREATMENT OF SULFIDE MINERALS BY OXIDATIVE LEACHING WITH OZONE,CARRILLO PEDROZA FRANCISCO RAUL,5,,MINERAL PROCESSING AND EXTRACTIVE METALLURGY REVIEW,2012,33.0,,,25,1.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,2,8,4,2,2
Coal Desulfurization in Oxidative Acid Media Using Hydrogen Peroxide and Ozone: A Kinetic and Statistical Approach,CARRILLO PEDROZA FRANCISCO RAUL,4,,ENERGY & FUELS,JUL 2009,23.0,18th Conference on Impacts of Fuel Quality on Power Generation and Environment,"SEP 29-OCT 03, 2008",22,1.38,0,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,3,3,0,1,2,2,2,1
Leaching Chalcopyrite with an Imidazolium-Based Ionic Liquid and Bromide,CARRILLO PEDROZA FRANCISCO RAUL,8,,METALS,FEB 2020,10.0,,,21,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,3,2
Evaluation of Acid Leaching of Low Grade Chalcopyrite Using Ozone by Statistical Analysis,CARRILLO PEDROZA FRANCISCO RAUL,5,,CANADIAN METALLURGICAL QUARTERLY,JUL 2010,49.0,,,18,1.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,6,4,2,2
Aerobic processes for bioleaching manganese and silver using microorganisms indigenous to mine tailings,CARRILLO PEDROZA FRANCISCO RAUL,7,,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,JUL 21 2020,36.0,,,16,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,9,0
