Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Millimeter-Wave Frequency Radio over Fiber Systems: A Survey,CASTAÑON AVILA GERARDO ANTONIO,5,,IEEE COMMUNICATIONS SURVEYS AND TUTORIALS,2013,15.0,,,137,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,17,16,14,15,10,21,13,13,3
"Optical routing of asynchronous, variable length packets",CASTAÑON AVILA GERARDO ANTONIO,6,,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,OCT 2000,18.0,,,99,3.96,0,0,0,7,15,12,14,13,11,8,3,5,4,3,0,0,3,1,0,0,0,0,0,0,0,0
Analysis of hot-potato optical networks with wavelength conversion,CASTAÑON AVILA GERARDO ANTONIO,3,,JOURNAL OF LIGHTWAVE TECHNOLOGY,APR 1999,17.0,,,53,2.04,0,6,3,5,3,4,9,4,5,3,2,3,0,1,2,1,0,0,1,0,0,0,1,0,0,0
Phase-Insensitive RF Envelope Detection Allows Optical Heterodyning of MHz-Linewidth Signals,CASTAÑON AVILA GERARDO ANTONIO,4,,IEEE PHOTONICS TECHNOLOGY LETTERS,NOV 15 2013,25.0,,,19,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,2,3,3,1,0,3,0
Trunk Reservation for Fair Utilization in Flexible Optical Networks,CASTAÑON AVILA GERARDO ANTONIO,6,,IEEE COMMUNICATIONS LETTERS,MAY 2014,18.0,,,18,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,1,3,1,1,0,1
Differential evolution optimization applied to the routing and spectrum allocation problem in flexgrid optical networks,CASTAÑON AVILA GERARDO ANTONIO,4,,PHOTONIC NETWORK COMMUNICATIONS,FEB 2016,31.0,,,17,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,2,2,1,2,0,0
Optical IP routers: design and performance issues under self-similar traffic,CASTAÑON AVILA GERARDO ANTONIO,6,,JOURNAL OF HIGH SPEED NETWORKS,1999,8.0,,,13,0.5,1,2,0,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Optical packet switching with multiple path routing,CASTAÑON AVILA GERARDO ANTONIO,3,,COMPUTER NETWORKS,MAY 15 2000,32.0,,,12,0.48,0,1,4,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Routing and wavelength assignment in all optical networks using differential evolution optimization,CASTAÑON AVILA GERARDO ANTONIO,3,,PHOTONIC NETWORK COMMUNICATIONS,DEC 2013,26.0,,,11,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2,0,0,1,0,1
A survey of key-enabling components for remote millimetric wave generation in radio over fiber networks,CASTAÑON AVILA GERARDO ANTONIO,5,,OPTICS AND LASER TECHNOLOGY,JUL 2013,49.0,,,11,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,0,2,0,0,0
