Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aerobic biodegradation of sludge with high hydrocarbon content generated by a Mexican natural gas processing facility,CASTORENA CORTES GLADYS TERESA,5,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,MAR 2012,95,,,31,2.38,0,1,0,1,5,3,2,6,3,4,2,3,1
Microcosm assays and Taguchi experimental design for treatment of oil sludge containing high concentration of hydrocarbons,CASTORENA CORTES GLADYS TERESA,7,,BIORESOURCE TECHNOLOGY,DEC 2009,100,,,29,1.81,3,3,1,2,2,2,1,2,3,7,2,1,0
Evaluation of the effect of nutrient ratios on biosurfactant production by <i>Serratia marcescens</i> using a Box-Behnken design,CASTORENA CORTES GLADYS TERESA,7,,COLLOIDS AND SURFACES B-BIOINTERFACES,SEP 1 2011,86,,,27,1.93,5,4,1,1,2,2,3,3,2,2,0,0,2
Coreflood assay using extremophile microorganisms for recovery of heavy oil in Mexican oil fields,CASTORENA CORTES GLADYS TERESA,6,,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,OCT 2012,114,,,26,2.0,0,2,1,4,3,2,3,3,1,4,0,1,2
Evaluation of indigenous anaerobic microorganisms from Mexican carbonate reservoirs with potential MEOR application,CASTORENA CORTES GLADYS TERESA,7,,JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,JAN 2012,81,,,25,1.92,1,1,2,5,4,3,1,3,0,2,3,0,0
Evaluation of haloalkaliphilic sulfur-oxidizing microorganisms with potential application in the effluent treatment of the petroleum industry,CASTORENA CORTES GLADYS TERESA,7,,BIODEGRADATION,FEB 2011,22,,,11,0.79,1,0,1,1,0,2,0,0,1,0,1,4,0
Effect of porous media types on oil recovery by indigenous microorganisms from a Mexican oil field,CASTORENA CORTES GLADYS TERESA,5,,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,JUN 2013,88,,,5,0.42,0,0,1,0,1,0,0,0,2,1,0,0,0
Effect of sulphur species on the hydrocarbon biodegradation of oil sludge generated by a gas processing facility,CASTORENA CORTES GLADYS TERESA,5,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,MAY 2013,10,,,4,0.33,0,0,0,0,2,0,0,0,1,0,1,0,0
A FLOW AND TRANSPORT MODEL FOR SIMULATION OF MICROBIAL ENHANCED OIL RECOVERY PROCESSES AT CORE SCALE AND LABORATORY CONDITIONS,CASTORENA CORTES GLADYS TERESA,6,,INTERNATIONAL JOURNAL OF NUMERICAL ANALYSIS AND MODELING,2019,16,,,3,0.5,0,0,0,0,0,0,0,0,0,2,0,0,1
Lipopeptide production by <i>Serratia marcescens</i> SmSA using a Taguchi design and its application in enhanced heavy oil recovery,CASTORENA CORTES GLADYS TERESA,5,,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,SEP 1 2022,52,,,2,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0
