Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Inexpensive anti-cysticercosis vaccine:: S3Pvac expressed in heat inactivated M13 filamentous phage proves effective against naturally acquired <i>Taenia solium</i> porcine cysticercosis,CERVANTES TORRES JACQUELYNNE BRENDA,17,,VACCINE,JUN 2 2008,26.0,,,60,3.53,0,0,0,0,5,7,4,5,4,4,3,3,5,1,4,3,7,2,3,0
Transgenic plants: a 5-year update on oral antipathogen vaccine development,CERVANTES TORRES JACQUELYNNE BRENDA,6,,EXPERT REVIEW OF VACCINES,DEC 2014,13.0,,,38,3.45,0,0,0,0,0,0,0,0,0,0,6,4,11,6,2,2,3,1,2,1
"Improvement of the synthetic tri-peptide vaccine (S3Pvac) against porcine <i>Taenia solium</i> cysticercosis in search of a more effective, inexpensive and manageable vaccine",CERVANTES TORRES JACQUELYNNE BRENDA,22,,VACCINE,FEB 9 2007,25.0,,,34,1.89,0,0,0,6,3,5,2,3,2,3,1,0,2,1,1,0,3,1,1,0
DEVELOPMENT OF THE S3PVAC VACCINE AGAINST PORCINE <i>TAENIA SOLIUM</i> CYSTICERCOSIS: A HISTORICAL REVIEW,CERVANTES TORRES JACQUELYNNE BRENDA,9,,JOURNAL OF PARASITOLOGY,AUG 2013,99.0,,,22,1.83,0,0,0,0,0,0,0,0,1,4,0,3,2,3,3,3,3,0,0,0
<i>Brucella</i> spp. lumazine synthase:: a novel antigen delivery system,CERVANTES TORRES JACQUELYNNE BRENDA,10,,VACCINE,APR 15 2005,23.0,,,21,1.05,1,3,2,1,2,1,1,1,2,2,1,0,1,2,0,0,1,0,0,0
Towards the development of an oral vaccine against porcine cysticercosis: expression of the protective HP6/TSOL18 antigen in transgenic carrots cells,CERVANTES TORRES JACQUELYNNE BRENDA,11,,PLANTA,MAR 2016,243.0,,,20,2.22,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,4,4,3,1,0
Characterization of S3Pvac Anti-Cysticercosis Vaccine Components: Implications for the Development of an Anti-Cestodiasis Vaccine,CERVANTES TORRES JACQUELYNNE BRENDA,17,,PLOS ONE,JUN 23 2010,5.0,,,20,1.33,0,0,0,0,0,0,4,5,1,1,2,0,2,1,0,0,1,1,1,1
Heterologous Prime-Boost Oral Immunization with GK-1 Peptide from <i>Taenia crassiceps</i> Cysticerci Induces Protective Immunity,CERVANTES TORRES JACQUELYNNE BRENDA,10,,CLINICAL AND VACCINE IMMUNOLOGY,JUL 2011,18.0,,,17,1.21,0,0,0,0,0,0,0,1,1,1,1,1,3,4,2,1,1,0,1,0
Recombinant S3Pvac-phage anticysticercosis vaccine: Simultaneous protection against cysticercosis and hydatid disease in rural pigs,CERVANTES TORRES JACQUELYNNE BRENDA,16,,VETERINARY PARASITOLOGY,FEB 28 2011,176.0,,,16,1.14,0,0,0,0,0,0,0,5,2,0,2,1,3,0,0,1,1,1,0,0
Transgenic papaya: a useful platform for oral vaccines,CERVANTES TORRES JACQUELYNNE BRENDA,18,,PLANTA,MAY 2017,245.0,,,14,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,1,0
