Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Potential of earthworms to accelerate removal of organic contaminants from soil: A review,CONTRERAS RAMOS SILVIA MARIBEL,4,,APPLIED SOIL ECOLOGY,JUL 2014,79.0,,,166,15.09,0,0,0,0,0,0,0,0,0,2,9,8,9,22,20,22,20,26,20,8
Effect of fermentation time and drying temperature on volatile compounds in cocoa,CONTRERAS RAMOS SILVIA MARIBEL,6,,FOOD CHEMISTRY,MAY 1 2012,132.0,,,152,11.69,0,0,0,0,0,0,0,0,1,3,6,6,7,13,25,27,19,15,21,9
<i>Eisenia fetida</i> increased removal of polycyclic aromatic hydrocarbons from soil,CONTRERAS RAMOS SILVIA MARIBEL,3,,ENVIRONMENTAL POLLUTION,JUN 2006,141.0,,,92,4.84,0,1,1,6,3,5,4,4,5,6,7,3,11,7,4,5,4,6,9,1
Vermicomposting of biosolids with cow manure and oat straw,CONTRERAS RAMOS SILVIA MARIBEL,3,,BIOLOGY AND FERTILITY OF SOILS,APR 2005,41.0,,,89,4.45,0,2,2,7,7,5,8,4,4,6,4,2,10,4,1,6,7,4,2,4
Removal of polycyclic aromatic hydrocarbons from soil amended with biosolid or vermicompost in the presence of earthworms (<i>Eisenia fetida</i>),CONTRERAS RAMOS SILVIA MARIBEL,3,,SOIL BIOLOGY & BIOCHEMISTRY,JUL 2008,40.0,,,86,5.06,0,0,0,0,2,3,5,6,8,10,7,2,5,8,5,6,9,4,4,2
Utilization of vinasses as soil amendment: consequences and perspectives,CONTRERAS RAMOS SILVIA MARIBEL,7,,SPRINGERPLUS,JUL 7 2016,5.0,,,71,7.89,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,14,8,8,9,9
Changes in earthworm gut associated enzymes and microbial diversity on the treatment of fermented tannery waste using epigeic earthworm <i>Eudrilus eugeniae</i>,CONTRERAS RAMOS SILVIA MARIBEL,3,,ECOLOGICAL ENGINEERING,JAN 2015,74.0,,,67,6.7,0,0,0,0,0,0,0,0,0,0,2,8,3,9,7,7,11,11,7,2
Effects of tanneries wastewater on chemical and biological soil characteristics,CONTRERAS RAMOS SILVIA MARIBEL,6,,APPLIED SOIL ECOLOGY,OCT 2006,33.0,,,61,3.21,0,0,1,4,7,2,4,8,3,2,2,2,6,3,4,2,2,2,4,3
Instrumental evidence for biodegradation of tannery waste during vermicomposting process using <i>Eudrilus eugeniae</i>,CONTRERAS RAMOS SILVIA MARIBEL,5,,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,MAR 2013,111.0,,,58,4.83,0,0,0,0,0,0,0,0,2,0,3,6,5,4,3,4,9,11,7,4
Composting of tannery effluent with cow manure and wheat straw,CONTRERAS RAMOS SILVIA MARIBEL,4,,BIORESOURCE TECHNOLOGY,SEP 2004,94.0,,,50,2.38,2,1,3,6,4,4,3,0,3,3,0,5,3,4,0,2,2,2,2,1
"Bioremediation of soil contaminated by hydrocarbons with the combination of three technologies: bioaugmentation, phytoremediation, and vermiremediation",CONTRERAS RAMOS SILVIA MARIBEL,7,,JOURNAL OF SOILS AND SEDIMENTS,APR 2019,19.0,,,46,7.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,9,5,13,3
Characteristics of earthworms (<i>Eisenia fetida</i>) in PAHs contaminated soil amended with sewage sludge or vermicompost,CONTRERAS RAMOS SILVIA MARIBEL,3,,APPLIED SOIL ECOLOGY,MAR 2009,41.0,,,46,2.88,0,0,0,0,0,6,3,3,3,3,6,2,3,1,3,4,3,1,4,1
"Earthworms, a means to accelerate removal of hydrocarbons (PAHs) from soil? A mini-review",CONTRERAS RAMOS SILVIA MARIBEL,3,,PEDOBIOLOGIA,2011,54.0,,,41,2.93,0,0,0,0,0,0,0,0,4,2,4,0,6,3,5,7,3,3,3,1
Nutrient and enzymatic changes of hydrolysed tannery solid waste treated with epigeic earthworm <i>Eudrilus eugeniae</i> and phytotoxicity assessment on selected commercial crops,CONTRERAS RAMOS SILVIA MARIBEL,5,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,JAN 2014,21.0,,,36,3.27,0,0,0,0,0,0,0,0,0,0,3,4,1,3,8,7,2,3,3,2
"Removal of benzo (a) pyrene from soil using an endogeic earthworm <i>Pontoscolex corethrurus</i> (Muller, 1857)",CONTRERAS RAMOS SILVIA MARIBEL,7,,APPLIED SOIL ECOLOGY,AUG 2013,70.0,,,33,2.75,0,0,0,0,0,0,0,0,0,3,3,2,3,5,3,3,1,3,5,2
Macrofauna and mesofauna from soil contaminated by oil extraction,CONTRERAS RAMOS SILVIA MARIBEL,8,,GEODERMA,DEC 15 2018,332.0,17th International Colloquium on Soil Zoology (ICSZ) / 14th International Colloquium on Apterygota (ICA),"AUG 22-26, 2016",31,4.43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,7,5,3,2
Dissipation of polycyclic aromatic hydrocarbons from soil added with manure or vermicompost,CONTRERAS RAMOS SILVIA MARIBEL,4,,CHEMOSPHERE,NOV 2006,65.0,,,31,1.63,0,0,0,4,1,4,3,4,3,1,2,1,1,1,0,3,1,0,1,1
Emission of nitrous oxide from hydrocarbon contaminated soil amended with waste water sludge and earthworms,CONTRERAS RAMOS SILVIA MARIBEL,5,,APPLIED SOIL ECOLOGY,JAN 2009,41.0,,,18,1.13,0,0,0,0,0,1,2,0,4,2,3,0,2,1,1,1,0,0,0,1
Identification and Quantification of Volatile Compounds Found in Vinasses from Two Different Processes of Tequila Production,CONTRERAS RAMOS SILVIA MARIBEL,5,,ENERGIES,MAR 2018,11.0,,,16,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,3,2,2
Use of agave bagasse for production of an organic fertilizer by pretreatment with <i>Bjerkandera adusta</i> and vermicomposting with <i>Eisenia fetida</i>,CONTRERAS RAMOS SILVIA MARIBEL,5,,ENVIRONMENTAL TECHNOLOGY,MAY 18 2016,37.0,,,13,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,0,3
VERMICOMPOST AS AN ALTERNATIVE OF MANAGEMENT FOR WATER HYACINTH,CONTRERAS RAMOS SILVIA MARIBEL,5,,REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,2016,32.0,,,12,1.33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,2,2
