Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"TiO<sub>2</sub> thin films - Influence of annealing temperature on structural, optical and photocatalytic properties",CORTES JACOME MARIA ANTONIA,4,,SOLAR ENERGY,SEP 2009,83,,,280,17.5,0,0,0,0,0,8,9,20,14,22,32,19,29,21,25,18,17,18,17,11
Antibacterial activity of montmorillonites modified with silver,CORTES JACOME MARIA ANTONIA,10,,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,FEB 18 2008,281,"4th San Luis Symposium on Surfaces, Interfaces and Catalysis","APR 14-23, 2007",236,13.88,0,0,0,0,8,13,17,14,25,23,16,14,21,16,8,22,15,9,10,5
"Tin Sulfide Thin Films by Pulse Electrodeposition: Structural, Morphological, and Optical Properties",CORTES JACOME MARIA ANTONIA,5,,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,2010,157,,,117,7.8,0,0,0,0,0,2,4,7,10,6,10,20,13,8,15,7,3,4,2,6
Synthesis of pyrite FeS<sub>2</sub> nanorods by simple hydrothermal method and its photocatalytic activity,CORTES JACOME MARIA ANTONIA,6,,CHEMICAL PHYSICS LETTERS,SEP 1 2016,660,,,103,11.44,0,0,0,0,0,0,0,0,0,0,0,1,4,7,11,20,22,11,15,12
Ni/Ce-MCM-41 mesostructured catalysts for simultaneous production of hydrogen and nanocarbon <i>via</i> methane decomposition,CORTES JACOME MARIA ANTONIA,10,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,APR 2010,35,,,98,6.53,0,0,0,0,0,2,7,6,7,8,5,10,10,5,5,6,10,6,7,4
Migration and oxidation of tungsten species at the origin of acidity and catalytic activity on WO<sub>3</sub>-ZrO<sub>2</sub> catalysts,CORTES JACOME MARIA ANTONIA,6,,APPLIED CATALYSIS A-GENERAL,FEB 20 2007,318,,,98,5.44,0,0,2,2,5,2,6,12,8,4,5,9,8,6,6,6,5,7,4,1
Comprehending the Thermal Decomposition and Reconstruction Process of Sol-Gel MgAl Layered Double Hydroxides,CORTES JACOME MARIA ANTONIA,7,,JOURNAL OF PHYSICAL CHEMISTRY C,FEB 11 2010,114,,,86,5.73,0,0,0,0,0,2,6,4,6,7,8,4,3,2,5,5,7,8,8,11
WO<i><sub>x</sub></i>/TiO<sub>2</sub> catalysts via titania nanotubes for the oxidation of dibenzothiophene,CORTES JACOME MARIA ANTONIA,5,,CHEMISTRY OF MATERIALS,DEC 25 2007,19,,,61,3.39,0,0,0,2,7,9,5,4,4,5,4,5,3,3,2,2,3,1,1,1
Low-temperature FTIR study of CO adsorption on titania nanotubes,CORTES JACOME MARIA ANTONIA,8,,JOURNAL OF PHYSICAL CHEMISTRY C,JUL 26 2007,111,,,59,3.28,0,0,1,3,6,10,4,3,4,5,5,5,2,2,3,3,2,1,0,0
Effect of ethyleneglycol addition on the properties of P-doped NiMo/Al<sub>2</sub>O<sub>3</sub> HDS catalysts: Part I. Materials preparation and characterization,CORTES JACOME MARIA ANTONIA,11,,APPLIED CATALYSIS B-ENVIRONMENTAL,MAY 20 2009,88,,,58,3.63,0,0,0,0,2,1,1,4,3,6,2,2,9,4,8,3,3,7,2,1
Structural modifications of SnO<sub>2</sub> due to the incorporation of Fe into the lattice,CORTES JACOME MARIA ANTONIA,8,,JOURNAL OF APPLIED PHYSICS,OCT 1 2006,100,,,56,2.95,0,0,2,2,5,5,6,4,3,4,3,3,1,3,3,1,2,3,2,4
Highly active CoMoS phase on titania nanotubes as new hydrodesulfurization catalysts,CORTES JACOME MARIA ANTONIA,4,,APPLIED CATALYSIS B-ENVIRONMENTAL,JUL 25 2009,90,,,54,3.38,0,0,0,0,0,1,4,2,3,2,4,6,3,8,5,5,2,5,3,1
"Pt, PtCo and PtNi electrocatalysts prepared by mechanical alloying for the oxygen reduction reaction in 0.5 M H<sub>2</sub>SO<sub>4</sub>",CORTES JACOME MARIA ANTONIA,6,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,NOV 2008,33,,,48,2.82,0,0,0,0,1,6,7,6,2,4,2,5,5,4,1,0,3,1,0,1
Highly active P-doped sulfided NiMo/alumina HDS catalysts from Mo-blue by using saccharose as reducing agents precursor,CORTES JACOME MARIA ANTONIA,7,,APPLIED CATALYSIS B-ENVIRONMENTAL,DEC 5 2018,237,,,47,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,7,13,9,7
Highly dispersed uniformly sized Pt nanoparticles on mesoporous Al-SBA-15 by solid state impregnation,CORTES JACOME MARIA ANTONIA,10,,APPLIED CATALYSIS B-ENVIRONMENTAL,JUL 21 2011,106,,,45,3.21,0,0,0,0,0,0,0,3,4,4,5,4,4,2,4,3,2,3,2,5
Generation of WO<sub>3</sub>-ZrO<sub>2</sub> catalysts from solid solutions of tungsten in zirconia,CORTES JACOME MARIA ANTONIA,4,,JOURNAL OF SOLID STATE CHEMISTRY,AUG 2006,179,,,44,2.32,0,0,3,1,2,4,1,5,1,4,1,2,3,2,2,3,3,2,2,3
Effects of the SO<sub>4</sub> groups on the textural properties and local order deformation of SnO<sub>2</sub> rutile structure,CORTES JACOME MARIA ANTONIA,5,,LANGMUIR,MAY 11 2004,20,,,44,2.1,1,1,2,1,3,6,2,2,3,1,2,2,4,2,6,0,2,3,0,1
Physical properties of pulse electrodeposited lead sulfide thin films,CORTES JACOME MARIA ANTONIA,4,,ELECTROCHIMICA ACTA,JUN 1 2013,99,,,43,3.58,0,0,0,0,0,0,0,0,0,5,6,3,11,1,5,3,3,1,4,1
Highly dispersed CoMoS phase on titania nanotubes as efficient HDS catalysts,CORTES JACOME MARIA ANTONIA,7,,CATALYSIS TODAY,JAN 15 2008,130,4th International Symposium on Molecular Aspects of Catalysis by Sulfides,"MAY 13-17, 2007",34,2.0,0,0,1,1,3,0,4,3,3,3,1,3,2,2,1,4,0,2,0,1
