Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Green synthesis of silver nanoparticles using <i>Lysiloma acapulcensis</i> exhibit high-antimicrobial activity,DIAZ DE LEON HERNANDEZ JORGE NOE,14,,SCIENTIFIC REPORTS,JUL 30 2020,10,,,245,49.0,0,0,0,0,0,0,2,55,79,65,44
Recent Insights in Transition Metal Sulfide Hydrodesulfurization Catalysts for the Production of Ultra Low Sulfur Diesel: A Short Review,DIAZ DE LEON HERNANDEZ JORGE NOE,4,,CATALYSTS,JAN 2019,9,,,85,14.17,0,0,0,0,0,4,14,20,24,13,10
Hydrodesulfurization of sulfur refractory compounds: Effect of gallium as an additive in NiWS/γ-Al<sub>2</sub>O<sub>3</sub> catalysts,DIAZ DE LEON HERNANDEZ JORGE NOE,5,,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,NOV 2012,363,,,58,4.46,3,11,6,4,4,3,5,8,7,3,4
Insight of 1D γ-Al<sub>2</sub>O<sub>3</sub> nanorods decoration by NiWS nanoslabs in ultra-deep hydrodesulfurization catalyst,DIAZ DE LEON HERNANDEZ JORGE NOE,6,,JOURNAL OF CATALYSIS,JAN 2015,321,,,39,3.9,0,4,3,5,7,5,3,4,2,4,2
Binary γ-Al<sub>2</sub>O<sub>3</sub>-α-Ga<sub>2</sub>O<sub>3</sub> as supports of NiW catalysts for hydrocarbon sulfur removal,DIAZ DE LEON HERNANDEZ JORGE NOE,1,,APPLIED CATALYSIS B-ENVIRONMENTAL,FEB 2016,181,,,38,4.22,0,0,1,5,3,4,7,3,9,4,2
Support effects of NiW catalysts for highly selective sulfur removal from light hydrocarbons,DIAZ DE LEON HERNANDEZ JORGE NOE,8,,APPLIED CATALYSIS B-ENVIRONMENTAL,SEP 15 2017,213,,,28,3.5,0,0,0,0,3,5,3,4,6,3,4
Support effects of NiW hydrodesulfurization catalysts from experiments and DFT calculations,DIAZ DE LEON HERNANDEZ JORGE NOE,7,,APPLIED CATALYSIS B-ENVIRONMENTAL,DEC 15 2018,238,,,27,3.86,0,0,0,0,1,3,1,4,7,8,3
"One dimensional (1D) γ-alumina nanorod linked networks: Synthesis, characterization and application",DIAZ DE LEON HERNANDEZ JORGE NOE,7,,APPLIED CATALYSIS A-GENERAL,FEB 22 2014,472,,,26,2.36,0,3,4,4,3,3,1,4,4,0,0
Single step and template-free synthesis of Dandelion flower-like core-shell architectures of metal oxide microspheres: Influence of sulfidation on particle morphology & hydrodesulfurization performance,DIAZ DE LEON HERNANDEZ JORGE NOE,3,,APPLIED CATALYSIS B-ENVIRONMENTAL,NOV 15 2020,277,,,20,4.0,0,0,0,0,0,0,1,4,8,3,4
Highly active CoMo/Al (10) KIT-6 catalysts for HDS of DBT: Role of structure and aluminum heteroatom in the support matrix,DIAZ DE LEON HERNANDEZ JORGE NOE,6,,CATALYSIS TODAY,NOV 1 2017,296,25th Iberoamerican Congress on Catalysis (CICat),"SEP 18-23, 2016",20,2.5,0,0,0,0,4,4,3,2,4,1,2
Methanol electro-oxidation with alloy nanoparticles of Pt<sub>10-<i>x</i></sub>-Fe<i><sub>x</sub></i> supported on CNTs,DIAZ DE LEON HERNANDEZ JORGE NOE,8,,FUEL,OCT 15 2016,182,,,20,2.22,0,0,1,2,4,3,4,2,1,3,0
Noble metals supported on binary γ-Al<sub>2</sub>O<sub>3</sub>-α-Ga<sub>2</sub>O<sub>3</sub> oxide as potential low-temperature water-gas shift catalysts,DIAZ DE LEON HERNANDEZ JORGE NOE,7,,FUEL,APR 15 2020,266,,,15,3.0,0,0,0,0,0,0,4,4,3,3,1
Oxidative transformation of dibenzothiophene by chloroperoxidase enzyme immobilized on (1D)-γ-Al<sub>2</sub>O<sub>3</sub> nanorods2,DIAZ DE LEON HERNANDEZ JORGE NOE,5,,JOURNAL OF MOLECULAR CATALYSIS B-ENZYMATIC,MAY 2015,115,,,15,1.5,0,0,2,1,4,1,2,2,3,0,0
Composites of Anthraquinone Dyes@HKUST-1 with Tunable Microstructuring: Experimental and Theoretical Interaction Studies,DIAZ DE LEON HERNANDEZ JORGE NOE,5,,CHEMISTRY-A EUROPEAN JOURNAL,MAR 21 2019,25,,,14,2.33,0,0,0,0,0,2,2,2,1,3,4
Anisole Hydrodeoxygenation: A Comparative Study of Ni/TiO<sub>2</sub>-ZrO<sub>2</sub> and Commercial TiO<sub>2</sub> Supported Ni and NiRu Catalysts,DIAZ DE LEON HERNANDEZ JORGE NOE,7,,TOPICS IN CATALYSIS,SEP 2022,65,,,12,4.0,0,0,0,0,0,0,0,0,2,4,6
