Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Conservation status of freshwater mussels in Europe: state of the art and future challenges,DOUDA YOURI,49,,BIOLOGICAL REVIEWS,FEB 2017,92.0,,,395,49.38,0,0,0,0,11,26,53,64,58,55,41,45,42
Research priorities for freshwater mussel conservation assessment,DOUDA YOURI,48,,BIOLOGICAL CONSERVATION,MAR 2019,231.0,,,152,25.33,0,0,0,0,0,0,0,19,23,38,26,29,17
Fish and mussels: Importance of fish for freshwater mussel conservation,DOUDA YOURI,7,,FISH AND FISHERIES,MAR 2018,19.0,,,131,18.71,0,0,0,0,0,0,6,19,16,25,18,23,24
The role of host specificity in explaining the invasion success of the freshwater mussel Anodonta woodiana in Europe,DOUDA YOURI,4,,BIOLOGICAL INVASIONS,JAN 2012,14.0,,,104,8.0,4,11,4,7,12,12,9,9,5,6,8,5,12
Invasive Chinese pond mussel <i>Sinanodonta woodiana</i> threatens native mussel reproduction by inducing cross-resistance of host fish,DOUDA YOURI,10,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,DEC 2017,27.0,,,52,6.5,0,0,0,0,0,2,6,8,7,10,6,6,7
Biotic homogenization as a threat to native affiliate species: fish introductions dilute freshwater mussel's host resources,DOUDA YOURI,7,,DIVERSITY AND DISTRIBUTIONS,AUG 2013,19.0,,,52,4.33,0,0,6,1,8,4,6,11,3,4,1,4,4
Expanding conservation culturomics and iEcology from terrestrial to aquatic realms,DOUDA YOURI,22,,PLOS BIOLOGY,OCT 2020,18.0,,,49,9.8,0,0,0,0,0,0,0,0,0,8,14,12,15
Host limitation of the thick-shelled river mussel: identifying the threats to declining affiliate species,DOUDA YOURI,3,,ANIMAL CONSERVATION,OCT 2012,15.0,,,44,3.38,0,3,8,5,5,5,6,4,2,2,0,3,1
Host compatibility as a critical factor in management unit recognition: population-level differences in mussel-fish relationships,DOUDA YOURI,6,,JOURNAL OF APPLIED ECOLOGY,AUG 2014,51.0,,,40,3.64,0,0,0,1,3,5,9,8,2,4,4,3,1
Parasite-induced increases in the energy costs of movement of host freshwater fish,DOUDA YOURI,6,,PHYSIOLOGY & BEHAVIOR,MAR 15 2017,171.0,,,39,4.88,0,0,0,0,0,3,2,7,4,5,4,7,6
Development of alder carr after the abandonment of wet grasslands during the last 70 years,DOUDA YOURI,4,,ANNALS OF FOREST SCIENCE,OCT-NOV 2009,66.0,,,35,2.19,4,1,4,2,7,1,4,2,4,1,4,1,0
Effects of nitrate nitrogen pollution on Central European unionid bivalves revealed by distributional data and acute toxicity testing,DOUDA YOURI,1,,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,MAR-APR 2010,20.0,,,34,2.27,6,1,2,2,3,2,4,3,4,1,2,3,1
Parasite-induced alterations of host behaviour in a riverine fish: the effects of glochidia on host dispersal,DOUDA YOURI,5,,FRESHWATER BIOLOGY,JUL 2014,59.0,,,33,3.0,0,0,0,2,3,5,4,3,2,6,3,2,2
Direct impact of invasive bivalve (<i>Sinanodonta woodiana</i>) parasitism on freshwater fish physiology: evidence and implications,DOUDA YOURI,7,,BIOLOGICAL INVASIONS,MAR 2017,19.0,,,32,4.0,0,0,0,0,0,4,1,7,1,6,5,1,7
A global synthesis of ecosystem services provided and disrupted by freshwater bivalve molluscs,DOUDA YOURI,14,,BIOLOGICAL REVIEWS,OCT 2022,97.0,,,31,10.33,0,0,0,0,0,0,0,0,0,0,2,15,14
Freshwater mussel conservation: A global horizon scan of emerging threats and opportunities,DOUDA YOURI,17,,GLOBAL CHANGE BIOLOGY,FEB 2023,29.0,,,30,10.0,0,0,0,0,0,0,0,0,0,0,0,10,20
Methamphetamine pollution elicits addiction in wild fish,DOUDA YOURI,9,,JOURNAL OF EXPERIMENTAL BIOLOGY,JUL 2021,224.0,,,30,7.5,0,0,0,0,0,0,0,0,0,5,11,10,4
The role of anthropogenic habitats in freshwater mussel conservation,DOUDA YOURI,36,,GLOBAL CHANGE BIOLOGY,JUN 2021,27.0,,,30,7.5,0,0,0,0,0,0,0,0,0,3,8,8,11
Population-specific responses to an invasive species,DOUDA YOURI,10,,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,AUG 7 2015,282.0,,,30,3.0,0,0,0,0,2,7,5,7,4,2,1,0,2
An invasive species reverses the roles in a host-parasite relationship between bitterling fish and unionid mussels,DOUDA YOURI,4,,BIOLOGY LETTERS,AUG 23 2012,8.0,,,29,2.23,1,1,5,2,4,3,2,4,1,0,4,0,2
The role of local adaptation in shaping fish-mussel coevolution,DOUDA YOURI,9,,FRESHWATER BIOLOGY,NOV 2017,62.0,,,28,3.5,0,0,0,0,0,0,3,6,4,6,4,1,4
Modelling the invasion history of <i>Sinanodonta woodiana</i> in Europe: Tracking the routes of a sedentary aquatic invader with mobile parasitic larvae,DOUDA YOURI,8,,EVOLUTIONARY APPLICATIONS,DEC 2018,11.0,,,25,3.57,0,0,0,0,0,0,0,3,2,5,4,4,7
Water clearance efficiency indicates potential filter-feeding interactions between invasive <i>Sinanodonta woodiana</i> and native freshwater mussels,DOUDA YOURI,2,,BIOLOGICAL INVASIONS,MAY 2018,20.0,,,25,3.57,0,0,0,0,0,0,1,4,3,7,3,1,6
Invasion Culturomics and iEcology,DOUDA YOURI,18,,CONSERVATION BIOLOGY,APR 2021,35.0,,,24,6.0,0,0,0,0,0,0,0,0,0,0,5,10,9
The status of freshwater pearl mussel in the Czech Republic: Several successfully rejuvenated populations but the absence of natural reproduction,DOUDA YOURI,7,,LIMNOLOGICA,JAN 2015,50.0,,,24,2.4,0,0,0,1,0,1,2,5,2,2,5,4,2
A roadmap for the conservation of freshwater mussels in Europe,DOUDA YOURI,33,,CONSERVATION BIOLOGY,APR 2023,37.0,,,21,7.0,0,0,0,0,0,0,0,0,0,0,0,8,13
