Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Antidotes against venomous animals: State of the art and prospectives,ESPINO SOLIS GERARDO PAVEL,4,,JOURNAL OF PROTEOMICS,MAR 6 2009,72,,,71,4.44,4,5,12,6,2,4,4,4,4,5,3,4,3,3,5,3
Antimicrobial peptides from arachnid venoms and their microbicidal activity in the presence of commercial antibiotics,ESPINO SOLIS GERARDO PAVEL,8,,JOURNAL OF ANTIBIOTICS,JAN 2013,66,,,50,4.17,0,0,0,0,0,3,6,4,6,2,5,7,5,5,4,3
A selective blocker of Kv1.2 and Kv1.3 potassium channels from the venom of the scorpion <i>Centruroides suffusus suffusus</i>,ESPINO SOLIS GERARDO PAVEL,9,,BIOCHEMICAL PHARMACOLOGY,OCT 30 2008,76,,,42,2.47,4,3,2,5,0,4,3,2,5,2,2,2,4,3,1,0
Targeting antigens to Dec-205 on dendritic cells induces a higher immune response in chickens: Hemagglutinin of avian influenza virus example,ESPINO SOLIS GERARDO PAVEL,8,,RESEARCH IN VETERINARY SCIENCE,APR 2017,111,,,20,2.5,0,0,0,0,0,0,0,0,0,1,6,5,2,4,1,1
Isolation and molecular cloning of beta-neurotoxins from the venom of the scorpion <i>Centruroides suffusus suffusus</i>,ESPINO SOLIS GERARDO PAVEL,8,,TOXICON,APR 2011,57,,,17,1.21,0,0,0,5,1,1,0,2,2,1,0,1,0,1,2,1
Targeting of rotavirus VP6 to DEC-205 induces protection against the infection in mice,ESPINO SOLIS GERARDO PAVEL,10,,VACCINE,AUG 20 2015,33,Vaccine Technology V - ECI Conference,"JUN 08-13, 2014",15,1.5,0,0,0,0,0,0,0,1,0,4,3,0,5,1,0,1
"Exercise Exacerbates the Transcriptional Profile of Hypoxia, Oxidative Stress and Inflammation in Rats with Adjuvant-Induced Arthritis",ESPINO SOLIS GERARDO PAVEL,5,,CELLS,DEC 2019,8,,,11,1.83,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,0
Positive transcriptional response on inflammation and joint remodelling influenced by physical exercise in proteoglycan-induced arthritis: An animal study,ESPINO SOLIS GERARDO PAVEL,6,,BONE & JOINT RESEARCH,JAN 2020,9,,,9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0
Selected scorpion toxin exposures induce cytokine release in human peripheral blood mononuclear cells,ESPINO SOLIS GERARDO PAVEL,2,,TOXICON,MAR 1 2017,127,,,9,1.13,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,2
Antimicrobial and Immunomodulatory Effects of Selected Chemokine and Antimicrobial Peptide on Cytokine Profile during <i>Salmonella</i> Typhimurium Infection in Mouse,ESPINO SOLIS GERARDO PAVEL,7,,ANTIBIOTICS-BASEL,MAY 2022,11,,,6,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
