Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
An Overview of Progress and Current Challenges in Ultrasonic Treatment of Polymer Melts,ESPINOZA GONZALEZ CARLOS JOSE,6,,ADVANCES IN POLYMER TECHNOLOGY,MAR 2013,32.0,,,39,3.25,1,3,3,5,6,3,6,4,3,3,1,1
"Spray-drying encapsulation of microwave-assisted extracted polyphenols from Moringa oleifera: Influence of tragacanth, locust bean, and carboxymethyl-cellulose formulations",ESPINOZA GONZALEZ CARLOS JOSE,8,,FOOD RESEARCH INTERNATIONAL,JUN 2021,144.0,,,31,7.75,0,0,0,0,0,0,0,0,1,13,6,11
A Study on Exfoliation of Expanded Graphite Stacks in Candelilla Wax,ESPINOZA GONZALEZ CARLOS JOSE,6,,MATERIALS,AUG 2019,12.0,,,17,2.83,0,0,0,0,0,0,0,4,5,5,3,0
Candelilla Wax as Natural Slow-Release Matrix for Fertilizers Encapsulated by Spray Chilling,ESPINOZA GONZALEZ CARLOS JOSE,10,,JOURNAL OF RENEWABLE MATERIALS,APR 2018,6.0,4th International Conference on Biobased Materials and Composites (ICBMC),2017,11,1.57,0,0,0,0,0,0,2,1,1,6,1,0
A Measure of CNTs Dispersion in Polymers With Branched Molecular Architectures by UDMA,ESPINOZA GONZALEZ CARLOS JOSE,5,,IEEE TRANSACTIONS ON NANOTECHNOLOGY,SEP 2016,15.0,,,8,0.89,0,0,0,0,2,1,3,0,1,0,1,0
Toward Greener Chemistry Methods for Preparation of Hybrid Polymer Materials Based on Carbon Nanotubes,ESPINOZA GONZALEZ CARLOS JOSE,7,"Suzuki, S",SYNTHESES AND APPLICATIONS OF CARBON NANOTUBES AND THEIR COMPOSITES,2013,,,,7,0.58,0,0,0,2,1,0,3,0,0,0,0,1
Effect of ultrasonic irradiation on low-density polyethylene molecular structure,ESPINOZA GONZALEZ CARLOS JOSE,9,,POLYMER BULLETIN,OCT 2020,77.0,,,6,1.0,0,0,0,0,0,0,0,0,1,3,2,0
Emerging polymer-based nanocomposites,ESPINOZA GONZALEZ CARLOS JOSE,2,,NANOMATERIALS AND NANOTECHNOLOGY,MAR 3 2022,12.0,,,4,1.33,0,0,0,0,0,0,0,0,0,0,0,4
The potential of starch-chitosan blends with poloxamer for the preparation of microparticles by spray-drying,ESPINOZA GONZALEZ CARLOS JOSE,7,,PARTICUOLOGY,JUN 2024,89.0,,,3,1.5,0,0,0,0,0,0,0,0,0,0,0,3
Natural wax nanoparticles induce changes in morphology and physical properties of polysaccharides after spray drying: Applications for development of controlled-release formulations,ESPINOZA GONZALEZ CARLOS JOSE,7,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,AUG 25 2019,258.0,ACS Fall National Meeting and Exposition,"AUG 25-29, 2019",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Highly porous phase change materials based on Candelilla wax as renewable source for solarto-thermal energy conversion and storage,ESPINOZA GONZALEZ CARLOS JOSE,5,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,AUG 25 2019,258.0,ACS Fall National Meeting and Exposition,"AUG 25-29, 2019",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Candelilla wax as renewable source for development of solar-thermal energy conversion and storage materials,ESPINOZA GONZALEZ CARLOS JOSE,6,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,MAR 18 2018,255.0,"255th National Meeting and Exposition of the American-Chemical-Society (ACS) - Nexus of Food, Energy, and Water","MAR 18-22, 2018",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Plant cuticular waxes as renewable encapsulating matrices for phosphate fertilizers: Morphological insights into phosphate release behavior,ESPINOZA GONZALEZ CARLOS JOSE,7,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,MAR 18 2018,255.0,"255th National Meeting and Exposition of the American-Chemical-Society (ACS) - Nexus of Food, Energy, and Water","MAR 18-22, 2018",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
