Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Synthesis of Copper Nanoparticles by Thermal Decomposition and Their Antimicrobial Properties,GARCIA CERDA LUIS ALFONSO,8,,JOURNAL OF NANOMATERIALS,2014,2014,,,145,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,5,8,4,9,28,23,27,22
Study of SrFe<sub>12</sub>O<sub>19</sub> synthesized by the sol-gel method,GARCIA CERDA LUIS ALFONSO,3,,JOURNAL OF ALLOYS AND COMPOUNDS,APR 28 2004,369,6th Latin American Workshop on Magnetism Magnetic Materials and their Applications (VI LAW3M),"APR 07-11, 2003",88,4.19,0,0,0,0,0,0,2,1,7,3,7,8,5,4,5,6,5,4,6,4,1,6,6,2,2,4
One-step synthesis of ZnO and Ag/ZnO heterostructures and their photocatalytic activity,GARCIA CERDA LUIS ALFONSO,5,,CERAMICS INTERNATIONAL,APR 15 2018,44,,,82,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,15,19,10,11,5
Preparation of spherical MCM-41 molecular sieve at room temperature: Influence of the synthesis conditions in the structural properties,GARCIA CERDA LUIS ALFONSO,6,,CERAMICS INTERNATIONAL,DEC 2012,38,,,73,5.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,6,6,7,11,7,8,4,6,2
Synthesis and characterization of maghemite nanoparticles for hyperthermia applications,GARCIA CERDA LUIS ALFONSO,5,,CERAMICS INTERNATIONAL,JAN 2015,41,,,65,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,5,13,4,11,11,7
Preparation and characterization of polyvinyl alcohol-cobalt ferrite nanocomposites,GARCIA CERDA LUIS ALFONSO,3,,JOURNAL OF NON-CRYSTALLINE SOLIDS,APR 15 2007,353,8th International Workshop on Non-Cystalline Solids,"JUN 20-23, 2006",63,3.5,0,0,0,0,0,0,0,0,0,3,3,10,4,4,1,4,3,4,4,8,2,2,4,4,3,0
Preparation and characterization of cobalt ferrite by the polymerized complex method,GARCIA CERDA LUIS ALFONSO,3,,MATERIALS LETTERS,APR 2005,59,,,61,3.05,0,0,0,0,0,0,0,5,4,4,2,3,9,3,9,4,4,1,5,1,0,2,0,4,1,0
Ammonia-free chemically deposited CdS films as active layers in thin film transistors,GARCIA CERDA LUIS ALFONSO,6,,THIN SOLID FILMS,OCT 29 2010,519,,,51,3.4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,4,3,2,7,5,5,4,2,1,2,1
Functionalization with amine-containing organosilane of mesoporous silica MCM-41 and MCM-48 obtained at room temperature,GARCIA CERDA LUIS ALFONSO,6,,CERAMICS INTERNATIONAL,AUG 2014,40,,,47,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,4,2,8,4,7,6,4,2
"Relationship between morphology, porosity, and the photocatalytic activity of TiO<sub>2</sub> obtained by sol-gel method assisted with ionic and nonionic surfactants",GARCIA CERDA LUIS ALFONSO,5,,BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,SEP-OCT 2020,59,,,41,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,11,9,9
