Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2006,2007,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Microstructural characterization of chitosan and alginate films by microscopy techniques and texture image analysis,GARIBAY FEBLES VICENTE,7,,CARBOHYDRATE POLYMERS,JAN 4 2012,87,,,101,7.77,0,0,0,0,1,11,10,9,7,4,10,7,10,10,12,5,5
Mathematical modelling of castor oil seeds (<i>Ricinus communis</i>) drying kinetics in fluidized bed at high temperatures,GARIBAY FEBLES VICENTE,7,,INDUSTRIAL CROPS AND PRODUCTS,JUL 2012,38,,,92,7.08,0,0,0,0,1,0,9,10,10,9,7,10,6,8,9,5,8
Synthesis of Selected Vinylimidazolium Ionic Liquids and Their Effectiveness as Corrosion Inhibitors for Carbon Steel in Aqueous Sulfuric Acid,GARIBAY FEBLES VICENTE,6,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 15 2011,50,,,90,6.43,0,0,0,1,5,1,5,13,8,6,11,4,10,11,8,4,3
"Kinetics of hydrogen evolution reaction on stabilized Ni, Pt and Ni-Pt nanoparticles obtained by an organometallic approach",GARIBAY FEBLES VICENTE,5,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,MAR 2012,37,,,75,5.77,0,0,0,0,2,11,4,9,9,5,8,6,4,3,9,4,1
"Use of unsupported, mechanically alloyed NiWMoC nanocatalyst to reduce the viscosity of aquathermolysis reaction of heavy oil",GARIBAY FEBLES VICENTE,6,,CATALYSIS COMMUNICATIONS,JAN 5 2014,43,,,46,4.18,0,0,0,0,0,1,1,5,2,7,3,6,5,3,6,1,5
Microstructural properties and distribution of components in microparticles obtained by spray-drying,GARIBAY FEBLES VICENTE,8,,JOURNAL OF FOOD ENGINEERING,MAY 2015,152,,,45,4.5,0,0,0,0,0,0,0,4,4,3,8,4,2,7,5,4,4
Microscopy techniques and image analysis for evaluation of some chemical and physical properties and morphological features for seeds of the castor oil plant (<i>Ricinus communis</i>),GARIBAY FEBLES VICENTE,7,,INDUSTRIAL CROPS AND PRODUCTS,JUL 2011,34,,,38,2.71,0,0,0,0,2,2,3,0,2,3,6,4,2,5,5,2,2
Methanol electro-oxidation reaction at the interface of (bi)-metallic (PtNi) synthesized nanoparticles supported on carbon Vulcan,GARIBAY FEBLES VICENTE,6,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,MAR 22 2018,43,,,36,5.14,0,0,0,0,0,0,0,0,0,0,1,6,11,6,4,5,3
"OPTICAL, MICROSTRUCTURAL, FUNCTIONAL AND NANOMECHANICAL PROPERTIES OF <i>Aloe vera</i> GEL/GELLAN GUM EDIBLE FILMS",GARIBAY FEBLES VICENTE,8,,REVISTA MEXICANA DE INGENIERIA QUIMICA,AUG 2012,11,,,34,2.62,0,0,0,0,0,1,2,2,0,7,6,2,3,5,1,4,1
Structural and morphological study of a 2024 Al-Al<sub>2</sub>O<sub>3</sub> composite produced by mechanical alloying in high energy mill,GARIBAY FEBLES VICENTE,6,,MATERIALS & DESIGN,MAY 2012,37,,,32,2.46,0,0,0,0,0,5,1,3,1,1,4,2,3,3,7,1,1
Shrinkage and Deformation of Agave atrovirens Karw Tissue during Convective Drying: Influence of Structural Arrangements,GARIBAY FEBLES VICENTE,6,,DRYING TECHNOLOGY,2011,29,,,32,2.29,0,0,0,0,2,1,4,2,3,3,6,2,2,0,4,1,2
Ozone Sensing Based on Palladium Decorated Carbon Nanotubes,GARIBAY FEBLES VICENTE,6,,SENSORS,APR 2014,14,,,31,2.82,0,0,0,0,0,0,1,4,4,0,2,3,4,5,5,3,0
