Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
LPS-induced Murine Neuroinflammation Model: Main Features and Suitability for Pre-clinical Assessment of Nutraceuticals,GEVORGYAN GOHAR,2,,CURRENT NEUROPHARMACOLOGY,2016,14,,,256,28.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,28,39,46,43,38,28
Synthetic peptide vaccine against <i>Taenia solium</i> pig cysticercosis:: successful vaccination in a controlled field trial in rural Mexico,GEVORGYAN GOHAR,16,,VACCINE,OCT 12 2001,20,,,114,4.75,0,0,0,0,0,3,9,7,8,11,9,4,3,11,3,6,7,4,3,1,7,3,2,2,5,2,3,1
Towards a <i>Taenia solium</i> cysticercosis vaccine:: an epitope shared by <i>Taenia crassiceps</i> and <i>Taenia solium</i> protects mice against experimental cysticercosis,GEVORGYAN GOHAR,13,,INFECTION AND IMMUNITY,MAY 1999,67,,,88,3.38,0,0,1,4,7,6,5,2,2,4,5,3,2,2,4,4,6,4,4,2,6,1,2,4,1,1,5,1
Electric stimulation of the vagus nerve reduced mouse neuroinflammation induced by lipopolysaccharide,GEVORGYAN GOHAR,12,,JOURNAL OF INFLAMMATION-LONDON,OCT 29 2016,13,,,80,8.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,11,14,17,13,7
Amyloid-β Peptide Binds to Cytochrome C Oxidase Subunit 1,GEVORGYAN GOHAR,8,,PLOS ONE,AUG 21 2012,7,,,78,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,7,5,10,6,7,8,7,7,3
Recombinant bacteriophage-based multiepitope vaccine against <i>Taenia solium</i> pig cysticercosis,GEVORGYAN GOHAR,10,,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,MAY 2004,99,,,77,3.67,0,0,0,0,0,0,0,0,3,4,5,6,2,3,8,4,7,5,7,1,6,3,2,4,3,1,3,0
Two epitopes shared by <i>Taenia crassiceps</i> and <i>Taenia solium</i> confer protection against murine <i>T-crassiceps</i> cysticercosis along with a prominent T1 response,GEVORGYAN GOHAR,11,,INFECTION AND IMMUNITY,MAR 2001,69,,,71,2.96,0,0,0,0,2,5,4,7,5,3,9,3,1,4,3,4,5,2,2,1,2,1,2,2,1,2,1,0
Inexpensive anti-cysticercosis vaccine:: S3Pvac expressed in heat inactivated M13 filamentous phage proves effective against naturally acquired <i>Taenia solium</i> porcine cysticercosis,GEVORGYAN GOHAR,17,,VACCINE,JUN 2 2008,26,,,60,3.53,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,5,4,4,3,3,5,1,4,3,7,2,3,0
Pyroglutamate-Modified Amyloid Beta Peptides: Emerging Targets for Alzheimer's Disease Immunotherapy,GEVORGYAN GOHAR,2,,CURRENT NEUROPHARMACOLOGY,SEP 2013,11,,,50,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,5,6,5,3,9,5,2,4
Alpha-mangostin attenuates brain inflammation induced by peripheral lipopolysaccharide administration in C57BL/6J mice,GEVORGYAN GOHAR,6,,JOURNAL OF NEUROIMMUNOLOGY,AUG 15 2016,297,,,44,4.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,7,10,7,4,2
