Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Ionic Liquids as Demulsifiers of Water-in-Crude Oil Emulsions: Study of the Microwave Effect,GUZMAN LUCERO DIEGO JAVIER,4,,ENERGY & FUELS,JUN 2010,24,,,112,7.47,0,0,0,0,0,2,4,7,7,11,11,6,11,6,11,10,11,12,3
Synthesis of Selected Vinylimidazolium Ionic Liquids and Their Effectiveness as Corrosion Inhibitors for Carbon Steel in Aqueous Sulfuric Acid,GUZMAN LUCERO DIEGO JAVIER,6,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 15 2011,50,,,90,6.43,0,0,0,0,0,1,5,1,5,13,8,6,11,4,10,11,8,4,3
Sodium phthalamates as corrosion inhibitors for carbon steel in aqueous hydrochloric acid solution,GUZMAN LUCERO DIEGO JAVIER,7,,CORROSION SCIENCE,DEC 2011,53,,,83,5.93,0,0,0,0,0,0,2,8,9,6,5,8,8,6,4,12,7,4,4
The Inhibition of Aluminum Corrosion in Sulfuric Acid by Poly(1-vinyl-3-alkyl-imidazolium Hexafluorophosphate),GUZMAN LUCERO DIEGO JAVIER,7,,MATERIALS,AUG 2014,7,,,60,5.45,0,0,0,0,0,0,0,0,0,4,1,6,6,5,9,9,5,9,6
Corrosion Inhibition of Carbon Steel in Acidic Environment by Imidazolium Ionic Liquids Containing Vinyl-Hexafluorophosphate as Anion,GUZMAN LUCERO DIEGO JAVIER,7,,INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE,OCT 2011,6,,,43,3.07,0,0,0,0,0,0,4,5,3,6,3,4,1,2,3,6,2,1,3
"Microwave-assisted synthesis of 4,4′-diaminotriphenylmethanes",GUZMAN LUCERO DIEGO JAVIER,4,,TETRAHEDRON LETTERS,FEB 14 2005,46,,,39,1.95,4,0,2,4,2,3,4,2,1,4,3,2,1,1,1,2,2,0,1
Ionic liquids screening for desulfurization of natural gasoline by liquid-liquid extraction,GUZMAN LUCERO DIEGO JAVIER,7,,MOLECULAR DIVERSITY,NOV 2010,14,,,30,2.0,0,0,0,0,0,2,3,3,5,3,3,4,1,1,0,2,0,2,1
"Gas Permeation Properties of Soluble Aromatic Polyimides Based on 4-Fluoro-4,4'-Diaminotriphenylmethane",GUZMAN LUCERO DIEGO JAVIER,7,,MATERIALS,APR 2015,8,,,27,2.7,0,0,0,0,0,0,0,0,0,0,2,1,7,10,4,1,0,1,1
CO<sub>2</sub>/N<sub>2</sub> separation using alumina supported membranes based on new functionalized ionic liquids,GUZMAN LUCERO DIEGO JAVIER,7,,SEPARATION AND PURIFICATION TECHNOLOGY,JUL 12 2017,182,,,24,3.0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,3,6,2,1
Evaluation of copolymers from 1-vinyl-3-alkylimidazolium bromide and <i>N</i>-vinylcaprolactam as inhibitors of clathrate hydrate formation,GUZMAN LUCERO DIEGO JAVIER,4,,JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING,APR 2017,40,,,24,3.0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,6,2,3,5,1
