Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
<i>In-situ</i> transesterification of <i>Jatropha curcas</i> L. seeds using homogeneous and heterogeneous basic catalysts,HERNANDEZ ALTAMIRANO RAUL,5,,FUEL,JAN 1 2019,235,,,52,8.67,0,0,0,0,0,0,0,4,14,18,6,6,4
Cr(III) removal from synthetic and real tanning effluents using an electroprecipitation method,HERNANDEZ ALTAMIRANO RAUL,8,,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,FEB 2018,6,,,31,4.43,0,0,0,0,0,0,1,2,6,9,6,5,2
Adsorption of Zwitterionic Surfactant on Limestone Measured with High-Performance Liquid Chromatography: Micelle Vesicle Influence,HERNANDEZ ALTAMIRANO RAUL,8,,LANGMUIR,OCT 21 2014,30,,,31,2.82,0,0,0,1,2,0,4,2,4,6,6,4,2
"Biodiesel production, through intensification and profitable distribution of fatty acid methyl esters by a microalgae-yeast co-culture, isolated from wastewater as a function of the nutrients' composition of the culture media",HERNANDEZ ALTAMIRANO RAUL,5,,FUEL,NOV 15 2020,280,,,26,5.2,0,0,0,0,0,0,0,0,0,5,11,4,6
NaFeTiO<sub>4</sub>/Fe<sub>2</sub>O<sub>3</sub>-FeTiO<sub>3</sub> as heterogeneous catalyst towards a cleaner and sustainable biodiesel production from <i>Jatropha curcas</i> L. oil,HERNANDEZ ALTAMIRANO RAUL,5,,JOURNAL OF CLEANER PRODUCTION,JUL 1 2021,304,,,24,6.0,0,0,0,0,0,0,0,0,0,2,9,10,3
Development of a Zwitterionic Compound Derived from β-Amino Acid as a Green Inhibitor for CO<sub>2</sub> Corrosive Environments,HERNANDEZ ALTAMIRANO RAUL,8,,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,NOV 2017,5,,,24,3.0,0,0,0,0,0,0,2,2,3,5,5,2,5
Theoretical and experimental insights into the control of calcium sulfate scales by using random copolymers based on itaconic acid,HERNANDEZ ALTAMIRANO RAUL,7,,FUEL,JUN 1 2015,149,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE 2014),"JUN 07-13, 2014",23,2.3,0,0,0,0,0,6,3,2,3,2,4,2,1
A novel green one-pot synthesis of biodiesel from <i>Ricinus communis</i> seeds by basic heterogeneous catalysis,HERNANDEZ ALTAMIRANO RAUL,6,,JOURNAL OF CLEANER PRODUCTION,SEP 20 2018,196,,,22,3.14,0,0,0,0,0,0,1,5,1,5,5,1,4
Development of oxazolidines derived from poly<i>iso</i>butylene succinimides as multifunctional stabilizers of asphaltenes in oil industry,HERNANDEZ ALTAMIRANO RAUL,5,,FUEL,AUG 2013,110,International-Mexican Congress on Chemical Reaction Engineering (IMCCRE),"JUN, 2012",22,1.83,0,0,2,2,2,1,1,3,3,2,5,1,0
Statistical optimization of biodiesel production from waste cooking oil using CaO as catalyst in a Robinson-Mahoney type reactor,HERNANDEZ ALTAMIRANO RAUL,5,,FUEL,DEC 15 2020,282,,,21,4.2,0,0,0,0,0,0,0,0,0,3,11,4,3
Sustainable biorefinery associated with wastewater treatment of Cr (III) using a native microalgae consortium,HERNANDEZ ALTAMIRANO RAUL,9,,FUEL,APR 15 2021,290,,,20,5.0,0,0,0,0,0,0,0,0,0,3,6,6,5
Inhibition of CO<sub>2</sub> Corrosion via Sustainable Geminal Zwitterionic Compounds: Effect of the Length of the Hydrocarbon Chain from Amines,HERNANDEZ ALTAMIRANO RAUL,5,,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,DEC 2018,6,,,19,2.71,0,0,0,0,0,0,0,0,2,4,5,2,6
Development of a green one-step neutralization process for valorization of crude glycerol obtained from biodiesel,HERNANDEZ ALTAMIRANO RAUL,3,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,AUG 2020,27,,,17,2.83,0,0,0,0,0,0,0,0,2,2,0,7,6
Synthesis of branched geminal zwitterionic liquids as wettability modifiers in enhanced oil recovery processes,HERNANDEZ ALTAMIRANO RAUL,10,,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,JAN 25 2017,45,,,17,2.13,0,0,0,0,0,1,3,2,3,2,1,3,2
Multifunctional Properties of Zwitterionic Liquids. Application in Enhanced Oil Recovery and Asphaltene Aggregation Phenomena,HERNANDEZ ALTAMIRANO RAUL,6,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,MAR 25 2015,54,,,15,1.5,0,0,0,1,3,2,3,1,2,1,0,0,2
Quantum chemical characterization of zwitterionic structures: Supramolecular complexes for modifying the wettability of oil-water-limestone system,HERNANDEZ ALTAMIRANO RAUL,8,,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,JUN 2014,51,,,14,1.27,0,0,0,0,0,2,2,2,4,1,1,1,1
Tin and Silicon Phthalocyanines Molecularly Engineered as Traceable Stabilizers of Asphaltenes,HERNANDEZ ALTAMIRANO RAUL,5,,ENERGY & FUELS,JAN 2011,25,,,14,1.0,0,4,0,1,1,1,2,2,1,1,0,1,0
Efficient production of fatty acid methyl esters by a wastewater-isolated microalgae-yeast co-culture,HERNANDEZ ALTAMIRANO RAUL,8,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,AUG 2020,27,,,13,2.17,0,0,0,0,0,0,0,0,1,3,5,2,2
"Density Functional Theoretical Study of the Interaction of Geminal Zwitterionic Liquids with Limestone, Regarding the Behavior of the Wettability Parameter",HERNANDEZ ALTAMIRANO RAUL,8,,JOURNAL OF CHEMICAL AND ENGINEERING DATA,DEC 2012,57,,,12,0.92,0,1,2,2,2,0,1,3,0,0,0,0,1
Simultaneous Optimization of Biomass and Metabolite Production by a Microalgae-Yeast Co-culture Under Inorganic Micronutrients,HERNANDEZ ALTAMIRANO RAUL,4,,BIOENERGY RESEARCH,SEP 2020,13,,,11,2.2,0,0,0,0,0,0,0,0,1,3,2,2,3
Assessment and classification of lignocellulosic biomass recalcitrance by principal components analysis based on thermogravimetry and infrared spectroscopy,HERNANDEZ ALTAMIRANO RAUL,5,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,APR 2022,19,,,10,2.5,0,0,0,0,0,0,0,0,0,1,4,2,3
"New bis-di-organotin compounds derived from aminoacid-imine-hexadentate ligands. Multifunctional evaluation as corrosion inhibitors, antibacterials and asphaltene dispersants/inhibitors",HERNANDEZ ALTAMIRANO RAUL,10,,POLYHEDRON,MAR 22 2013,52,,,9,0.75,0,0,2,1,0,1,2,0,1,0,2,0,0
Removal of concentrated Cr(III) from real tannery wastewater using abiotic and anaerobic processes with native microbial consortia,HERNANDEZ ALTAMIRANO RAUL,9,,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,FEB 2021,9,,,8,2.0,0,0,0,0,0,0,0,0,0,2,3,3,0
"Molecular design and QSAR study of low acute toxicity biocides with 4,4′-dimorpholyl-methane core obtained by microwave-assisted synthesis",HERNANDEZ ALTAMIRANO RAUL,8,,GREEN CHEMISTRY,2010,12,,,8,0.53,1,1,2,0,0,1,0,0,2,0,1,0,0
Renewable fuels production from the hydrotreating over NiMo/γ-Al<sub>2</sub>O<sub>3</sub> catalyst of castor oil methyl esters obtained by reactive extraction,HERNANDEZ ALTAMIRANO RAUL,7,,FUEL,FEB 1 2021,285,,,7,1.75,0,0,0,0,0,0,0,0,0,2,5,0,0
"Molecular modeling, synthesis and characterization of branched geminal zwitterionic liquids for enhanced oil recovery",HERNANDEZ ALTAMIRANO RAUL,11,,ARABIAN JOURNAL OF CHEMISTRY,DEC 2019,12,,,7,1.17,0,0,0,0,0,1,1,1,0,1,1,2,0
Molecular design of high performance zwitterionic liquids for enhanced heavy-oil recovery processes,HERNANDEZ ALTAMIRANO RAUL,7,,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,MAR 2018,80,,,7,1.0,0,0,0,0,0,0,1,1,0,0,1,2,2
Dynamic modeling of adiabatic reactor for hydrocracking of VGO by using of the continuous lumping approach,HERNANDEZ ALTAMIRANO RAUL,5,,FUEL PROCESSING TECHNOLOGY,NOV 2016,152,,,7,0.78,0,0,0,0,0,0,1,3,1,1,1,0,0
