Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Atom, atom-type and total molecular linear indices as a promising approach for bioorganic and medicinal chemistry:: theoretical and experimental assessment of a novel method for virtual screening and rational design of new lead anthelmintic",IBARRA VELARDE OSVALDO FROYLAN,11,,BIOORGANIC & MEDICINAL CHEMISTRY,FEB 15 2005,13,,,93,4.65,0,1,6,5,9,12,9,9,7,8,6,6,6,4,3,2,0,0,0,0,0,0
"<i>TOMOCOMD-CARDD</i>, a novel approach for computer-aided 'rational' drug design:: I.: Theoretical and experimental assessment of a promising method for computational screening and in silico design of new anthelmintic compounds",IBARRA VELARDE OSVALDO FROYLAN,12,,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,OCT 2004,18,,,60,2.86,0,0,7,5,6,4,5,5,4,1,8,4,4,0,3,1,1,1,0,1,0,0
Predicting antitrichomonal activity:: A computational screening using atom-based bilinear indices and experimental proofs,IBARRA VELARDE OSVALDO FROYLAN,14,,BIOORGANIC & MEDICINAL CHEMISTRY,OCT 1 2006,14,,,56,2.95,0,0,0,0,2,4,7,8,7,5,1,3,5,2,5,2,1,1,2,0,1,0
Quadratic indices of the 'molecular pseudograph's atom adjacency matrix' and their stochastic forms:: a novel approach for virtual screening and in silico discovery of new lead paramphistomicide drugs-like compounds,IBARRA VELARDE OSVALDO FROYLAN,3,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,MAR 17 2005,717,,,42,2.1,0,0,5,4,5,5,2,4,4,0,0,3,5,0,2,0,1,1,0,0,1,0
Synthesis and fasciolicidal activity of 5-chloro-2-methylthio-6-(1-naphthyloxy)-1<i>H</i>-benzimidazole,IBARRA VELARDE OSVALDO FROYLAN,5,,CHEMICAL & PHARMACEUTICAL BULLETIN,MAY 2002,50,,,42,1.83,1,3,2,2,1,3,10,3,2,1,2,3,1,1,2,1,0,1,1,0,2,0
Prevalence of <i>Fasciola hepatica</i> (ELISA and fecal analysis) in ruminants from a semi-desert area in the northwest of Mexico,IBARRA VELARDE OSVALDO FROYLAN,5,,PARASITOLOGY RESEARCH,JUN 2007,101,,,29,1.61,0,0,0,0,0,0,0,0,2,2,3,1,0,2,1,1,3,0,6,4,3,1
Novel triclabendazole prodrug: A highly water soluble alternative for the treatment of fasciolosis,IBARRA VELARDE OSVALDO FROYLAN,6,,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,FEB 1 2017,27,,,27,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,4,6,1,2,2
Field trial on the efficacy of an experimental fasciolicide compared with some commercial compounds in naturally infected cattle,IBARRA VELARDE OSVALDO FROYLAN,5,,PARASITOLOGY RESEARCH,SEP 2003,91,,,21,0.95,0,2,0,2,3,3,4,2,0,1,0,1,0,0,0,1,0,1,0,0,1,0
In vitro antihelmintic effect of fifteen tropical plant extracts on excysted flukes of Fasciola hepatica,IBARRA VELARDE OSVALDO FROYLAN,6,,BMC VETERINARY RESEARCH,FEB 27 2015,11,,,19,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,2,0,4,3
Efficacy of an experimental fasciolicide against immature and mature <i>Fasciola hepatica</i> in artificially infected calves,IBARRA VELARDE OSVALDO FROYLAN,7,,PARASITOLOGY RESEARCH,FEB 2004,92,,,19,0.9,0,3,1,2,3,3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
