Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cocrystals definitions,LARA OCHOA JOSE MANUEL FRANCISCO,2,,SUPRAMOLECULAR CHEMISTRY,DEC 2007,19.0,,,118,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,3,6,5,3,11,20,14,8,10,8,14,6,2
CANONICAL STRUCTURE REPERTOIRE OF THE ANTIGEN-BINDING SITE OF IMMUNOGLOBULINS SUGGESTS STRONG GEOMETRICAL RESTRICTIONS ASSOCIATED TO THE MECHANISM OF IMMUNE RECOGNITION,LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR BIOLOGY,DEC 1 1995,254.0,,,116,3.87,0,0,0,0,0,0,4,8,9,6,8,9,7,8,6,4,8,4,2,2,4,4,5,2,0,2,3,2,2,3,3,0,0,1,0
A new synthesis of combretastatins A-4 and AVE-8062A,LARA OCHOA JOSE MANUEL FRANCISCO,2,,TETRAHEDRON LETTERS,SEP 24 2007,48.0,,,59,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,10,5,5,1,6,3,4,3,1,3,1,2,2,1
Thalidomide ameliorates carbon tetrachloride induced cirrhosis in the rat,LARA OCHOA JOSE MANUEL FRANCISCO,8,,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,SEP 2003,15.0,,,30,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,3,3,0,2,0,1,2,2,1,0,0,0,0,0,0,0
Antibody-antigen recognition: A canonical structure paradigm,LARA OCHOA JOSE MANUEL FRANCISCO,4,,JOURNAL OF MOLECULAR EVOLUTION,DEC 1996,43.0,,,29,1.0,0,0,0,0,0,0,0,1,3,3,1,4,1,2,2,0,2,2,0,0,1,0,0,0,1,1,0,1,2,1,0,0,0,1,0
More about boron-nitrogen B12+3nN12+3n fullerene-like cages. An ab initio and AM1 investigation of some 4/6 isomers,LARA OCHOA JOSE MANUEL FRANCISCO,4,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,SEP 15 1996,367.0,,,29,1.0,0,0,0,0,0,0,0,0,0,2,1,3,3,3,2,2,3,0,2,1,2,0,1,1,0,0,0,0,0,0,1,2,0,0,0
Crystals and patents,LARA OCHOA JOSE MANUEL FRANCISCO,2,,CRYSTAL GROWTH & DESIGN,JUL 2007,7.0,,,28,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,2,4,1,2,1,0,1,0,3,1,0,0,0,0
STRUCTURAL REPERTOIRE IN VH PSEUDOGENES OF IMMUNOGLOBULINS - COMPARISON WITH HUMAN GERMLINE GENES AND HUMAN AMINO-ACID-SEQUENCES,LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR BIOLOGY,FEB 10 1995,246.0,,,26,0.87,0,0,0,0,0,1,2,2,0,0,1,0,1,2,2,0,2,1,1,1,1,2,2,0,1,1,0,0,0,1,0,0,0,2,0
Evolution of the structural repertoire of the human V<sub>H</sub> and V<sub>κ</sub> germline genes,LARA OCHOA JOSE MANUEL FRANCISCO,4,,INTERNATIONAL IMMUNOLOGY,DEC 1997,9.0,,,23,0.82,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,3,1,2,1,1,1,2,1,2,0,1,0,1,0,0,0,0,0,0,0
"A(12)B(12)(A=B,Al; B=N,P) 4/6 fullerene-like cages and their hydrogenated forms stabilized by exohedral bonds. An AM1 molecular orbital study",LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,OCT 10 1996,370.0,,,23,0.79,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,4,0,0,1,1,0,0,2,0,1,0,0,0,0,1,3,0,1,0,1
(Tetrakis(2-pyridylmethyl)ethylenediamine)iron(II) perchlorate. Study of density functional methods,LARA OCHOA JOSE MANUEL FRANCISCO,5,,INORGANIC CHEMISTRY,AUG 7 2000,39.0,,,21,0.84,0,0,0,0,0,0,0,0,0,0,0,3,1,1,4,0,2,2,0,2,1,0,0,0,1,2,0,0,0,1,0,1,0,0,0
Calorimetric determinations and theoretical calculations of polymorphs of thalidomide,LARA OCHOA JOSE MANUEL FRANCISCO,3,,JOURNAL OF MOLECULAR STRUCTURE,SEP 17 2007,840.0,,,19,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,1,0,1,1,2,2,2,1,0,0,1,0
A new synthesis of resveratrol,LARA OCHOA JOSE MANUEL FRANCISCO,3,,TETRAHEDRON LETTERS,OCT 28 2015,56.0,,,15,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,3,2,1,1,1
