Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Single domain antibodies: promising experimental and therapeutic tools in infection and immunity,LICEA NAVARRO ALEXEI FEDOROVISH,19,,MEDICAL MICROBIOLOGY AND IMMUNOLOGY,AUG 2009,198,,,383,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,25,22,31,35,20,22,33,31,24,36,21,30,19,16
Nonylphenol algal bioaccumulation and its effect through the trophic chain,LICEA NAVARRO ALEXEI FEDOROVISH,6,,CHEMOSPHERE,JUN 2007,68,,,82,4.56,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,12,3,2,5,8,7,4,3,5,8,4,6,6,0
"Thermal preference, tolerance and oxygen consumption of adult white shrimp <i>Litopenaeus vannamei</i> (Boone) exposed to different acclimation temperatures",LICEA NAVARRO ALEXEI FEDOROVISH,6,,JOURNAL OF THERMAL BIOLOGY,JUL 2010,35,,,75,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,4,10,5,6,1,9,8,8,8,1
Analysis of sequencing strategies and tools for taxonomic annotation: Defining standards for progressive metagenomics,LICEA NAVARRO ALEXEI FEDOROVISH,10,,SCIENTIFIC REPORTS,AUG 13 2018,8,,,70,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,18,18,11,3
Field evaluation of the protective efficacy of <i>Mycobacterium bovis</i> BCG vaccine against bovine tuberculosis,LICEA NAVARRO ALEXEI FEDOROVISH,6,,RESEARCH IN VETERINARY SCIENCE,FEB 2010,88,,,62,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,4,5,8,2,6,8,2,2,4,5,3,1
Scaffolds based on alginate-PEG methyl ether methacrylate-<i>Moringa oleifera- Aloe vera</i> for wound healing applications,LICEA NAVARRO ALEXEI FEDOROVISH,7,,CARBOHYDRATE POLYMERS,FEB 15 2019,206,,,54,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,4,18,7
"Evolution of <i>Conus</i> peptide toxins: Analysis of <i>Conus californicus</i> Reeve, 1844",LICEA NAVARRO ALEXEI FEDOROVISH,11,,MOLECULAR PHYLOGENETICS AND EVOLUTION,JUL 2010,56,,,54,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,6,7,6,4,1,5,1,5,3,1,1
"Anuroctoxin, a new scorpion toxin of the α-KTx 6 subfamily, is highly selective for Kv1.3 over IKCa1 ion channels of human T lymphocytes",LICEA NAVARRO ALEXEI FEDOROVISH,10,,MOLECULAR PHARMACOLOGY,APR 2005,67,,,53,2.65,0,0,0,0,0,0,0,0,0,4,5,4,3,2,0,1,4,1,2,4,3,4,1,2,3,6,3,1,0
"Physiological, metabolic and haematological responses in white shrimp <i>Litopenaeus vannamei</i> (Boone) juveniles fed diets supplemented with astaxanthin acclimated to low-salinity water",LICEA NAVARRO ALEXEI FEDOROVISH,5,,AQUACULTURE RESEARCH,MAY 14 2007,38,,,50,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,2,0,3,4,8,3,5,8,4,0
Modulation of cell membrane potential in cultured vascular endothelium.,LICEA NAVARRO ALEXEI FEDOROVISH,3,,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,MAR 1996,270,,,48,1.66,1,4,3,8,6,2,4,3,5,2,1,0,0,0,2,0,0,2,0,1,1,2,1,0,0,0,0,0,0
