Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chemical functionalization of carbon nanotubes through an organosilane,LOZADA Y CASSOU MARCELO,5,,NANOTECHNOLOGY,AUG 2002,13,,,198,8.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,14,12,10,13,13,16,15,13,13,12,5,8,7,6,7,5,7,5,2,2
Overcharging in colloids:: Beyond the Poisson-Boltzmann approach,LOZADA Y CASSOU MARCELO,5,,CHEMPHYSCHEM,MAR 17 2003,4,,,194,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,9,5,11,13,11,9,9,6,8,13,14,10,12,9,8,4,6,4,5
THE APPLICATION OF THE HYPERNETTED CHAIN APPROXIMATION TO THE ELECTRICAL DOUBLE-LAYER - COMPARISON WITH MONTE-CARLO RESULTS FOR SYMMETRIC SALTS,LOZADA Y CASSOU MARCELO,3,,JOURNAL OF CHEMICAL PHYSICS,1982,77,,,190,4.42,0,6,7,5,6,2,7,5,9,3,1,4,2,4,7,1,2,0,0,3,8,6,9,11,10,5,6,8,7,11,3,3,4,1,4,2,6,3,4,1,2,1,1
A SIMPLE THEORY FOR THE FORCE BETWEEN SPHERES IMMERSED IN A FLUID,LOZADA Y CASSOU MARCELO,2,,JOURNAL OF COLLOID AND INTERFACE SCIENCE,NOV 1986,114,,,161,4.13,0,0,0,0,0,4,5,6,8,4,10,7,9,3,8,10,10,10,12,8,8,7,3,3,2,3,3,0,0,4,3,0,2,1,1,1,0,2,0,0,3,1,0
HYPERNETTED CHAIN APPROXIMATION FOR THE DISTRIBUTION OF IONS AROUND A CYLINDRICAL ELECTRODE .2. NUMERICAL-SOLUTION FOR A MODEL CYLINDRICAL POLY-ELECTROLYTE,LOZADA Y CASSOU MARCELO,3,,JOURNAL OF CHEMICAL PHYSICS,1985,83,,,150,3.75,0,0,0,0,4,2,6,4,4,3,2,4,2,4,2,1,0,4,1,3,8,8,10,7,6,5,13,5,3,3,1,4,6,4,1,5,4,2,1,1,4,1,2
Overcharging of DNA in the presence of salt:: Theory and simulation,LOZADA Y CASSOU MARCELO,4,,JOURNAL OF PHYSICAL CHEMISTRY B,NOV 8 2001,105,,,119,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,11,5,6,9,12,5,5,2,3,7,2,2,6,3,3,4,5,4,1,1
"A model macroion solution next to a charged wall:: Overcharging, charge reversal, and charge inversion by macroions",LOZADA Y CASSOU MARCELO,2,,JOURNAL OF PHYSICAL CHEMISTRY B,JUN 3 2004,108,,,95,4.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,5,4,5,10,3,5,6,6,6,7,8,3,5,1,4,5,2
Overcharging:: The crucial role of excluded volume,LOZADA Y CASSOU MARCELO,4,,EUROPHYSICS LETTERS,NOV 2002,60,,,92,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,8,4,6,7,9,4,4,6,1,2,6,3,1,2,6,2,0,0,0
THE SPHERICAL DOUBLE-LAYER - A HYPERNETTED CHAIN MEAN SPHERICAL APPROXIMATION CALCULATION FOR A MODEL SPHERICAL COLLOID PARTICLE,LOZADA Y CASSOU MARCELO,2,,JOURNAL OF PHYSICAL CHEMISTRY,MAY 4 1989,93,,,88,2.44,0,0,0,0,0,0,0,0,3,4,2,5,2,1,2,1,0,1,1,2,3,5,5,4,3,2,4,4,3,9,0,1,1,3,4,2,3,2,2,0,2,1,1
Hidden symmetries and thermodynamic properties for a harmonic oscillator plus an inverse square potential,LOZADA Y CASSOU MARCELO,5,,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,FEB 2007,107,2nd International Theoretical Biophysics Symposium,"JUN 28-JUL 01, 2005",86,4.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,1,7,4,6,8,14,14,6,9,6
MONTE-CARLO SIMULATION FOR A SYMMETRICAL ELECTROLYTE NEXT TO A CHARGED SPHERICAL COLLOID PARTICLE,LOZADA Y CASSOU MARCELO,4,,JOURNAL OF CHEMICAL PHYSICS,JUN 1 1993,98,,,84,2.63,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,1,2,1,2,2,5,5,4,6,3,4,5,2,5,4,4,1,0,2,5,1,0,3,3,1,1,1
3 POINT EXTENSION FOR HYPERNETTED CHAIN AND OTHER INTEGRAL-EQUATION THEORIES - NUMERICAL RESULTS,LOZADA Y CASSOU MARCELO,2,,JOURNAL OF CHEMICAL PHYSICS,JAN 15 1990,92,,,77,2.2,0,0,0,0,0,0,0,0,3,4,3,5,5,2,7,3,3,3,2,4,4,4,2,3,3,1,0,2,1,0,0,5,0,0,2,1,2,2,0,0,0,1,0
Exact solutions of the Schrodinger equation with the position-dependent mass for a hard-core potential,LOZADA Y CASSOU MARCELO,2,,PHYSICS LETTERS A,APR 11 2005,337,,,76,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,5,5,3,0,4,6,3,1,1,3,3,9,3,2,4,1
THE FORCE BETWEEN 2 PLANAR ELECTRICAL DOUBLE-LAYERS,LOZADA Y CASSOU MARCELO,1,,JOURNAL OF CHEMICAL PHYSICS,1984,80,,,76,1.85,0,0,0,2,1,0,2,2,4,5,4,5,3,2,8,4,5,4,2,1,1,1,2,1,2,1,0,1,0,0,0,2,0,1,2,1,0,1,1,1,1,2,1
APPLICATION OF THE HYPERNETTED CHAIN APPROXIMATION TO THE ELECTRICAL DOUBLE-LAYER - COMPARISON WITH MONTECARLO RESULTS FOR 2-1 AND 1-2 SALTS,LOZADA Y CASSOU MARCELO,2,,JOURNAL OF PHYSICAL CHEMISTRY,1983,87,,,70,1.67,0,1,6,3,4,2,3,3,5,3,3,2,2,2,1,2,1,1,1,1,2,2,2,2,3,2,1,1,0,1,1,0,0,0,0,1,2,1,1,0,1,0,1
The Klein-Gordon equation with a coulomb plus scalar potential in <i>D</i> dimensions,LOZADA Y CASSOU MARCELO,5,,INTERNATIONAL JOURNAL OF MODERN PHYSICS E,JUN 2004,13,,,69,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,7,8,13,5,3,2,1,1,10,5,4,1,1,1
The electrical double layer for a fully asymmetric electrolyte around a spherical colloid:: An integral equation study -: art. no. 034703,LOZADA Y CASSOU MARCELO,4,,JOURNAL OF CHEMICAL PHYSICS,JUL 15 2005,123,,,67,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,6,9,2,6,5,4,3,5,5,0,1,2,4,1,1
