Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Modeling integrin and plasma-polymerized pyrrole interactions: chemical diversity relevance for cell regeneration,MORALES CORONA JUAN,11,,SCIENTIFIC REPORTS,MAY 7 2019,9,,,15,2.5,0,0,0,0,0,2,5,2,3,3
Effect of a plasma synthesized polypyrrole coverage on polylactic acid/hydroxyapatite scaffolds for bone tissue engineering,MORALES CORONA JUAN,9,,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,NOV 2021,109,,,11,2.75,0,0,0,0,0,0,1,2,3,5
Scaffolds of polylactic acid/hydroxyapatite coated by plasma with polypyrrole-iodine for the generation of neo-tissue-bone <i>in vivo</i>: Study in rabbit,MORALES CORONA JUAN,7,,INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS,2018,67,,,11,1.57,0,0,0,0,4,2,2,3,0,0
Pyrrole Plasma Polymer-Coated Electrospun Scaffolds for Neural Tissue Engineering,MORALES CORONA JUAN,6,,POLYMERS,NOV 2021,13,,,10,2.5,0,0,0,0,0,0,0,4,2,4
Plasma Functionalized Scaffolds of Polyhydroxybutyrate Electrospun Fibers for Pancreatic Beta Cell Cultures,MORALES CORONA JUAN,9,,FRONTIERS IN MATERIALS,APR 8 2021,8,,,9,2.25,0,0,0,0,0,0,1,0,5,3
Electrospun PCL-protein scaffolds coated by pyrrole plasma polymerization,MORALES CORONA JUAN,7,,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,JUL 3 2019,30,,,9,1.5,0,0,0,0,0,3,5,0,0,1
Polymeric Scaffolds For Skin,MORALES CORONA JUAN,5,,MACROMOLECULAR SYMPOSIA,AUG 2017,374,3rd Macromex Conference together with the 27th National Meeting of the Mexican-Polymer-Society (MPS),"DEC 03-06, 2014",6,0.75,0,0,0,0,2,0,1,2,1,0
Evolution of Spinal Cord Transection of Rhesus Monkey Implanted with Polymer Synthesized by Plasma Evaluated by Diffusion Tensor Imaging,MORALES CORONA JUAN,15,,POLYMERS,MAR 2022,14,,,5,1.67,0,0,0,0,0,0,0,0,2,3
Evaluation of nanoparticles of hydroxyapatite and MWCNT's in scaffolds of poly lactic acid,MORALES CORONA JUAN,6,,MATERIALS RESEARCH EXPRESS,DEC 2016,3,,,5,0.56,0,0,0,1,1,0,1,1,0,1
Gene expression and locomotor recovery in adult rats with spinal cord injury and plasma-synthesized polypyrrole/iodine application combined with a mixed rehabilitation scheme,MORALES CORONA JUAN,15,,FRONTIERS IN NEUROLOGY,MAY 23 2023,14,,,4,2.0,0,0,0,0,0,0,0,0,1,3
Effect of synthesis variables of plasma synthesized polymers on growth of HepG2 cells,MORALES CORONA JUAN,5,,BIOCELL,2017,41,,,4,0.5,0,0,0,1,0,1,0,1,0,1
Quartz Crystal Microbalance Application and <i>In Silico</i> Studies to Characterize the Interaction of Bovine Serum Albumin with Plasma Polymerized Pyrrole Surfaces: Implications for the Development of Biomaterials,MORALES CORONA JUAN,7,,LANGMUIR,AUG 1 2023,39,,,3,1.5,0,0,0,0,0,0,0,0,0,3
Growth and Self-Assembly of Silicon-Silicon Carbide Nanoparticles into Hybrid Worm-Like Nanostructures at the Silicon Wafer Surface,MORALES CORONA JUAN,7,,NANOMATERIALS,NOV 2018,8,,,3,0.43,0,0,0,0,1,0,1,1,0,0
Water permeability of quarry stone superficially modified by plasma polymerization of hexamethyldisiloxane at atmospheric pressure,MORALES CORONA JUAN,5,,JOURNAL OF COATINGS TECHNOLOGY AND RESEARCH,JUL 2014,11,,,3,0.27,1,0,1,1,0,0,0,0,0,0
RHEOLOGICAL BEHAVIOR OF PLASMA POLYMERIZED IODINE-DOPED POLYPYRROLE PARTICLES SUSPENDED IN SOLUTIONS OF BOVINE SERUM ALBUMIN,MORALES CORONA JUAN,10,,REVISTA MEXICANA DE INGENIERIA QUIMICA,SEP-DEC 2019,18,,,2,0.33,0,0,0,0,0,1,0,0,1,0
Luminescent Polydibenzothiophene Thin Film Obtained by Glow Discharge Method,MORALES CORONA JUAN,9,,JOURNAL OF APPLIED POLYMER SCIENCE,JAN 15 2012,123,,,2,0.15,0,1,0,0,0,1,0,0,0,0
Micro- and Mesostructures in Plasma Polymers of Trichloroethylene,MORALES CORONA JUAN,6,,IEEE TRANSACTIONS ON PLASMA SCIENCE,SEP 2009,37,,,2,0.13,0,0,0,0,2,0,0,0,0,0
"Development and Characterization of Electrodes Coated with Plasma-Synthesized Polypyrrole Doped with Iodine, Implanted in the Rat Brain Subthalamic Nucleus",MORALES CORONA JUAN,10,,POLYMERS,MAR 2024,16,,,1,1.0,0,0,0,0,0,0,0,0,0,1
Application of plasma polymerized pyrrole nanoparticles to prevent or reduce de-differentiation of adult rat ventricular cardiomyocytes,MORALES CORONA JUAN,11,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,SEP 2021,32,,,1,0.25,0,0,0,0,0,0,0,0,0,1
Interactions of Cardiac Proteins with Plasma-Synthesized Polypyrrole (PSPy) to Improve Adult Cardiomyocytes Culture,MORALES CORONA JUAN,7,,POLYMERS,JUN 2024,16,,,0,0.0,0,0,0,0,0,0,0,0,0,0
Morphology and Viability of Nerve Cells Cultured on Plasma Polymerized Polypyrrole-Coated Scaffolds,MORALES CORONA JUAN,5,"Diaz, CAG; Gonzalez, CC; Leber, EL; Velez, HA; Puente, NP; Flores, DL; Andrade, AO; Galvan, HA; Martinez, F; Garcia, R; Trujillo, CJ; Mejia, AR",VIII LATIN AMERICAN CONFERENCE ON BIOMEDICAL ENGINEERING AND XLII NATIONAL CONFERENCE ON BIOMEDICAL ENGINEERING,2020,75,8th Latin American Conference on Biomedical Engineering (CLAIB) / 42nd National Conference on Biomedical Engineering (CNIB),"OCT 02-05, 2019",0,0.0,0,0,0,0,0,0,0,0,0,0
Scaffolds of chitosan grafted onto poly(3-hydroxybutyrate),MORALES CORONA JUAN,6,,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,MAR 13 2016,251,,,0,0.0,0,0,0,0,0,0,0,0,0,0
