Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Functional recovery in spinal cord injured rats using polypyrrole/iodine implants and treadmill training,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,12,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,JUL 2015,26.0,,,29,2.9,0,1,2,2,4,2,5,4,4,4
Improved post-stroke spontaneous recovery by astrocytic extracellular vesicles,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,15,,MOLECULAR THERAPY,JAN 5 2022,30.0,,,19,6.33,0,0,0,0,0,0,0,1,8,9
Modeling the effects of biomass accumulation on the performance of a biotrickling filter packed with PUF support for the alkaline biotreatment of dimethyl disulfide vapors in air,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,6,,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,JAN 2015,99.0,,,19,1.9,4,1,4,2,1,1,3,2,1,0
Effect of the combined treatment of albumin with plasma synthesised pyrrole polymers on motor recovery after traumatic spinal cord injury in rats,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,13,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,JAN 2018,29.0,,,13,1.86,0,0,0,0,2,1,2,2,3,3
Recovery of motor function after traumatic spinal cord injury by using plasma-synthesized polypyrrole/iodine application in combination with a mixed rehabilitation scheme,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,18,,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,JUN 30 2020,31.0,,,11,2.2,0,0,0,0,0,0,3,1,1,5
Delayed injection of polypyrrole doped with iodine particle suspension after spinal cord injury in rats improves functional recovery and decreased tissue damage evaluated by 3.0 Tesla in vivo magnetic resonance imaging,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,14,,SPINE JOURNAL,APR 2017,17.0,,,11,1.38,0,0,0,1,1,2,2,1,1,3
Pyrrole Plasma Polymer-Coated Electrospun Scaffolds for Neural Tissue Engineering,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,6,,POLYMERS,NOV 2021,13.0,,,10,2.5,0,0,0,0,0,0,0,4,2,4
(-)-Epicatechin reduces muscle waste after complete spinal cord transection in a murine model: role of ubiquitin-proteasome system,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,10,,MOLECULAR BIOLOGY REPORTS,NOV 2020,47.0,,,6,1.2,0,0,0,0,0,0,2,1,1,2
Assessment of the systemic distribution of a bioconjugated anti-Her2 magnetic nanoparticle in a breast cancer model by means of magnetic resonance imaging,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,10,,JOURNAL OF NANOPARTICLE RESEARCH,SEP 22 2016,18.0,,,6,0.67,0,0,0,0,1,2,1,1,0,1
Evolution of Spinal Cord Transection of Rhesus Monkey Implanted with Polymer Synthesized by Plasma Evaluated by Diffusion Tensor Imaging,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,15,,POLYMERS,MAR 2022,14.0,,,5,1.67,0,0,0,0,0,0,0,0,2,3
Gene expression and locomotor recovery in adult rats with spinal cord injury and plasma-synthesized polypyrrole/iodine application combined with a mixed rehabilitation scheme,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,15,,FRONTIERS IN NEUROLOGY,MAY 23 2023,14.0,,,4,2.0,0,0,0,0,0,0,0,0,1,3
"Spinal Cord Injury of Rhesus Monkey Implanted with PPy/I Plasma Polymer, MRI Study",MORALES GUADARRAMA JUAN CARLOS AXAYACATL,13,"Braidot, A; Hadad, A",VI LATIN AMERICAN CONGRESS ON BIOMEDICAL ENGINEERING (CLAIB 2014),2014,49.0,6th Latin American Biomedical Engineering Conference (CLAIB),"OCT 29-31, 2014",3,0.27,0,0,1,0,0,0,1,0,0,1
Computed tomography is a feasible method for quantifying bone density in <i>Macaca mulatta</i>,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,9,,VETERINARY RADIOLOGY & ULTRASOUND,SEP-OCT 2018,59.0,,,2,0.29,0,0,0,0,0,0,0,2,0,0
Improved Recovery of Complete Spinal Cord Transection by a Plasma-Modified Fibrillar Scaffold,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,5,,POLYMERS,APR 2024,16.0,,,1,1.0,0,0,0,0,0,0,0,0,0,1
Pyrrole Plasma Polymer-Coated Fibrillar Scaffold Implant: Pilot Study in Rat Spinal Cord Transection with MRI,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,5,,2021 43RD ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE & BIOLOGY SOCIETY (EMBC),2021,,43rd Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society (IEEE EMBC),"NOV 01-05, 2021",1,0.25,0,0,0,0,0,0,0,0,0,1
Longitudinal magnetic resonance evaluation of the schizophrenia model of neonatal lesion in the ventral hippocampus,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,9,,CIRUGIA Y CIRUJANOS,NOV-DEC 2021,89.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
"3D Printed Human Foot Splint, Designed from MRI of the <i>Luffa Cylindrica</i> Dried Fruit",MORALES GUADARRAMA JUAN CARLOS AXAYACATL,4,"Soares, F; Fred, A; Gamboa, H","PROCEEDINGS OF THE 13TH INTERNATIONAL JOINT CONFERENCE ON BIOMEDICAL ENGINEERING SYSTEMS AND TECHNOLOGIES, VOL 2: BIOIMAGING",2020,,13th International Joint Conference on Biomedical Engineering Systems and Technologies,"FEB 24-26, 2020",0,0.0,0,0,0,0,0,0,0,0,0,0
Effect Of (-)-Epicatechin On Muscle Atrophy After Spinal Cord Injury In Rat,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,11,,FASEB JOURNAL,APR 2017,31.0,Annual Meeting of the American-Society-for-Pharmacology-and-Experimental-Therapeutics (ASPET) at Experimental Biology Meeting,"APR 22-26, 2017",0,0.0,0,0,0,0,0,0,0,0,0,0
"Modeling the effects of biomass accumulation on the performance of a biotrickling filter packed with PUF support for the alkaline biotreatment of dimethyl disulfide vapors in air (vol 99, pg 97, 2015)",MORALES GUADARRAMA JUAN CARLOS AXAYACATL,6,,APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,MAR 2015,99.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
DTI tractography and MRI in chronic cerebral ischemia in rhesus monkey (Macaca mulatta) in vivo,MORALES GUADARRAMA JUAN CARLOS AXAYACATL,6,,ARQUIVOS DE NEURO-PSIQUIATRIA,FEB 2013,71.0,,,0,0.0,0,0,0,0,0,0,0,0,0,0
