Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Electrochemical and XPS studies of decylamides of α-amino acids adsorption on carbon steel in acidic environment,OLIVARES XOMETL CRESCENCIO OCTAVIO,7,,APPLIED SURFACE SCIENCE,FEB 15 2006,252.0,,,303,15.95,0,0,0,1,2,8,12,21,24,16,22,21,16,23,16,27,20,14,22,18,14,6
The effect of ionic liquids with imidazolium and pyridinium cations on the corrosion inhibition of mild steel in acidic environment,OLIVARES XOMETL CRESCENCIO OCTAVIO,6,,CORROSION SCIENCE,JUN 2010,52.0,,,234,15.6,0,0,0,0,0,0,0,0,6,5,9,18,18,15,26,19,25,23,26,26,11,7
"Corrosion inhibitor activity of 1,3-diketone malonates for mild steel in aqueous hydrochloric acid solution",OLIVARES XOMETL CRESCENCIO OCTAVIO,6,,CORROSION SCIENCE,AUG 2012,61.0,,,122,9.38,0,0,0,0,0,0,0,0,0,0,9,18,21,10,10,6,8,7,11,13,6,3
Adsorption and performance of ammonium-based ionic liquids as corrosion inhibitors of steel,OLIVARES XOMETL CRESCENCIO OCTAVIO,6,,JOURNAL OF MOLECULAR LIQUIDS,SEP 1 2018,265.0,,,111,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,25,20,14,17,16
Surface analysis of inhibitor films formed by imidazolines and amides on mild steel in an acidic environment,OLIVARES XOMETL CRESCENCIO OCTAVIO,6,,APPLIED SURFACE SCIENCE,JAN 15 2006,252.0,,,106,5.58,0,0,0,1,4,4,7,4,6,3,6,3,5,11,5,6,11,3,6,6,9,6
Synthesis and corrosion inhibition of α-amino acids alkylamides for mild steel in acidic environment,OLIVARES XOMETL CRESCENCIO OCTAVIO,6,,MATERIALS CHEMISTRY AND PHYSICS,AUG 15 2008,110.0,,,103,6.06,0,0,0,0,0,0,3,4,9,6,11,7,6,3,4,7,4,8,7,6,12,6
Synthesis of Selected Vinylimidazolium Ionic Liquids and Their Effectiveness as Corrosion Inhibitors for Carbon Steel in Aqueous Sulfuric Acid,OLIVARES XOMETL CRESCENCIO OCTAVIO,6,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 15 2011,50.0,,,88,6.29,0,0,0,0,0,0,0,0,1,5,1,5,13,8,6,11,4,10,11,8,3,2
Sodium phthalamates as corrosion inhibitors for carbon steel in aqueous hydrochloric acid solution,OLIVARES XOMETL CRESCENCIO OCTAVIO,7,,CORROSION SCIENCE,DEC 2011,53.0,,,83,5.93,0,0,0,0,0,0,0,0,0,2,8,9,6,5,8,8,6,4,12,7,4,4
Theoretical study of a new group of corrosion inhibitors,OLIVARES XOMETL CRESCENCIO OCTAVIO,6,,JOURNAL OF PHYSICAL CHEMISTRY A,OCT 6 2005,109.0,,,80,4.0,0,0,0,0,1,6,5,7,4,3,7,5,5,3,4,4,3,7,6,3,5,2
"Corrosion behaviour of API 5LX52 steel in HCl and H<sub>2</sub>SO<sub>4</sub> media in the presence of 1,3-dibencilimidazolio acetate and 1,3-dibencilimidazolio dodecanoate ionic liquids as inhibitors",OLIVARES XOMETL CRESCENCIO OCTAVIO,5,,MATERIALS CHEMISTRY AND PHYSICS,SEP 15 2014,147.0,,,75,6.82,0,0,0,0,0,0,0,0,0,0,0,0,7,13,6,9,7,7,9,8,5,4
The Inhibition of Aluminum Corrosion in Sulfuric Acid by Poly(1-vinyl-3-alkyl-imidazolium Hexafluorophosphate),OLIVARES XOMETL CRESCENCIO OCTAVIO,7,,MATERIALS,AUG 2014,7.0,,,60,5.45,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,6,5,9,9,5,9,6
Electrochemistry and XPS study of an imidazoline as corrosion inhibitor of mild steel in an acidic environment,OLIVARES XOMETL CRESCENCIO OCTAVIO,4,,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,JAN 2009,60.0,,,59,3.69,0,0,0,0,0,0,0,5,5,3,1,3,2,3,3,5,9,5,7,4,2,2
Adsorption and Corrosion Inhibition Performance by Three New Ionic Liquids on API 5L X52 Steel Surface in Acid Media,OLIVARES XOMETL CRESCENCIO OCTAVIO,7,,INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,JUN 11 2014,53.0,,,57,5.18,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,6,8,5,10,4,6,3
