Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TEM evidence of ultrastructural alteration on <i>Pseudomonas aeruginosa</i> by photocatalytic TiO<sub>2</sub> thin films,ORRANTIA BORUNDA ERASMO,7,,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,APR 2003,70.0,,,98,4.45,1,0,1,3,8,4,6,5,6,9,5,8,8,8,5,5,1,5,7,1,1,1
Photoinduced bactericidal activity against <i>Pseudomonas aeruginosa</i> by TiO<sub>2</sub> based thin films,ORRANTIA BORUNDA ERASMO,4,,FEMS MICROBIOLOGY LETTERS,JUN 4 2002,211.0,,,69,3.0,1,2,6,3,9,1,4,9,3,4,6,5,2,2,2,2,0,3,3,0,2,0
Cytotoxicity of functionalized carbon nanotubes in J774A macrophages,ORRANTIA BORUNDA ERASMO,6,,NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE,AUG 2012,8.0,,,41,3.15,0,0,0,0,0,0,0,0,0,2,5,3,6,4,5,1,1,4,4,2,3,1
Antimicrobial Resistance and Inorganic Nanoparticles,ORRANTIA BORUNDA ERASMO,6,,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,DEC 2021,22.0,,,39,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,16
Size effect of SnO<sub>2</sub> nanoparticles on bacteria toxicity and their membrane damage,ORRANTIA BORUNDA ERASMO,4,,CHEMOSPHERE,DEC 2016,165.0,,,37,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,6,3,2,1,4
Effect of CuO Nanoparticles over Isolated Bacterial Strains from Agricultural Soil,ORRANTIA BORUNDA ERASMO,8,,JOURNAL OF NANOMATERIALS,2014,2014.0,,,37,3.36,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,2,4,11,3,2,4
Arsenic removal and activity of a sulfate reducing bacteria-enriched anaerobic sludge using zero valent iron as electron donor,ORRANTIA BORUNDA ERASMO,6,,JOURNAL OF HAZARDOUS MATERIALS,FEB 15 2020,384.0,,,31,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,8,5
Bio-collector alternative for the recovery of organic matter in flotation processes,ORRANTIA BORUNDA ERASMO,7,,FUEL,JUL 15 2016,176.0,,,25,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,2,6,6,0
"Synthesis, biocompatibility and mechanical properties of ZrO<sub>2</sub>-Al<sub>2</sub>O<sub>3</sub> ceramics composites",ORRANTIA BORUNDA ERASMO,5,,DENTAL MATERIALS JOURNAL,JUN 2016,35.0,,,22,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,5,2,4,1
Cell wall damage and oxidative stress in <i>Candida albicans</i> ATCC10231 and <i>Aspergillus niger</i> caused by palladium nanoparticles,ORRANTIA BORUNDA ERASMO,9,,TOXICOLOGY IN VITRO,APR 2018,48.0,,,21,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,4,1
Oxidative damage to <i>Pseudomonas</i> <i>aeruginosa</i> ATCC 27833 and <i>Staphylococcus</i> <i>aureus</i> ATCC 24213 induced by CuO-NPs,ORRANTIA BORUNDA ERASMO,9,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,SEP 2017,24.0,,,20,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,7,4,0,4
"Calculation of global and local reactivity descriptors of carbodiimides, a DFT study",ORRANTIA BORUNDA ERASMO,3,,JOURNAL OF THEORETICAL & COMPUTATIONAL CHEMISTRY,MAY 2017,16.0,,,16,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,4,4
Bioflotation of sulfide minerals with <i>Acidithiobacillus ferrooxidans</i> in relation to copper activation and surface oxidation,ORRANTIA BORUNDA ERASMO,5,,CANADIAN JOURNAL OF MICROBIOLOGY,SEP 2012,58.0,,,13,1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,4,2,3
Construction of a Nanodiamond-Tamoxifen Complex as a Breast Cancer Drug Delivery Vehicle,ORRANTIA BORUNDA ERASMO,4,,JOURNAL OF NANOMATERIALS,2016,2016.0,,,12,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,2,1,2
Mechanical characterization of optical glass fiber coated with a thin film of silver nanoparticles by nanoindentation,ORRANTIA BORUNDA ERASMO,5,,MATERIALS LETTERS,DEC 1 2014,136.0,,,12,1.09,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,0,2,0,2,1
Copper oxide nanoparticles slightly affect diversity and metabolic profiles of the prokaryotic community in pecan tree (<i>Carya illinoinensis</i>) rhizospheric soil,ORRANTIA BORUNDA ERASMO,7,,APPLIED SOIL ECOLOGY,JAN 2021,157.0,,,11,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3
