Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Analysis and electrical modelling of a cylindrical DBD configuration at different operating frequencies,PACHECO SOTELO JOEL OSVALDO,5,,PLASMA SOURCES SCIENCE & TECHNOLOGY,MAY 2006,15,,,94,4.95,0,0,0,0,0,0,0,2,1,4,4,3,6,2,5,7,8,7,6,9,6,5,9,7,3
Modeling and experimental study on nitric oxide treatment using dielectric barrier discharge,PACHECO SOTELO JOEL OSVALDO,5,,IEEE TRANSACTIONS ON PLASMA SCIENCE,OCT 2007,35,,,48,2.67,0,0,0,0,0,0,0,0,1,2,2,2,5,4,2,3,6,7,2,5,3,1,1,1,1
A high voltage resonant inverter for dielectric discharge barrier cell plasma applications,PACHECO SOTELO JOEL OSVALDO,4,,INTERNATIONAL JOURNAL OF ELECTRONICS,MAR 2000,87,,,33,1.32,0,0,2,2,2,3,4,2,4,3,3,3,0,1,0,0,2,0,0,2,0,0,0,0,0
An RF microplasma facility development for medical applications,PACHECO SOTELO JOEL OSVALDO,8,,SURFACE & COATINGS TECHNOLOGY,FEB 26 2007,201,5th Asian/European International Conference on Plasma Surface Engineering,"SEP 12-16, 2005",18,1.0,0,0,0,0,0,0,0,0,3,3,1,1,2,1,2,0,0,1,0,1,0,2,1,0,0
"Greenhouse gas treatment and H<sub>2</sub> production, by warm plasma reforming",PACHECO SOTELO JOEL OSVALDO,8,,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,DEC 28 2015,40,14th International Congress of the Mexican-Hydrogen-Society - Hydrogen Technologies - Nanostructured Materials and Energy Systems for Sustainable Future,"SEP 30-OCT 04, 2014",16,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,2,2,1,0,2
A novel application of a PIN diode-preamplifier set for the measurement of charged particles,PACHECO SOTELO JOEL OSVALDO,5,,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,JUN 21 2005,545,,,16,0.8,0,0,0,0,0,1,1,1,2,1,0,0,1,3,0,1,1,1,1,1,0,0,0,1,0
A universal resonant converter for equilibrium and nonequilibrium plasma discharges,PACHECO SOTELO JOEL OSVALDO,8,,IEEE TRANSACTIONS ON PLASMA SCIENCE,OCT 2004,32,,,14,0.67,0,0,0,0,0,0,2,3,1,0,1,0,2,0,1,2,0,0,1,1,0,0,0,0,0
DBD-corona discharge for degradation of toxic gases,PACHECO SOTELO JOEL OSVALDO,6,,PLASMA SCIENCE & TECHNOLOGY,DEC 2007,9,,,10,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,1,0,1,1,0,0
Hydrogen production from methane conversion in a gliding arc,PACHECO SOTELO JOEL OSVALDO,8,,JOURNAL OF RENEWABLE AND SUSTAINABLE ENERGY,MAR 1 2012,4,10th International Congress of the Mexican-Society-of-Hydrogen-Renewable Energies,"SEP 27-OCT 01, 2010",9,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,2
Instrumentation for pulsed corona discharge generation applied to water,PACHECO SOTELO JOEL OSVALDO,9,,IEEE TRANSACTIONS ON PLASMA SCIENCE,FEB 2008,36,,,9,0.53,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0
