Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Preparation of spherical MCM-41 molecular sieve at room temperature: Influence of the synthesis conditions in the structural properties,PERERA MERCADO YIBRAN ARGENIS,6,,CERAMICS INTERNATIONAL,DEC 2012,38,,,73,5.62,2,6,8,6,6,7,11,7,8,4,6,2
Functionalization with amine-containing organosilane of mesoporous silica MCM-41 and MCM-48 obtained at room temperature,PERERA MERCADO YIBRAN ARGENIS,6,,CERAMICS INTERNATIONAL,AUG 2014,40,,,47,4.27,0,1,5,4,4,2,8,4,7,6,4,2
Hydrothermal Synthesis of Mesoporous Silica MCM-41 Using Commercial Sodium Silicate,PERERA MERCADO YIBRAN ARGENIS,5,,JOURNAL OF THE MEXICAN CHEMICAL SOCIETY,APR-JUN 2013,57,,,40,3.33,0,1,1,2,7,3,5,5,5,6,4,1
Synthesis of amino-functionalized MCM-48 silica via direct co-condensation at room temperature,PERERA MERCADO YIBRAN ARGENIS,7,,MICROPOROUS AND MESOPOROUS MATERIALS,MAR 1 2015,204,,,24,2.4,0,0,0,4,4,3,4,2,1,2,2,2
Na<SUP>+</SUP>/Ca<SUP>2+</SUP> aqueous ion exchange in natural clinoptilolite zeolite for polymer-zeolite composite membranes production and their CH<sub>4</sub>/CO<sub>2</sub>/N<sub>2</sub> separation performance,PERERA MERCADO YIBRAN ARGENIS,6,,JOURNAL OF NATURAL GAS SCIENCE AND ENGINEERING,JUN 2018,54,,,23,3.29,0,0,0,0,0,1,3,5,7,3,4,0
Influence of the reaction conditions on the thermal stability of mesoporous MCM-48 silica obtained at room temperature,PERERA MERCADO YIBRAN ARGENIS,5,,CERAMICS INTERNATIONAL,APR 2014,40,,,21,1.91,0,1,4,1,1,5,2,2,4,0,1,0
Ultrasound Irradiation Coating of Silver Nanoparticle on ABS Sheet Surface,PERERA MERCADO YIBRAN ARGENIS,9,,JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS,MAY 2013,23,,,21,1.75,0,3,0,0,2,5,2,1,5,2,0,1
PBI/Clinoptilolite mixed-matrix membranes for binary (N<sub>2</sub>/CH<sub>4</sub>) and ternary (CO<sub>2</sub>/N<sub>2</sub>/CH<sub>4</sub>) mixed gas separation,PERERA MERCADO YIBRAN ARGENIS,6,,JOURNAL OF APPLIED POLYMER SCIENCE,APR 10 2021,138,,,14,2.8,0,0,0,0,0,0,0,0,2,7,4,1
Chemical Modification of Carbon Nanofibers with Plasma of Acrylic Acid,PERERA MERCADO YIBRAN ARGENIS,11,,PLASMA PROCESSES AND POLYMERS,JUL 2013,10,,,14,1.17,0,0,1,2,1,4,0,3,1,1,1,0
Estimation of Surface Free Energy of Poly(lactic acid) During UV-Grafting with N-Vinylpyrrolidone,PERERA MERCADO YIBRAN ARGENIS,3,,MACROMOLECULAR SYMPOSIA,AUG 2017,374,3rd Macromex Conference together with the 27th National Meeting of the Mexican-Polymer-Society (MPS),"DEC 03-06, 2014",10,1.25,0,0,0,0,0,0,1,0,3,3,2,1
