Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Approaches to polymer electrolyte membrane fuel cells (PEMFCs) and their cost,PEREZ ROBLES JUAN FRANCISCO,4,,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,DEC 2015,52,,,176,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,22,23,25,24,23,27,12
Influence of S and P Doping in a Graphene Sheet,PEREZ ROBLES JUAN FRANCISCO,5,,JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE,NOV 2008,5,,,114,6.71,0,0,0,0,0,0,0,0,0,0,1,2,6,7,14,11,12,11,8,5,9,8,9,1,7,3
Photovoltaic solar panel for a hybrid PV/thermal system,PEREZ ROBLES JUAN FRANCISCO,8,,SOLAR ENERGY MATERIALS AND SOLAR CELLS,MAY 1 2004,82,,,88,4.19,0,0,0,0,0,1,1,3,5,3,10,4,7,4,8,5,2,9,3,2,3,4,1,3,5,5
How to decrease the agglomeration of magnetite nanoparticles and increase their stability using surface properties,PEREZ ROBLES JUAN FRANCISCO,5,,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,AUG 5 2019,574,,,75,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,18,14,16
"Growth technology, X-ray and optical properties of CdSe thin films",PEREZ ROBLES JUAN FRANCISCO,8,,MATERIALS CHEMISTRY AND PHYSICS,FEB 15 2009,113,,,49,3.06,0,0,0,0,0,0,0,0,0,0,2,7,4,4,5,4,7,3,2,1,3,3,2,1,1,0
Polybenzimidazole-multiwall carbon nanotubes composite membranes for polymer electrolyte membrane fuel cells,PEREZ ROBLES JUAN FRANCISCO,4,,JOURNAL OF POWER SOURCES,DEC 30 2015,300,,,46,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,6,5,13,7,4
Electrocatalytic reduction of dioxygen on PdCu for polymer electrolyte membrane fuel cells,PEREZ ROBLES JUAN FRANCISCO,4,,JOURNAL OF POWER SOURCES,MAY 15 2011,196,,,46,3.29,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,3,3,2,3,2,2,1,3,2,3,2
"Catalytic effect of Fe, Ni, Co and Mo on the CNTs production",PEREZ ROBLES JUAN FRANCISCO,5,,INTERNATIONAL CONGRESS OF MECHANICAL ENGINEERING AND AGRICULTURAL SCIENCES - CIIMCA 2013,2014,59,1st International Congress of Mechanical Engineering and Agricultural Sciences (CIIMCA),"OCT 08-11, 2013",41,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,8,4,5,7,0
Characterization of sol-gel glasses with different copper concentrations treated under oxidizing and reducing conditions,PEREZ ROBLES JUAN FRANCISCO,6,,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,OCT 1999,60,,,37,1.42,0,1,4,5,4,2,1,4,1,0,0,2,3,2,2,1,0,0,2,0,0,1,1,0,1,0
Structural characterization and properties of colloidal silica coatings on copper substrates,PEREZ ROBLES JUAN FRANCISCO,4,,MATERIALS LETTERS,OCT 2002,56,,,32,1.39,0,0,0,0,0,0,3,2,2,1,2,3,3,0,4,2,0,1,1,0,2,2,1,0,2,1
Nanoparticles of Ag with a Pt and Pd rich surface supported on carbon as a new catalyst for the oxygen electroreduction reaction (ORR) in acid electrolytes: Part 1,PEREZ ROBLES JUAN FRANCISCO,5,,JOURNAL OF POWER SOURCES,FEB 15 2015,276,,,30,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,8,4,2,1,0,1,0
Mechanistic Studies of Oxygen Reduction by Hydrogen on PdAg(110),PEREZ ROBLES JUAN FRANCISCO,6,,ACS CATALYSIS,JUL 2013,3,,,30,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,3,1,3,3,2,0
Structural evolution of sol-gel SiO<sub>2</sub> heated glasses containing silver particles,PEREZ ROBLES JUAN FRANCISCO,6,,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,JUN 2004,65,,,30,1.43,0,0,0,0,0,0,2,2,2,1,1,0,1,1,0,1,1,1,2,1,2,3,2,2,4,1
Synthesis and succinylation of starch nanoparticles by means of a single step using sonochemical energy,PEREZ ROBLES JUAN FRANCISCO,6,,ULTRASONICS SONOCHEMISTRY,SEP 2019,56,,,27,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,5,3,5
"Thermosonication as an alternative method for processing, extending the shelf life, and conserving the quality of pulque : A non-dairy Mexican fermented beverage",PEREZ ROBLES JUAN FRANCISCO,5,,ULTRASONICS SONOCHEMISTRY,JAN 2021,70,,,25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,1
