Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
UP-Fall Detection Dataset: A Multimodal Approach,PONCE ESPINOSA HIRAM EREDIN,6,,SENSORS,MAY 1 2019,19.0,,,181,30.17,0,0,0,0,0,0,0,4,27,33,52,41,24
A vision-based approach for fall detection using multiple cameras and convolutional neural networks: A case study using the UP-Fall detection dataset,PONCE ESPINOSA HIRAM EREDIN,6,,COMPUTERS IN BIOLOGY AND MEDICINE,DEC 2019,115.0,,,67,11.17,0,0,0,0,0,0,0,0,6,16,23,15,7
A Novel Wearable Sensor-Based Human Activity Recognition Approach Using Artificial Hydrocarbon Networks,PONCE ESPINOSA HIRAM EREDIN,3,,SENSORS,JUL 2016,16.0,,,42,4.67,0,0,0,0,2,2,5,8,6,5,6,4,4
Artificial Organic Networks,PONCE ESPINOSA HIRAM EREDIN,2,,"2011 IEEE ELECTRONICS, ROBOTICS AND AUTOMOTIVE MECHANICS CONFERENCE (CERMA 2011)",2011,,"IEEE Electronics, Robotics and Automotive Mechanics Conference (CERMA)","NOV 15-18, 2011",28,2.0,1,1,1,4,0,1,6,3,8,1,1,1,0
Adaptive noise filtering based on artificial hydrocarbon networks: An application to audio signals,PONCE ESPINOSA HIRAM EREDIN,3,,EXPERT SYSTEMS WITH APPLICATIONS,OCT 15 2014,41.0,,,26,2.36,0,0,0,3,2,2,5,4,4,1,2,2,1
A Contactless Respiratory Rate Estimation Method Using a Hermite Magnification Technique and Convolutional Neural Networks,PONCE ESPINOSA HIRAM EREDIN,3,,APPLIED SCIENCES-BASEL,JAN 2020,10.0,,,25,5.0,0,0,0,0,0,0,0,0,5,6,7,6,1
Doubly fed induction generator (DFIG) wind turbine controlled by artificial organic networks,PONCE ESPINOSA HIRAM EREDIN,3,,SOFT COMPUTING,MAY 2018,22.0,,,23,3.29,0,0,0,0,0,0,0,10,5,4,1,1,2
The Development of an Artificial Organic Networks Toolkit for LabVIEW,PONCE ESPINOSA HIRAM EREDIN,3,,JOURNAL OF COMPUTATIONAL CHEMISTRY,MAR 15 2015,36.0,,,22,2.2,0,0,0,1,3,3,6,4,3,0,1,1,0
A novel robust liquid level controller for coupled-tanks systems using artificial hydrocarbon networks,PONCE ESPINOSA HIRAM EREDIN,4,,EXPERT SYSTEMS WITH APPLICATIONS,DEC 1 2015,42.0,,,21,2.1,0,0,0,0,4,1,4,4,6,0,1,1,0
Artificial Hydrocarbon Networks Fuzzy Inference System,PONCE ESPINOSA HIRAM EREDIN,3,,MATHEMATICAL PROBLEMS IN ENGINEERING,2013,2013.0,,,20,1.67,0,0,1,2,2,1,4,5,4,0,1,0,0
