Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Synthesis of Copper Nanoparticles by Thermal Decomposition and Their Antimicrobial Properties,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,8,,JOURNAL OF NANOMATERIALS,2014,2014.0,,,141,12.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,6,8,4,9,28,23,27,17
Study of SrFe<sub>12</sub>O<sub>19</sub> synthesized by the sol-gel method,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,3,,JOURNAL OF ALLOYS AND COMPOUNDS,APR 28 2004,369.0,6th Latin American Workshop on Magnetism Magnetic Materials and their Applications (VI LAW3M),"APR 07-11, 2003",88,4.19,0,0,0,0,0,0,2,1,7,3,7,8,5,4,5,6,5,4,6,4,1,6,6,2,2,4
Effect of Amino alcohol functionalized polyethylene as compatibilizer for LDPE/EVA/clay/flame-retardant nanocomposites,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,8,,MATERIALS CHEMISTRY AND PHYSICS,AUG 14 2014,146.0,,,45,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,5,4,3,4,5,4,4,1
Influence of the blend viscosity and interface energies on the preferential location of CB and conductivity of BR/EPDM blends,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,,RUBBER CHEMISTRY AND TECHNOLOGY,SEP-OCT 2003,76.0,,,36,1.64,0,0,0,0,0,1,1,2,1,1,3,3,2,0,1,5,1,2,2,0,1,2,4,4,0,0
Synthesis of poly(vinyl alcohol)-magnetite ferrogel obtained by freezing-thawing technique,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,3,,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,JUL 2008,320.0,"8th Latin American Workshop on Magnetism, Magnetic Materials and Their Applications","AUG 12-16, 2007",31,1.82,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,2,3,2,3,2,3,2,1,2,2,0
Comparative study of the synthesis of CoFe<sub>2</sub>O<sub>4</sub> and NiFe<sub>2</sub>O<sub>4</sub> in silica through the polymerized complex route of the sol-gel method,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,4,,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,MAY 2007,42.0,,,30,1.67,0,0,0,0,0,0,0,0,0,4,1,5,1,2,2,2,1,1,2,2,2,0,3,2,0,0
Aminosilane grafting of plasticized poly(vinyl chloride) .2. Grafting and crosslinking reactions,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,2,,JOURNAL OF APPLIED POLYMER SCIENCE,DEC 12 1997,66.0,,,27,0.96,4,1,2,1,0,0,3,2,4,3,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0
Preparation and characterization of Polyethylene/Clay/Silver nanocomposites using functionalized polyethylenes as an adhesion promoter,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,11,,JOURNAL OF ADHESION SCIENCE AND TECHNOLOGY,SEP 17 2015,29.0,,,24,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,4,4,2,1,3,1
Aminosilane grafting of plasticized poly(vinyl chloride) .1. Extent and rate of crosslinking,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,2,,JOURNAL OF APPLIED POLYMER SCIENCE,DEC 12 1997,66.0,,,24,0.86,3,1,0,0,0,0,2,2,2,1,3,0,1,1,0,0,3,0,0,0,2,2,0,1,0,0
"A green methodology"" approach to the synthesis of HfO<sub>2</sub> nanoparticles""",RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,5,,MATERIALS LETTERS,NOV 15 2015,159.0,,,20,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,4,3,1,1,4,1
