Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Isolation and chemical identification of lipid derivatives from avocado (<i>Persea americana</i>) pulp with antiplatelet and antithrombotic activities,RODRIGUEZ SANCHEZ DARIANA GRACIELA,8,,FOOD & FUNCTION,2015,6,,,32,3.2,0,0,1,4,3,4,4,3,6,4,3,0
Isolation and Structure Elucidation of Avocado Seed (<i>Persea americana</i>) Lipid Derivatives That Inhibit <i>Clostridium sporogenes</i> Endospore Germination,RODRIGUEZ SANCHEZ DARIANA GRACIELA,6,,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,JUL 31 2013,61,,,29,2.42,1,0,3,2,4,1,3,3,3,3,5,1
Inhibitory Activity of Avocado Seed Fatty Acid Derivatives (Acetogenins) Against <i>Listeria Monocytogenes</i>,RODRIGUEZ SANCHEZ DARIANA GRACIELA,6,,JOURNAL OF FOOD SCIENCE,JAN 2017,82,,,28,3.5,0,0,0,0,4,1,4,3,5,3,6,2
Activity-guided identification of acetogenins as novel lipophilic antioxidants present in avocado pulp (<i>Persea americana</i>),RODRIGUEZ SANCHEZ DARIANA GRACIELA,7,,JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,DEC 30 2013,942,,,24,2.0,0,0,3,2,3,2,2,3,2,3,2,2
Cardiotoxicity of acetogenins from <i>Persea americana</i> occurs through the mitochondrial permeability transition pore and caspase-dependent apoptosis pathways,RODRIGUEZ SANCHEZ DARIANA GRACIELA,7,,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,AUG 2012,44,,,18,1.38,3,2,2,3,0,3,0,2,1,2,0,0
"Stability of the antimicrobial activity of acetogenins from avocado seed, under common food processing conditions, against <i>Clostridium sporogenes</i> vegetative cell growth and endospore germination",RODRIGUEZ SANCHEZ DARIANA GRACIELA,6,,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,NOV 2017,52,,,15,1.88,0,0,0,0,0,1,6,3,1,2,1,1
Purified avocado seed acetogenins: Antimicrobial spectrum and complete inhibition of <i>Listeria monocytogenes</i> in a refrigerated food matrix,RODRIGUEZ SANCHEZ DARIANA GRACIELA,7,,CYTA-JOURNAL OF FOOD,2019,17,,,14,2.33,0,0,0,0,0,0,1,1,4,2,5,1
Chemical Profile and Safety Assessment of a Food-Grade Acetogenin-Enriched Antimicrobial Extract from Avocado Seed,RODRIGUEZ SANCHEZ DARIANA GRACIELA,9,,MOLECULES,JUL 1 2019,24,,,12,2.0,0,0,0,0,0,0,0,1,3,4,2,2
Insights into Drivers of Liking for Avocado Pulp (<i>Persea americana</i>): Integration of Descriptive Variables and Predictive Modeling,RODRIGUEZ SANCHEZ DARIANA GRACIELA,8,,FOODS,JAN 2021,10,,,10,2.5,0,0,0,0,0,0,0,0,2,3,3,2
Integrative Analysis of Lipid Profiles in Plasma Allows Cardiometabolic Risk Factor Clustering in Children with Metabolically Unhealthy Obesity,RODRIGUEZ SANCHEZ DARIANA GRACIELA,9,,OXIDATIVE MEDICINE AND CELLULAR LONGEVITY,AUG 12 2020,2020,,,7,1.4,0,0,0,0,0,0,0,0,1,3,2,1
Antifungal effect of acetogenins from avocado <i>(Persea americana</i> Mill.) seed against the fungus <i>Botrytis cinerea</i>,RODRIGUEZ SANCHEZ DARIANA GRACIELA,6,,INTERNATIONAL FOOD RESEARCH JOURNAL,OCT 2021,28,,,2,0.5,0,0,0,0,0,0,0,0,0,1,1,0
<i>Botrytis cinerea</i> induced phytonutrient degradation of strawberry puree: effects of combined preservation approaches with high hydrostatic pressure and synthetic or natural antifungal additives,RODRIGUEZ SANCHEZ DARIANA GRACIELA,7,,CYTA-JOURNAL OF FOOD,DEC 31 2023,21,,,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0
