Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,2017,2019,2020,2021,2022,2023,2024
Production of polyhydroxybutyrate (PHB) by a novel <i>Klebsiella pneumoniae</i> strain using low-cost media from fruit peel residues,ROJAS AVELIZAPA NORMA GABRIELA,10,,BIOMASS CONVERSION AND BIOREFINERY,NOV 2022,12,,,23,4.6,0,0,0,4,8,6,5
Expression Changes in Metal-Resistance Genes in <i>Microbacterium liquefaciens</i> Under Nickel and Vanadium Exposure,ROJAS AVELIZAPA NORMA GABRIELA,6,,CURRENT MICROBIOLOGY,JUL 2017,74,,,17,2.13,0,3,2,4,3,3,2
Synthesis of Cadmium Sulfide Nanoparticles by Biomass of <i>Fusarium oxysporum f. sp lycopersici</i>,ROJAS AVELIZAPA NORMA GABRIELA,4,,JOURNAL OF NANO RESEARCH,2017,46,,,15,1.88,1,2,1,4,3,3,1
Diverse molecular resistance mechanisms of <i>Bacillus megaterium</i> during metal removal present in a spent catalyst,ROJAS AVELIZAPA NORMA GABRIELA,4,,BIOTECHNOLOGY AND BIOPROCESS ENGINEERING,JUN 2017,22,,,12,1.5,0,4,3,4,0,1,0
Use of a sulfur waste for biosynthesis of cadmium sulfide quantum clots with <i>Fusarium oxysporum f. sp lycopersici</i>,ROJAS AVELIZAPA NORMA GABRIELA,3,,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,JUN 2017,63,,,12,1.5,0,0,2,3,1,4,2
In vitro toxicity assessment of fungal-synthesized cadmium sulfide quantum dots using bacteria and seed germination models,ROJAS AVELIZAPA NORMA GABRIELA,4,,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,JUN 30 2021,56,,,7,1.75,0,0,0,1,1,4,1
Potential use of <i>Bacillus</i> genera for metals removal from spent catalysts,ROJAS AVELIZAPA NORMA GABRIELA,5,,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,JUL 3 2019,54,,,7,1.17,0,0,2,3,1,1,0
<i>czcD</i> gene from <i>Bacillus megaterium</i> and <i>Microbacterium liquefaciens</i> as a potential nickel-vanadium soil pollution biomarker,ROJAS AVELIZAPA NORMA GABRIELA,5,,JOURNAL OF BASIC MICROBIOLOGY,JAN 2020,60,,,6,1.0,0,0,0,2,2,2,0
Bioleaching of metals from machining process wastes,ROJAS AVELIZAPA NORMA GABRIELA,4,,REVISTA MEXICANA DE INGENIERIA QUIMICA,MAY-AUG 2021,20,,,4,1.0,0,0,0,0,3,1,0
<i>Acidithiobacillus thiooxidans</i> DSM 26636: An Alternative for the Bioleaching of Metallic Burrs,ROJAS AVELIZAPA NORMA GABRIELA,3,,CATALYSTS,NOV 2020,10,,,4,0.8,0,0,0,0,4,0,0
Specificity of Mo and V Removal from a Spent Catalyst by Cupriavidus metallidurans CH34,ROJAS AVELIZAPA NORMA GABRIELA,3,,WASTE AND BIOMASS VALORIZATION,APR 2019,10,,,3,0.5,0,0,1,0,2,0,0
A new technique to evaluate <i>Acidithiobacillus thiooxidans</i> growth during a bioleaching process based on DNA quantification,ROJAS AVELIZAPA NORMA GABRIELA,5,,JOURNAL OF MICROBIOLOGICAL METHODS,JUL 2022,198,,,2,0.67,0,0,0,0,0,0,2
Feasibility Study of Metal Bioleaching in a Gold-Rich Ore Sample by <i>Acidithiobacillus thiooxidans</i> DSM 26636,ROJAS AVELIZAPA NORMA GABRIELA,6,,TRANSACTIONS OF THE INDIAN INSTITUTE OF METALS,AUG 2021,74,,,1,0.25,0,0,0,0,0,0,1
