Title,Authors,Corporate Authors,Book Editors,Source Title,Publication Date,Volume,Conference Title,Conference Date,Total Citations,Average per Year,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Advances in Asphaltene Science and the Yen-Mullins Model,RUIZ MORALES YOSADARA,16,,ENERGY & FUELS,JUL 2012,26.0,1st International Conference on Upstream Engineering and Flow Assurance (ICUEFA) at the Spring Meeting of the American-Institute-of-Chemical-Engineers (AIChE),"APR 01-05, 2012",729,56.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,36,51,65,63,67,73,74,79,86,64,38
HOMO-LUMO gap as an index of molecular size and structure for polycyclic aromatic hydrocarbons (PAHs) and asphaltenes: A theoretical study. I,RUIZ MORALES YOSADARA,1,,JOURNAL OF PHYSICAL CHEMISTRY A,NOV 21 2002,106.0,,,339,14.74,0,0,0,0,0,0,0,2,9,5,5,9,5,8,7,7,10,12,14,14,22,17,12,21,23,30,41,40,25
Polycyclic aromatic hydrocarbons of asphaltenes analyzed by molecular orbital calculations with optical spectroscopy,RUIZ MORALES YOSADARA,2,,ENERGY & FUELS,JAN-FEB 2007,21.0,,,131,7.28,0,0,0,0,0,0,0,0,0,0,0,4,8,13,5,11,3,4,5,12,10,12,4,6,9,10,8,5,2
Coarse-Grained Molecular Simulations to Investigate Asphaltenes at the Oil-Water Interface,RUIZ MORALES YOSADARA,2,,ENERGY & FUELS,MAR 2015,29.0,,,120,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,12,13,14,8,16,15,16,9
Island versus Archipelago Architecture for Asphaltenes: Polycyclic Aromatic Hydrocarbon Dimer Theoretical Studies,RUIZ MORALES YOSADARA,2,,ENERGY & FUELS,APR 2013,27.0,13th International Conference on Petroleum Phase Behavior and Fouling,"JUN 10-14, 2012",105,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,6,11,11,9,15,12,14,10,6
Electronic absorption edge of crude oils and asphaltenes analyzed by molecular orbital calculations with optical spectroscopy,RUIZ MORALES YOSADARA,3,,ENERGY & FUELS,MAR-APR 2007,21.0,,,92,5.11,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,12,5,6,6,7,4,6,0,7,5,6,2,6,2
"Dissociation energies, vibrational frequencies, and C-13 NMR chemical shifts of the 18-electron species [M(CO)(6)](n) (M = Hf-Ir, Mo, Tc, Ru, Cr, Mn, Fe). A density functional study",RUIZ MORALES YOSADARA,4,,INORGANIC CHEMISTRY,OCT 22 1997,36.0,,,92,3.29,0,0,6,16,7,8,6,3,2,2,2,10,2,2,2,1,0,2,3,1,2,1,1,2,5,4,0,1,1
Origin of the hydridic H-1 NMR chemical shift in low-valent transition-metal hydrides,RUIZ MORALES YOSADARA,3,,ORGANOMETALLICS,SEP 17 1996,15.0,,,88,3.03,0,4,3,7,2,3,3,3,4,4,0,1,1,4,1,2,5,2,2,2,3,10,4,1,2,0,9,4,2
"Calculation of the interaction potential curve between asphaltene-asphaltene, asphaltene-resin, and resin-resin systems using density functional theory",RUIZ MORALES YOSADARA,3,,ENERGY & FUELS,JAN-FEB 2006,20.0,,,86,4.53,0,0,0,0,0,0,0,0,0,0,0,4,6,4,1,6,2,4,1,3,5,6,5,9,5,8,8,7,2
The agreement between Clar structures and nucleus-independent chemical shift values in pericondensed benzenoid polycyclic aromatic hydrocarbons: An application of the Y-rule,RUIZ MORALES YOSADARA,1,,JOURNAL OF PHYSICAL CHEMISTRY A,DEC 9 2004,108.0,,,73,3.48,0,0,0,0,0,0,0,0,0,6,3,5,4,3,0,3,1,4,3,1,2,2,4,7,7,8,3,3,4
Measured and Simulated Electronic Absorption and Emission Spectra of Asphaltenes,RUIZ MORALES YOSADARA,2,,ENERGY & FUELS,MAR-APR 2009,23.0,9th International Conference on Petroleum Phase Behavior and Fouling,"JUN 15-19, 2008",71,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,3,4,3,5,9,7,1,6,5,5,4,3,1
